trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1727716443253.92,1727716443444.664,1,1,1
2,1727716444775.016,1727716444944.976,1,1,1
3,1727716446296.424,1727716446503.184,1,1,1
4,1727716447215.648,1727716447507.44,1,1,1
5,1727716448966.896,1727716449147.96,1,1,1
6,1727716450030.42,1727716450191.936,1,1,1
7,1727716451535.392,1727716451698.516,1,1,1
8,1727716452729.972,1727716452924.484,1,1,1
9,1727716453496.932,1727716453756.62,1,1,1
10,1727716454582.08,1727716454768.972,1,1,1
11,1727716455761.472,1727716455936.044,1,1,1
12,1727716456455.548,1727716456650.632,1,1,1
13,1727716457371.132,1727716457542.196,1,1,1
14,1727716458801.7,1727716458954.252,1,1,1
15,1727716460024.756,1727716460185.98,1,1,1
16,1727716461177.48,1727716461325.948,1,1,1
17,1727716461861.46,1727716462040.428,1,1,1
18,1727716463342.92,1727716463506.216,1,1,1
19,1727716464300.716,1727716464425.604,1,1,1
20,1727716465446.116,1727716465584.072,1,1,1
21,1727716466349.576,1727716466506.728,1,1,1
22,1727716467678.244,1727716467828.392,1,1,1
23,1727716468878.904,1727716469002.928,1,1,1
24,1727716470278.432,1727716470413.524,1,1,1
25,1727716471814.032,1727716471958.376,1,1,1
26,1727716473145.88,1727716473289.388,1,1,1
27,1727716474530.892,1727716474690.712,1,1,1
28,1727716475809.216,1727716475990.244,1,1,1
29,1727716476922.748,1727716477136.516,1,1,1
30,1727716478095.024,1727716478250.94,1,1,1
31,1727716479479.448,1727716479665.696,1,1,1
32,1727716480713.204,1727716480922.9,1,1,1
33,1727716482400.404,1727716482548.544,1,1,1
34,1727716483214.052,1727716483445.16,1,1,1
35,1727716483961.668,1727716484123.764,1,1,1
36,1727716484663.272,1727716484821.828,1,1,1
37,1727716485597.332,1727716485816.588,1,1,1
38,1727716486328.092,1727716486517.256,1,1,1
39,1727716487295.76,1727716487460.4,1,1,1
40,1727716488147.912,1727716488331.748,1,1,1
41,1727716489383.248,1727716489549.908,1,1,1
42,1727716490981.416,1727716491137.68,1,1,1
43,1727716492306.188,1727716492542.832,1,1,1
44,1727716493200.332,1727716493351.772,1,1,1
45,1727716494364.276,1727716494521.22,1,1,1
46,1727716495923.728,1727716496060.488,1,1,1
47,1727716497338.9958,1727716497466.54,1,1,1
48,1727716498327.044,1727716498493.4958,1,1,1
49,1727716499281.004,1727716499440.984,1,1,1
50,1727716500610.484,1727716500772.456,1,1,1
51,1727716501612.964,1727716501777.816,1,1,1
52,1727716503086.328,1727716503235.636,1,1,1
53,1727716504103.14,1727716504260.912,1,1,1
54,1727716505039.42,1727716505194.696,1,1,1
55,1727716506313.204,1727716506439.54,1,1,1
56,1727716507092.036,1727716507376.42,1,1,1
57,1727716508280.924,1727716508393.02,1,1,1
58,1727716509204.52,1727716509347.892,1,1,1
59,1727716509925.4,1727716510090.116,1,1,1
60,1727716510799.628,1727716510947.852,1,1,1
61,1727716511989.356,1727716512147.536,1,1,1
62,1727716513577.036,1727716513697.916,1,1,1
63,1727716514377.424,1727716514607.54,1,1,1
64,1727716515235.044,1727716515366.58,1,1,1
65,1727716516186.092,1727716516332.38,1,1,1
66,1727716517720.892,1727716517902.884,1,1,1
67,1727716518556.392,1727716518747.572,1,1,1
68,1727716519832.068,1727716520051.764,1,1,1
69,1727716521053.264,1727716521176.76,1,1,1
70,1727716521795.272,1727716522009.236,1,1,1
71,1727716522676.744,1727716522836.476,1,1,1
72,1727716524017.984,1727716524144.296,1,1,1
73,1727716524017.984,1727716525275.524,1,1,1
74,1727716526232.028,1727716526438.168,1,1,1
75,1727716526981.668,1727716527228.916,1,1,1
76,1727716528559.42,1727716528695.54,1,1,1
77,1727716529898.044,1727716530077.792,1,1,1
78,1727716531037.292,1727716531361.412,1,1,1
79,1727716531878.924,1727716532111.56,1,1,1
80,1727716533503.064,1727716533647.628,1,1,1
81,1727716534773.132,1727716534942.612,1,1,1
82,1727716536278.196,1727716536440.24,1,1,1
83,1727716537570.828,1727716537745.088,1,1,1
84,1727716538852.688,1727716538975.976,1,1,1
85,1727716540062.584,1727716540197.46,1,1,1
86,1727716541447.064,1727716541532.128,1,1,1
87,1727716542718.724,1727716542841.164,1,1,1
88,1727716543950.756,1727716544125.616,1,1,1
89,1727716545320.216,1727716545473.72,1,1,1
90,1727716546324.32,1727716546492.968,1,1,1
91,1727716547727.568,1727716547867.056,1,1,1
92,1727716548600.648,1727716548784.532,1,1,1
93,1727716549633.132,1727716549778.9438,1,1,1
94,1727716551128.548,1727716551306.04,1,1,1
95,1727716552069.628,1727716552237.316,1,1,1
96,1727716553278.908,1727716553439.116,1,1,1
97,1727716554516.704,1727716554656.324,1,1,1
98,1727716556138.92,1727716556258.636,1,1,1
99,1727716557607.228,1727716557758.464,1,1,1
100,1727716558642.064,1727716558811.252,1,1,1
