1738940624.000,4191460
ObjShowTime,ReactionTime,StimType,Guess,Correct
56836556,57175952,1,1,1
57766336,57952860,1,1,1
59002248,59153648,1,1,1
60565036,60719944,1,1,1
61738324,61891692,1,1,1
62779080,62939864,1,1,1
63898248,64053764,1,1,1
65509148,65701040,1,1,1
66215428,66470672,1,1,1
67215052,67369320,1,1,1
68864696,69033304,1,1,1
69662692,69876348,1,1,1
71329728,71508948,1,1,1
72244344,72406436,1,1,1
73267816,73413124,1,1,1
74357504,74512284,1,1,1
75595664,75763268,1,1,1
76443644,76607364,1,1,1
77605756,77757100,1,1,1
78940492,79105404,1,1,1
79977792,80115220,1,1,1
80916604,81089836,1,1,1
81788228,81964364,1,1,1
82867752,83030136,1,1,1
83620520,83787952,1,1,1
84441344,84613512,1,1,1
85143888,85299180,1,1,1
86082576,86233608,1,1,1
87076992,87239464,1,1,1
87786844,87963820,1,1,1
88817212,88972596,1,1,1
89479988,89634920,1,1,1
90451300,90615208,1,1,1
91368596,91501648,1,1,1
92726040,92890808,1,1,1
94274200,94449340,1,1,1
95577724,95713132,1,1,1
96678520,96853884,1,1,1
97625272,97940996,1,1,1
99027380,99223108,1,1,1
100379496,100511236,1,1,1
101149716,101318152,1,1,1
102472632,102614960,1,1,1
103670436,103817084,1,1,1
105277568,105431036,1,1,1
106139520,106311732,1,1,1
106919212,107097112,1,1,1
106919212,108192308,1,1,1
109543776,109739664,1,1,1
110365144,110554040,1,1,1
111573520,111958860,1,1,1
113008332,113154480,1,1,1
113720960,113923972,1,1,1
115069452,115210484,1,1,1
115831960,116028276,1,1,1
116544756,116726016,1,1,1
117643492,117829612,1,1,1
118374096,118664096,1,1,1
119708576,119852084,1,1,1
120978560,121149308,1,1,1
121749796,121921268,1,1,1
122819744,122958324,1,1,1
124320808,124514752,1,1,1
125670228,126034836,1,1,1
127252324,127561296,1,1,1
128405772,128549900,1,1,1
129310380,129487784,1,1,1
130035260,130198888,1,1,1
130843368,130976568,1,1,1
131830052,132019592,1,1,1
131830052,132789788,1,1,1
133646260,133841856,1,1,1
135019340,135184200,1,1,1
135712676,135946232,1,1,1
137088708,137247112,1,1,1
138726584,139099164,1,1,1
140510644,140644564,1,1,1
141298040,141457956,1,1,1
142607440,142741484,1,1,1
143954968,144114352,1,1,1
145098844,145244604,1,1,1
146744084,147110456,1,1,1
148131936,148280784,1,1,1
149468256,149630908,1,1,1
150830396,150992960,1,1,1
151958432,152120076,1,1,1
152673560,152864884,1,1,1
153919364,154099628,1,1,1
155352120,155508712,1,1,1
156355188,156507896,1,1,1
157019372,157230284,1,1,1
158140768,158306100,1,1,1
158140768,159724304,1,1,1
161113776,161268800,1,1,1
162036272,162400480,1,1,1
163194956,163373548,1,1,1
164750028,164927764,1,1,1
165894240,166043308,1,1,1
166934780,167091456,1,1,1
167849924,168037832,1,1,1
169193308,169433204,1,1,1
