ObjShowTime,ReactionTime,StimType,Guess,Correct
1746469397564.172,1746469398525.084,1,1,1
1746469399759.48,1746469400325.728,1,1,1
1746469401207.112,1746469402035.636,1,1,1
1746469402701.02,1746469403463.328,1,1,1
1746469404059.7122,1746469405093.528,1,1,1
1746469405755.9202,1746469406666.396,1,1,1
1746469407546.78,1746469408923.184,1,1,1
1746469409702.572,1746469410691.236,1,1,1
1746469412012.62,1746469413231.8682,1,1,1
1746469414526.256,1746469415389.208,1,1,1
1746469416314.592,1746469417634.844,1,1,1
1746469418186.228,1746469418843.76,1,1,1
1746469422657.424,1746469423231.28,1,1,1
1746469423888.668,1746469425094.324,1,1,1
1746469426459.708,1746469427094.38,1,1,1
1746469427983.772,1746469428770.392,1,1,1
1746469432677.2842,1746469433674.324,1,1,1
1746469435146.72,1746469436014.7322,1,1,1
1746469436538.224,1746469437818.9402,1,1,1
1746469444333.312,1746469444705.064,1,1,1
1746469446143.536,1746469446492.356,1,1,1
1746469447066.832,1746469447784.308,1,1,1
1746469449051.788,1746469449792.728,1,1,1
1746469451063.196,1746469451318.288,1,1,1
1746469452409.7642,1746469453788.696,1,1,1
1746469455060.172,1746469455492.356,1,1,1
1746469456398.832,1746469457212.516,1,1,1
1746469458259.9922,1746469458731.46,1,1,1
1746469459437.9402,1746469460458.5562,1,1,1
1746469461233.036,1746469461842.804,1,1,1
1746469462815.28,1746469463128.104,1,1,1
1746469464280.5762,1746469464567.584,1,1,1
1746469465910.06,1746469465961.568,1,1,1
1746469467343.0442,1746469467904.536,1,1,1
1746469468934.012,1746469469488.86,1,1,1
1746469470884.332,1746469471110.52,1,1,1
1746469472549.996,1746469472741.0442,1,1,1
1746469474157.512,1746469474445.4402,1,1,1
1746469475316.916,1746469476371.572,1,1,1
1746469476968.0562,1746469477763.58,1,1,1
1746469478881.06,1746469479600.176,1,1,1
1746469480759.664,1746469481514.144,1,1,1
1746469482133.624,1746469482941.4722,1,1,1
1746469484276.956,1746469484677.808,1,1,1
1746469485895.288,1746469486198.676,1,1,1
1746469487277.1482,1746469487840.48,1,1,1
1746469488820.96,1746469489634.3162,1,1,1
1746469490410.796,1746469490934.844,1,1,1
1746469491479.32,1746469492461.0442,1,1,1
1746469493870.5242,1746469494215.432,1,1,1
1746469495622.912,1746469496259.196,1,1,1
1746469497219.668,1746469497675.028,1,1,1
1746469498990.5042,1746469499420.572,1,1,1
1746469500220.048,1746469500871.5,1,1,1
1746469501913.9722,1746469502888.9922,1,1,1
1746469504161.46,1746469504725.008,1,1,1
1746469505500.488,1746469506443.028,1,1,1
1746469507146.496,1746469507888.604,1,1,1
1746469508611.0762,1746469509521.76,1,1,1
1746469510242.2322,1746469511057.408,1,1,1
1746469511813.872,1746469512580.072,1,1,1
1746469513850.548,1746469514501.948,1,1,1
1746469515513.4202,1746469516097.532,1,1,1
1746469517421.012,1746469517745.356,1,1,1
1746469519029.828,1746469519206.976,1,1,1
1746469520382.448,1746469520962.612,1,1,1
1746469522397.0962,1746469522612.84,1,1,1
1746469523945.3162,1746469524240.848,1,1,1
1746469525338.324,1746469525842.56,1,1,1
1746469527061.04,1746469527259.136,1,1,1
1746469527832.6082,1746469528414.78,1,1,1
1746469529659.26,1746469529865.2002,1,1,1
1746469531261.672,1746469531439.956,1,1,1
1746469532451.432,1746469532786.664,1,1,1
1746469533576.136,1746469533834.828,1,1,1
1746469535231.3162,1746469535429.668,1,1,1
1746469536151.136,1746469536521.892,1,1,1
1746469537045.372,1746469537420.636,1,1,1
1746469537959.116,1746469538384.488,1,1,1
1746469539186.968,1746469539417.3682,1,1,1
1746469540845.852,1746469541035.824,1,1,1
1746469542400.312,1746469542636.772,1,1,1
1746469543217.24,1746469544148.0762,1,1,1
1746469544664.564,1746469545501.256,1,1,1
1746469546711.7322,1746469547372.644,1,1,1
1746469548245.124,1746469548763.744,1,1,1
1746469549921.2122,1746469550165.788,1,1,1
1746469551542.2642,1746469551742.768,1,1,1
1746469553138.24,1746469553742.684,1,1,1
1746469554782.1602,1746469555145.484,1,1,1
1746469556630.968,1746469556785.288,1,1,1
1746469557605.772,1746469558252.908,1,1,1
1746469559046.3882,1746469559486.464,1,1,1
1746469560965.936,1746469561520.82,1,1,1
1746469562632.292,1746469562892.624,1,1,1
1746469563807.112,1746469564490.344,1,1,1
