1737991004.000,5010056
ObjShowTime,ReactionTime,StimType,Guess,Correct
65369940,65543856,1,1,1
66958232,67122456,1,1,1
68597844,68761392,1,1,1
69975780,70149132,1,1,1
70912512,71085008,1,1,1
72487400,72634468,1,1,1
73981852,74143132,1,1,1
75071532,75243040,1,1,1
76081428,76226548,1,1,1
77363936,77536640,1,1,1
78697028,78872748,1,1,1
80113124,80275324,1,1,1
81205708,81357952,1,1,1
81869344,82053004,1,1,1
82594388,82795792,1,1,1
84144184,84324360,1,1,1
85230752,85385588,1,1,1
86629968,86795244,1,1,1
87827644,87994560,1,1,1
88609952,88820756,1,1,1
89595148,89759692,1,1,1
90882092,91051156,1,1,1
92218552,92390276,1,1,1
93535660,93709920,1,1,1
94397312,94589240,1,1,1
95668632,95838024,1,1,1
96559416,96750992,1,1,1
98027380,98214428,1,1,1
99553808,99739452,1,1,1
100624844,100817120,1,1,1
102249604,102450364,1,1,1
103524836,103815264,1,1,1
104918740,105099304,1,1,1
105754784,105964128,1,1,1
106536608,106761920,1,1,1
107558388,107746480,1,1,1
109012956,109187096,1,1,1
109898572,110122704,1,1,1
111146192,111312120,1,1,1
112754592,112920688,1,1,1
114240160,114399052,1,1,1
115274532,115465252,1,1,1
116938720,117123876,1,1,1
117990348,118176344,1,1,1
119196824,119347784,1,1,1
119973252,120184440,1,1,1
120711920,120924380,1,1,1
121657860,121824080,1,1,1
123092552,123260284,1,1,1
124188756,124379728,1,1,1
125823204,126008356,1,1,1
126890824,127064104,1,1,1
128478576,128651368,1,1,1
129347848,129518196,1,1,1
130800676,130954372,1,1,1
131966852,132109144,1,1,1
133434628,133595228,1,1,1
134803704,134966528,1,1,1
135660000,135965592,1,1,1
136696084,136869408,1,1,1
137562880,137732536,1,1,1
139002012,139156684,1,1,1
139689160,139873892,1,1,1
141129360,141284692,1,1,1
142323168,142491024,1,1,1
143494496,143661356,1,1,1
144718836,144882652,1,1,1
145678128,145843500,1,1,1
147289976,147461836,1,1,1
148222300,148396800,1,1,1
149118276,149313876,1,1,1
150037356,150226620,1,1,1
150742096,150922048,1,1,1
151440528,151622688,1,1,1
152216164,152392516,1,1,1
152975996,153143980,1,1,1
154331456,154511352,1,1,1
155405840,155572184,1,1,1
156566672,156732240,1,1,1
157940720,158118988,1,1,1
158662464,158896536,1,1,1
160065016,160237348,1,1,1
160886828,161058736,1,1,1
161725212,161904524,1,1,1
162814012,162958024,1,1,1
163636512,163854052,1,1,1
163636512,165307244,1,1,1
166146712,166368900,1,1,1
167010384,167404060,1,1,1
168142536,168328624,1,1,1
169399100,169579472,1,1,1
170582956,170762160,1,1,1
171680636,171860612,1,1,1
173109088,173308252,1,1,1
174490736,174661576,1,1,1
175709056,175881484,1,1,1
177012968,177203920,1,1,1
178429384,178628860,1,1,1
179908336,180104728,1,1,1
181405200,181590100,1,1,1
182974576,183156348,1,1,1
