1726155280.000,3395680
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8649600,8908176,1,1,1
2,9832544,10017304,1,1,1
3,10702700,10890412,1,1,1
4,11756872,11925228,1,1,1
5,13404676,13564936,1,1,1
6,14652392,14826536,1,1,1
7,16066996,16238008,1,1,1
8,17647468,17804912,1,1,1
9,18669372,18850284,1,1,1
10,20236732,20407660,1,1,1
11,21908168,22071772,1,1,1
12,23230272,23422944,1,1,1
13,24380456,24542876,1,1,1
14,25611388,26472356,1,1,1
15,27162860,27337396,1,1,1
16,28461900,28697120,1,1,1
17,30137632,30336204,1,1,1
18,31041704,31208428,1,1,1
19,31758940,31938668,1,1,1
20,32771176,32977936,1,1,1
21,33544440,33718852,1,1,1
22,35115352,35281184,1,1,1
23,35826684,35990288,1,1,1
24,37323800,37459500,1,1,1
25,38502996,38681488,1,1,1
26,39494000,39668952,1,1,1
27,40699456,40890236,1,1,1
28,42210740,42411532,1,1,1
29,43460040,43638964,1,1,1
30,44538464,44703200,1,1,1
31,45411708,45636624,1,1,1
32,47090124,47244980,1,1,1
33,47997480,48191852,1,1,1
34,49299356,49454060,1,1,1
35,49995564,50159416,1,1,1
36,51448920,51613236,1,1,1
37,52629736,53340896,1,1,1
38,54793404,55008964,1,1,1
39,55525468,55719076,1,1,1
40,56230576,56460368,1,1,1
41,57003876,57175064,1,1,1
42,57805572,57980092,1,1,1
43,58775604,58948228,1,1,1
44,59478736,59669728,1,1,1
45,60436228,60601396,1,1,1
46,61509912,61675248,1,1,1
47,63119752,63279124,1,1,1
48,64489636,64644152,1,1,1
49,65349652,65517788,1,1,1
50,66191292,66362448,1,1,1
51,66910948,67087932,1,1,1
52,67881436,68046100,1,1,1
53,68718612,68891828,1,1,1
54,69657336,69839264,1,1,1
55,70530772,70702776,1,1,1
56,71903280,72059040,1,1,1
57,73160544,73332344,1,1,1
58,74542844,74724864,1,1,1
59,75808372,75977456,1,1,1
60,76983960,77136248,1,1,1
61,78591760,78693504,1,1,1
62,79195016,79475724,1,1,1
63,80639236,80805496,1,1,1
64,81616004,81783540,1,1,1
65,83079048,83246960,1,1,1
66,83079048,84352188,1,1,1
67,85735688,85971152,1,1,1
68,86746660,86931048,1,1,1
69,88382564,88561364,1,1,1
70,89881872,90040740,1,1,1
71,91064240,91235696,1,1,1
72,92115204,92286824,1,1,1
73,93288332,93453416,1,1,1
74,94130920,94318648,1,1,1
75,95328152,95484456,1,1,1
76,96535960,96706680,1,1,1
77,98069188,98225388,1,1,1
78,99392892,99552280,1,1,1
79,100214796,100453084,1,1,1
80,101151672,101319324,1,1,1
81,102354916,102551132,1,1,1
82,103052716,103423616,1,1,1
83,104283220,104440192,1,1,1
84,105042788,105202212,1,1,1
85,106680804,106840868,1,1,1
86,108208460,108357192,1,1,1
87,108930780,109149080,1,1,1
88,109878680,110056132,1,1,1
89,111199720,111339952,1,1,1
90,111846556,112009792,1,1,1
91,113322384,113478740,1,1,1
92,114736336,114890320,1,1,1
93,115657920,115867056,1,1,1
94,117204652,117371532,1,1,1
95,118717132,118870072,1,1,1
96,120224656,120247504,1,1,1
97,121386096,121584216,1,1,1
98,122446804,122619848,1,1,1
99,123711452,123856184,1,1,1
100,124941772,125092604,1,1,1
