ObjShowTime,ReactionTime,StimType,Guess,Correct
1728328809519.924,1728328809784.6838,1,1,1
1728328810533.072,1728328810756.728,1,1,1
1728328811396.112,1728328811580.604,1,1,1
1728328812597.992,1728328812812.472,1,1,1
1728328813622.86,1728328813813.872,1,1,1
1728328814806.26,1728328814989.228,1,1,1
1728328815616.608,1728328815808.844,1,1,1
1728328817297.232,1728328817514.56,1,1,1
1728328818582.9438,1728328818790.364,1,1,1
1728328819731.752,1728328819924.98,1,1,1
1728328821108.368,1728328821306.128,1,1,1
1728328821974.52,1728328822180.568,1,1,1
1728328823015.948,1728328823215.956,1,1,1
1728328824687.3398,1728328824903.948,1,1,1
1728328825529.336,1728328825754.028,1,1,1
1728328826268.408,1728328826523.964,1,1,1
1728328827274.352,1728328827489.152,1,1,1
1728328828564.548,1728328828724.836,1,1,1
1728328829548.216,1728328829692.64,1,1,1
1728328831189.028,1728328831374.272,1,1,1
1728328832208.656,1728328832397.0,1,1,1
1728328833553.3918,1728328833733.42,1,1,1
1728328834359.808,1728328834573.608,1,1,1
1728328835955.992,1728328836126.928,1,1,1
1728328837044.32,1728328837219.796,1,1,1
1728328838087.176,1728328838270.076,1,1,1
1728328838816.456,1728328839040.52,1,1,1
1728328839611.908,1728328839844.872,1,1,1
1728328840581.264,1728328840785.568,1,1,1
1728328841954.948,1728328842131.524,1,1,1
1728328842884.916,1728328843111.504,1,1,1
1728328843754.888,1728328843971.936,1,1,1
1728328844996.32,1728328845217.188,1,1,1
1728328846179.576,1728328846373.68,1,1,1
1728328846943.068,1728328847166.16,1,1,1
1728328847900.544,1728328848111.112,1,1,1
1728328849036.508,1728328849231.408,1,1,1
1728328850638.7878,1728328850860.3398,1,1,1
1728328852146.724,1728328852356.812,1,1,1
1728328853267.284,1728328853458.604,1,1,1
1728328854510.0798,1728328854683.112,1,1,1
1728328855243.584,1728328855489.192,1,1,1
1728328856858.66,1728328857033.2358,1,1,1
1728328858379.712,1728328858552.872,1,1,1
1728328860049.344,1728328860167.7358,1,1,1
1728328861245.204,1728328861430.156,1,1,1
1728328862866.6318,1728328863042.488,1,1,1
1728328864112.976,1728328864289.936,1,1,1
1728328865011.412,1728328865197.572,1,1,1
1728328865846.052,1728328866082.636,1,1,1
1728328866593.112,1728328866768.696,1,1,1
1728328867500.172,1728328867675.18,1,1,1
1728328868366.668,1728328868539.436,1,1,1
1728328869427.924,1728328869539.66,1,1,1
1728328871990.112,1728328872151.176,1,1,1
1728328873010.652,1728328873188.972,1,1,1
1728328874668.448,1728328874841.292,1,1,1
1728328876032.772,1728328876241.9958,1,1,1
1728328877033.476,1728328877201.204,1,1,1
1728328878456.676,1728328878650.624,1,1,1
1728328880040.104,1728328880215.208,1,1,1
1728328880766.6838,1728328881036.816,1,1,1
1728328884097.712,1728328884258.9958,1,1,1
1728328885342.48,1728328885515.048,1,1,1
1728328886932.52,1728328887105.168,1,1,1
1728328888112.648,1728328888348.62,1,1,1
1728328889142.104,1728328889382.472,1,1,1
1728328894279.4,1728328894465.596,1,1,1
1728328895199.072,1728328895423.6318,1,1,1
1728328896059.112,1728328896304.068,1,1,1
1728328896993.556,1728328897170.4,1,1,1
1728328898177.884,1728328898352.224,1,1,1
1728328899586.704,1728328899763.2358,1,1,1
1728328901094.728,1728328901276.68,1,1,1
1728328902260.16,1728328902435.416,1,1,1
1728328903791.896,1728328904016.228,1,1,1
1728328905277.712,1728328905483.4,1,1,1
1728328906795.868,1728328907022.056,1,1,1
1728328908221.54,1728328908489.612,1,1,1
1728328909418.092,1728328909627.22,1,1,1
1728328910946.696,1728328911128.984,1,1,1
1728328911704.46,1728328911936.104,1,1,1
1728328912610.588,1728328912746.144,1,1,1
1728328913697.612,1728328913841.54,1,1,1
1728328915199.02,1728328915342.86,1,1,1
1728328915956.336,1728328916202.2878,1,1,1
1728328916767.76,1728328916946.156,1,1,1
1728328917453.6318,1728328917639.1838,1,1,1
1728328918866.664,1728328919038.872,1,1,1
1728328919562.356,1728328919788.56,1,1,1
1728328920637.04,1728328920794.9,1,1,1
1728328924701.228,1728328924988.38,1,1,1
1728328926105.868,1728328926333.2358,1,1,1
1728328926929.708,1728328927193.764,1,1,1
1728328927731.24,1728328927953.556,1,1,1
