1728303555.000,3714696
ObjShowTime,ReactionTime,StimType,Guess,Correct
58234620,58499380,1,1,1
59247768,59471424,1,1,1
60110808,60295300,1,1,1
61312688,61527168,1,1,1
62337556,62528568,1,1,1
63520956,63703924,1,1,1
64331304,64523540,1,1,1
66011928,66229256,1,1,1
67297640,67505060,1,1,1
68446448,68639676,1,1,1
69823064,70020824,1,1,1
70689216,70895264,1,1,1
71730644,71930652,1,1,1
73402036,73618644,1,1,1
74244032,74468724,1,1,1
74983104,75238660,1,1,1
75989048,76203848,1,1,1
77279244,77439532,1,1,1
78262912,78407336,1,1,1
79903724,80088968,1,1,1
80923352,81111696,1,1,1
82268088,82448116,1,1,1
83074504,83288304,1,1,1
84670688,84841624,1,1,1
85759016,85934492,1,1,1
86801872,86984772,1,1,1
87531152,87755216,1,1,1
88326604,88559568,1,1,1
89295960,89500264,1,1,1
90669644,90846220,1,1,1
91599612,91826200,1,1,1
92469584,92686632,1,1,1
93711016,93931884,1,1,1
94894272,95088376,1,1,1
95657764,95880856,1,1,1
96615240,96825808,1,1,1
97751204,97946104,1,1,1
99353484,99575036,1,1,1
100861420,101071508,1,1,1
101981980,102173300,1,1,1
103224776,103397808,1,1,1
103958280,104203888,1,1,1
105573356,105747932,1,1,1
107094408,107267568,1,1,1
108764040,108882432,1,1,1
109959900,110144852,1,1,1
111581328,111757184,1,1,1
112827672,113004632,1,1,1
113726108,113912268,1,1,1
114560748,114797332,1,1,1
115307808,115483392,1,1,1
116214868,116389876,1,1,1
117081364,117254132,1,1,1
118142620,118254356,1,1,1
119434832,119527324,1,1,1
120704808,120865872,1,1,1
121725348,121903668,1,1,1
123383144,123555988,1,1,1
124747468,124956692,1,1,1
125748172,125915900,1,1,1
127171372,127365320,1,1,1
128754800,128929904,1,1,1
129481380,129751512,1,1,1
130960988,131315940,1,1,1
132812408,132973692,1,1,1
134057176,134229744,1,1,1
135647216,135819864,1,1,1
136827344,137063316,1,1,1
137856800,138097168,1,1,1
139335636,139341644,1,1,1
140331120,140710892,1,1,1
141220376,141671628,1,1,1
142994096,143180292,1,1,1
143913768,144138328,1,1,1
144773808,145018764,1,1,1
145708252,145885096,1,1,1
146892580,147066920,1,1,1
148301400,148477932,1,1,1
149809424,149991376,1,1,1
150974856,151150112,1,1,1
152506592,152730924,1,1,1
153992408,154198096,1,1,1
155510564,155736752,1,1,1
156936236,157204308,1,1,1
158132788,158341916,1,1,1
159661392,159843680,1,1,1
160419156,160650800,1,1,1
161325284,161460840,1,1,1
162412308,162556236,1,1,1
163913716,164057556,1,1,1
164671032,164916984,1,1,1
165482456,165660852,1,1,1
166168328,166353880,1,1,1
167581360,167753568,1,1,1
168277052,168503256,1,1,1
169351736,169509596,1,1,1
170756072,172040452,1,1,1
173415924,173703076,1,1,1
174820564,175047932,1,1,1
175644404,175908460,1,1,1
176445936,176668252,1,1,1
