ObjShowTime,ReactionTime,StimType,Guess,Correct
1729541869932.464,1729541870242.8162,1,1,1
1729541870802.204,1729541871119.088,1,1,1
1729541872366.468,1729541872569.028,1,1,1
1729541873814.412,1729541873966.3442,1,1,1
1729541875120.7322,1729541875280.4482,1,1,1
1729541876473.832,1729541876647.436,1,1,1
1729541878064.8162,1729541878234.82,1,1,1
1729541879161.208,1729541879323.5322,1,1,1
1729541880106.912,1729541880282.684,1,1,1
1729541880784.072,1729541880954.256,1,1,1
1729541881578.64,1729541881723.3042,1,1,1
1729541883128.692,1729541883279.468,1,1,1
1729541884254.848,1729541884419.76,1,1,1
1729541885160.1482,1729541885306.9922,1,1,1
1729541886138.3762,1729541886300.32,1,1,1
1729541887086.708,1729541887249.528,1,1,1
1729541888056.924,1729541888202.248,1,1,1
1729541889433.632,1729541889986.1682,1,1,1
1729541891129.5562,1729541891318.3442,1,1,1
1729541892652.728,1729541892815.568,1,1,1
1729541893468.9602,1729541893634.28,1,1,1
1729541894757.672,1729541894891.152,1,1,1
1729541895985.536,1729541896158.9922,1,1,1
1729541897622.372,1729541897786.1162,1,1,1
1729541898362.5,1729541898541.5242,1,1,1
1729541899310.904,1729541899495.0442,1,1,1
1729541900744.432,1729541900881.3442,1,1,1
1729541902060.736,1729541902240.3042,1,1,1
1729541903509.6882,1729541903691.9802,1,1,1
1729541904398.3682,1729541904588.864,1,1,1
1729541905563.2522,1729541905745.7922,1,1,1
1729541906633.1882,1729541906876.412,1,1,1
1729541907446.8042,1729541907613.572,1,1,1
1729541908441.968,1729541908575.2642,1,1,1
1729541909233.6482,1729541909380.788,1,1,1
1729541910423.176,1729541910443.2842,1,1,1
1729541911806.76,1729541912007.612,1,1,1
1729541913425.092,1729541913588.296,1,1,1
1729541914146.776,1729541914326.968,1,1,1
1729541915619.4482,1729541915764.484,1,1,1
1729541916353.9602,1729541916521.76,1,1,1
1729541917341.228,1729541917495.6602,1,1,1
1729541918047.132,1729541918198.404,1,1,1
1729541919189.8762,1729541919349.7202,1,1,1
1729541920169.204,1729541920318.508,1,1,1
1729541921648.9922,1729541921816.1802,1,1,1
1729541922733.6602,1729541922917.964,1,1,1
1729541924277.4482,1729541924420.58,1,1,1
1729541925803.048,1729541925953.312,1,1,1
1729541926582.7922,1729541926757.052,1,1,1
1729541927877.5322,1729541928045.776,1,1,1
1729541929066.244,1729541929223.848,1,1,1
1729541929851.34,1729541929998.7722,1,1,1
1729541931038.2522,1729541931193.0842,1,1,1
1729541932152.56,1729541932322.5642,1,1,1
1729541933587.036,1729541933738.2722,1,1,1
1729541934740.76,1729541934906.7402,1,1,1
1729541936172.216,1729541936320.204,1,1,1
1729541936916.684,1729541937093.656,1,1,1
1729541938078.144,1729541938225.468,1,1,1
1729541938768.9402,1729541938932.332,1,1,1
1729541940304.808,1729541940478.488,1,1,1
1729541941953.964,1729541942117.296,1,1,1
1729541942980.7722,1729541943170.164,1,1,1
1729541944322.644,1729541944474.7002,1,1,1
1729541945206.1882,1729541945365.0642,1,1,1
1729541946030.5442,1729541946209.676,1,1,1
1729541946030.5442,1729541947193.872,1,1,1
1729541948237.3362,1729541948399.1482,1,1,1
1729541949205.62,1729541949376.488,1,1,1
1729541950262.964,1729541950445.4482,1,1,1
1729541951804.9282,1729541951965.4,1,1,1
1729541953093.88,1729541953601.9,1,1,1
1729541954509.3762,1729541954652.12,1,1,1
1729541956115.6,1729541956531.936,1,1,1
1729541957510.424,1729541957724.236,1,1,1
1729541958231.7122,1729541958406.796,1,1,1
1729541959409.2722,1729541959546.9202,1,1,1
1729541960748.4082,1729541960912.1682,1,1,1
1729541962230.644,1729541962380.424,1,1,1
1729541963204.912,1729541963378.768,1,1,1
1729541964094.244,1729541964274.092,1,1,1
1729541965277.58,1729541965461.9,1,1,1
1729541966233.38,1729541966401.016,1,1,1
1729541967783.488,1729541967971.3,1,1,1
1729541969406.776,1729541969548.244,1,1,1
1729541970532.7202,1729541970696.684,1,1,1
1729541971376.156,1729541971535.4,1,1,1
1729541972867.8762,1729541973049.652,1,1,1
1729541973834.14,1729541974007.348,1,1,1
1729541974718.832,1729541974904.2402,1,1,1
1729541975689.7122,1729541975865.0042,1,1,1
1729541976391.476,1729541976601.58,1,1,1
1729541977130.052,1729541977327.5242,1,1,1
1729541978595.0042,1729541978730.6482,1,1,1
1729541979859.12,1729541980002.996,1,1,1
1729541981468.4722,1729541981629.86,1,1,1
1729541982535.34,1729541982693.848,1,1,1
1729541983993.3242,1729541984178.088,1,1,1
1729541984754.56,1729541984945.7202,1,1,1
1729541986170.2002,1729541986317.0642,1,1,1
