928
1729516613.000,3526276
ObjShowTime,ReactionTime,StimType,Guess,Correct
60458740,60769092,1,1,1
61328480,61645364,1,1,1
62892744,63095304,1,1,1
64340688,64492620,1,1,1
65647008,65806724,1,1,1
67000108,67173712,1,1,1
68591092,68761096,1,1,1
69687484,69849808,1,1,1
70633188,70808960,1,1,1
71310348,71480532,1,1,1
72104916,72249580,1,1,1
73654968,73805744,1,1,1
74781124,74946036,1,1,1
75686424,75833268,1,1,1
76664652,76826596,1,1,1
77612984,77775804,1,1,1
78583200,78728524,1,1,1
79959908,80512444,1,1,1
81655832,81844620,1,1,1
83179004,83341844,1,1,1
83995236,84160556,1,1,1
85283948,85417428,1,1,1
86511812,86685268,1,1,1
88148648,88312392,1,1,1
88888776,89067800,1,1,1
89837180,90021320,1,1,1
91270708,91407620,1,1,1
92587012,92766580,1,1,1
94035964,94218256,1,1,1
94924644,95115140,1,1,1
96089528,96272068,1,1,1
97159464,97402688,1,1,1
97973080,98139848,1,1,1
98968244,99101540,1,1,1
99759924,99907064,1,1,1
100949452,100969560,1,1,1
102333036,102533888,1,1,1
103951368,104114572,1,1,1
104673052,104853244,1,1,1
106145724,106290760,1,1,1
106880236,107048036,1,1,1
107867504,108021936,1,1,1
108573408,108724680,1,1,1
109716152,109875996,1,1,1
110695480,110844784,1,1,1
112175268,112342456,1,1,1
113259936,113444240,1,1,1
114803724,114946856,1,1,1
116329324,116479588,1,1,1
117109068,117283328,1,1,1
118403808,118572052,1,1,1
119592520,119750124,1,1,1
120377616,120525048,1,1,1
121564528,121719360,1,1,1
122678836,122848840,1,1,1
124113312,124264548,1,1,1
125267036,125433016,1,1,1
126698492,126846480,1,1,1
127442960,127619932,1,1,1
128604420,128751744,1,1,1
129295216,129458608,1,1,1
130831084,131004764,1,1,1
132480240,132643572,1,1,1
133507048,133696440,1,1,1
134848920,135000976,1,1,1
135732464,135891340,1,1,1
136556820,136735952,1,1,1
136556820,137720148,1,1,1
138763612,138925424,1,1,1
139731896,139902764,1,1,1
140789240,140971724,1,1,1
142331204,142491676,1,1,1
143620156,144128176,1,1,1
145035652,145178396,1,1,1
146641876,147058212,1,1,1
148036700,148250512,1,1,1
148757988,148933072,1,1,1
149935548,150073196,1,1,1
151274684,151438444,1,1,1
152756920,152906700,1,1,1
153731188,153905044,1,1,1
154620520,154800368,1,1,1
155803856,155988176,1,1,1
156759656,156927292,1,1,1
158309764,158497576,1,1,1
159933052,160074520,1,1,1
161058996,161222960,1,1,1
161902432,162061676,1,1,1
163394152,163575928,1,1,1
164360416,164533624,1,1,1
165245108,165430516,1,1,1
166215988,166391280,1,1,1
166917752,167127856,1,1,1
167656328,167853800,1,1,1
169121280,169256924,1,1,1
170385396,170529272,1,1,1
171994748,172156136,1,1,1
173061616,173220124,1,1,1
174519600,174704364,1,1,1
175280836,175471996,1,1,1
176696476,176843340,1,1,1
