1732018160.000,12439648
ObjShowTime,ReactionTime,StimType,Guess,Correct
57867776,58024468,1,1,1
58768848,58910712,1,1,1
60390108,60523884,1,1,1
61329268,61472664,1,1,1
62960044,63088452,1,1,1
63860840,63977648,1,1,1
65379028,65504572,1,1,1
66736964,66864936,1,1,1
68051312,68181980,1,1,1
68869380,69001352,1,1,1
69605732,69713464,1,1,1
71107860,71240984,1,1,1
72258376,72391988,1,1,1
73519376,73649368,1,1,1
75031760,75138796,1,1,1
76113188,76247032,1,1,1
76883420,77030928,1,1,1
77662312,77784228,1,1,1
78461608,78588552,1,1,1
79493944,79641640,1,1,1
81046028,81189736,1,1,1
82330124,82473356,1,1,1
83084736,83249540,1,1,1
84237928,84365772,1,1,1
85374156,85494776,1,1,1
86842164,87046180,1,1,1
88489560,88619716,1,1,1
89706096,89820576,1,1,1
90626952,90761956,1,1,1
91677344,91808524,1,1,1
93147912,93485804,1,1,1
94336188,94478572,1,1,1
95514960,95627508,1,1,1
96831892,97177792,1,1,1
98613180,98739264,1,1,1
99343656,99491364,1,1,1
100870752,100990164,1,1,1
102160648,102515068,1,1,1
103635540,103752692,1,1,1
104482172,104621348,1,1,1
105682816,105814916,1,1,1
107119392,107243252,1,1,1
108073724,108209972,1,1,1
108843444,109000192,1,1,1
110099664,110236512,1,1,1
110885000,111041120,1,1,1
111761592,111889420,1,1,1
113327892,113470332,1,1,1
114860816,114992700,1,1,1
115870168,116015584,1,1,1
117244056,117273748,1,1,1
118397236,118540376,1,1,1
119463848,119599388,1,1,1
120348864,120487624,1,1,1
121480100,121626468,1,1,1
122904944,123037248,1,1,1
123591728,123774304,1,1,1
124757780,124890180,1,1,1
125665660,125799908,1,1,1
126688396,126790632,1,1,1
127327112,127475316,1,1,1
128791804,128922840,1,1,1
129597316,129730516,1,1,1
130756000,130889256,1,1,1
131980732,132120308,1,1,1
132749776,132908740,1,1,1
133487216,133629396,1,1,1
134433880,134572532,1,1,1
135934016,136181948,1,1,1
136824420,136978188,1,1,1
137885664,138009352,1,1,1
138952840,139060092,1,1,1
140075568,140193544,1,1,1
140909024,141039232,1,1,1
141745700,141880040,1,1,1
142812520,142928224,1,1,1
143807704,143946248,1,1,1
144870724,144995848,1,1,1
146446324,146583252,1,1,1
146446324,147886456,1,1,1
148541920,148739340,1,1,1
150134824,150264572,1,1,1
150774052,150953220,1,1,1
151769692,151890684,1,1,1
152397164,152556528,1,1,1
153975020,154095132,1,1,1
155023608,155152644,1,1,1
155763120,155912484,1,1,1
156926960,157038548,1,1,1
157789036,157915720,1,1,1
159101204,159233360,1,1,1
160711840,160840484,1,1,1
161502956,161658872,1,1,1
162999360,163126900,1,1,1
164498384,164646840,1,1,1
165695324,165829188,1,1,1
166788660,166930804,1,1,1
168080280,168226832,1,1,1
168954304,169091876,1,1,1
169745348,169877252,1,1,1
170424720,170541088,1,1,1
