trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725400562253.9202,1725400562373.844,1,1,1
2,1725400563123.2122,1725400563284.6082,1,1,1
3,1725400564323.968,1725400564465.78,1,1,1
4,1725400565205.24,1725400565349.144,1,1,1
5,1725400566819.6082,1725400566990.704,1,1,1
6,1725400568038.172,1725400568162.56,1,1,1
7,1725400569617.016,1725400569726.964,1,1,1
8,1725400570648.424,1725400570781.0562,1,1,1
9,1725400571393.5122,1725400571562.768,1,1,1
10,1725400572296.24,1725400572414.52,1,1,1
11,1725400573290.0122,1725400573423.74,1,1,1
12,1725400574439.24,1725400574569.944,1,1,1
13,1725400575398.448,1725400575538.988,1,1,1
14,1725400576845.4922,1725400576967.7322,1,1,1
15,1725400577496.2322,1725400577652.844,1,1,1
16,1725400578772.344,1725400578902.372,1,1,1
17,1725400579509.872,1725400579654.808,1,1,1
18,1725400580547.3,1725400580684.708,1,1,1
19,1725400581396.208,1725400581559.328,1,1,1
20,1725400582094.84,1725400582259.14,1,1,1
21,1725400583423.64,1725400583516.652,1,1,1
22,1725400584635.156,1725400584776.0122,1,1,1
23,1725400584635.156,1725400586065.24,1,1,1
24,1725400586947.74,1725400587097.152,1,1,1
25,1725400588036.656,1725400588197.5,1,1,1
26,1725400588993.008,1725400589152.028,1,1,1
27,1725400589965.54,1725400590103.268,1,1,1
28,1725400590605.772,1725400590825.568,1,1,1
29,1725400592191.0762,1725400592321.5562,1,1,1
30,1725400593289.06,1725400593430.58,1,1,1
31,1725400594363.0762,1725400594394.384,1,1,1
32,1725400595627.892,1725400595775.604,1,1,1
33,1725400597244.112,1725400597380.572,1,1,1
34,1725400598378.08,1725400598540.352,1,1,1
35,1725400599063.848,1725400599232.5562,1,1,1
36,1725400599771.068,1725400599939.188,1,1,1
37,1725400600650.692,1725400600810.092,1,1,1
38,1725400602091.604,1725400602220.932,1,1,1
39,1725400602793.432,1725400602929.708,1,1,1
40,1725400604356.208,1725400604472.756,1,1,1
41,1725400605147.26,1725400605295.976,1,1,1
42,1725400605937.476,1725400606072.9082,1,1,1
43,1725400607571.4082,1725400607930.1282,1,1,1
44,1725400608850.636,1725400608990.708,1,1,1
45,1725400610123.2122,1725400610249.456,1,1,1
46,1725400611717.964,1725400611849.24,1,1,1
47,1725400613045.74,1725400613183.2322,1,1,1
48,1725400614243.7322,1725400614371.8882,1,1,1
49,1725400615759.3882,1725400615898.768,1,1,1
50,1725400617047.272,1725400617169.1802,1,1,1
51,1725400617778.6802,1725400617942.196,1,1,1
52,1725400618806.7002,1725400618941.756,1,1,1
53,1725400620221.2642,1725400620329.844,1,1,1
54,1725400621708.352,1725400621827.496,1,1,1
55,1725400623133.996,1725400623227.932,1,1,1
56,1725400624326.432,1725400624440.692,1,1,1
57,1725400625724.188,1725400625852.604,1,1,1
58,1725400626767.1082,1725400626900.344,1,1,1
59,1725400627487.8562,1725400627733.084,1,1,1
60,1725400629070.592,1725400629391.3682,1,1,1
61,1725400630474.8882,1725400630617.6282,1,1,1
62,1725400631275.136,1725400631427.2522,1,1,1
63,1725400632801.76,1725400632923.592,1,1,1
64,1725400633820.104,1725400633949.296,1,1,1
65,1725400634669.8042,1725400634826.244,1,1,1
66,1725400635519.744,1725400635689.964,1,1,1
67,1725400636993.4722,1725400637002.632,1,1,1
68,1725400637775.14,1725400637931.684,1,1,1
69,1725400639012.184,1725400639147.12,1,1,1
70,1725400639765.6282,1725400639875.952,1,1,1
71,1725400640577.476,1725400640735.924,1,1,1
72,1725400642163.424,1725400642288.364,1,1,1
73,1725400643495.88,1725400643629.668,1,1,1
74,1725400644621.164,1725400644753.916,1,1,1
75,1725400645401.424,1725400645543.0642,1,1,1
76,1725400646882.56,1725400647034.312,1,1,1
77,1725400648252.82,1725400648401.032,1,1,1
78,1725400649771.532,1725400649889.9402,1,1,1
79,1725400651016.436,1725400651151.092,1,1,1
80,1725400652041.604,1725400652175.776,1,1,1
81,1725400653657.288,1725400653787.28,1,1,1
82,1725400655107.78,1725400655219.5122,1,1,1
83,1725400656686.12,1725400656836.952,1,1,1
84,1725400658026.548,1725400658163.744,1,1,1
85,1725400659456.3362,1725400659501.5042,1,1,1
86,1725400660080.0962,1725400660439.352,1,1,1
87,1725400661848.944,1725400662018.344,1,1,1
88,1725400662768.936,1725400662944.7122,1,1,1
89,1725400664439.292,1725400664574.768,1,1,1
90,1725400665614.3682,1725400665784.736,1,1,1
91,1725400666888.34,1725400667033.24,1,1,1
92,1725400668140.832,1725400668298.532,1,1,1
93,1725400669117.1282,1725400669270.428,1,1,1
94,1725400670113.016,1725400670245.592,1,1,1
95,1725400671509.192,1725400671631.828,1,1,1
96,1725400672658.432,1725400672797.0962,1,1,1
97,1725400674187.688,1725400674324.38,1,1,1
98,1725400674969.976,1725400675116.384,1,1,1
99,1725400675731.98,1725400675908.404,1,1,1
100,1725400677273.0122,1725400677421.884,1,1,1
