1725376984.000,3978096
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,9231960,9480468,2,2,1
2,10596804,10798640,2,2,1
3,11814088,11992500,2,2,1
4,12725932,12907832,2,2,1
5,14209276,14384752,2,2,1
6,15340192,15503948,2,2,1
7,16878388,17100824,2,2,1
8,18451336,18728224,1,1,1
9,20105716,20416544,1,1,1
10,21008960,21220360,2,2,1
11,22641852,22809424,2,2,1
12,23863912,23993168,2,2,1
13,24737744,24899148,1,2,0
14,25853612,26026024,2,2,1
15,26785504,27018604,2,2,1
16,28363164,28532428,1,1,1
17,29066972,29318820,1,1,1
18,30115276,30334484,2,2,1
19,31158964,31365796,2,2,1
20,32814280,33060360,2,2,1
21,33885844,34056444,2,2,1
22,34802936,34963284,2,2,1
23,36095768,36333444,2,2,1
24,37450016,37763704,1,1,1
25,38317252,38536592,1,1,1
26,39465060,39739096,2,2,1
27,40382588,40522320,2,2,1
28,41470800,41691428,2,2,1
29,42305996,42545176,1,1,1
30,43424720,43679096,1,1,1
31,44382640,44632548,1,1,1
32,45881008,46057380,2,2,1
33,47557960,47722808,1,1,1
34,48243276,48441196,2,2,1
35,49047772,49212652,1,1,1
36,49917128,50080064,2,2,1
37,50595548,50788460,2,1,0
38,52012028,52238060,1,1,1
39,53268536,53425192,2,2,1
40,54793760,54987420,1,1,1
41,55779888,55908704,2,2,1
42,56561184,56744812,2,2,1
43,58084296,58317880,2,2,1
44,59402452,59556804,1,1,1
45,60509276,60711704,2,2,1
46,62028272,62245256,1,1,1
47,62823804,63084496,1,1,1
48,64113972,64267512,2,2,1
49,65133000,65284144,2,2,1
50,65911704,66164100,1,1,1
51,67493568,67643872,2,2,1
52,69113360,69341204,2,2,1
53,70664692,70934928,2,2,1
54,71536420,71752388,2,2,1
55,72354952,72614644,1,1,1
56,73942112,74118244,2,2,1
57,75336820,75580268,1,1,1
58,76476740,76637460,2,2,1
59,77776032,77970132,1,1,1
60,78621600,78783476,2,2,1
61,79360052,79546200,1,1,1
62,80257672,80433552,2,2,1
63,81827040,82158484,2,2,1
64,83050972,83230252,2,2,1
65,84357740,84594208,2,2,1
66,85579780,85826480,1,1,1
67,87170036,87413036,1,1,1
68,88741504,88934184,2,2,1
69,89995752,90195936,1,1,1
70,91602476,91883936,1,1,1
71,92981408,93145372,2,2,1
72,94205940,94465288,1,1,1
73,94966752,95188240,2,2,1
74,96404812,96599208,1,1,1
75,98012668,98253568,2,2,1
76,99018060,99190500,2,1,0
77,100427068,100583616,1,1,1
78,101684168,101836760,2,2,1
79,102349424,102545156,1,1,1
80,103180724,103340936,2,2,1
81,104294520,104500720,2,2,1
82,105294292,105503868,2,2,1
83,106458436,106655704,2,2,1
84,108039296,108281724,2,2,1
85,109361388,109529924,1,1,1
86,110043564,110291124,1,1,1
87,110797672,110989688,2,2,1
88,111546264,111743088,2,2,1
89,112287668,112473164,2,2,1
90,113705820,113882544,1,1,1
91,114431108,114616036,2,2,1
92,115581624,115754272,2,2,1
93,116333924,116476260,1,2,0
94,117766896,118141208,1,1,1
95,118777844,119030260,1,1,1
96,120273820,120427836,2,2,1
97,121431416,121584052,2,2,1
98,122100624,122327740,2,2,1
99,123725396,123909608,1,1,1
100,125316172,125467664,2,1,0
101,125983288,126391696,2,2,1
102,127696324,127958860,2,2,1
103,128981492,129458656,2,2,1
104,130152272,130383260,2,2,1
105,130966884,131143948,2,2,1
