1725371814.000,3999460
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,9253360,9605068,2,2,1
2,10686412,10969168,2,2,1
3,12309684,12577308,1,1,1
4,14017812,14260136,1,1,1
5,15488636,15838244,1,1,1
6,16658752,16954948,1,1,1
7,17780368,18018316,2,2,1
8,19007756,19260644,2,2,1
9,20330160,20790992,1,1,1
10,21887488,22174196,1,1,1
11,23554660,23873192,2,2,1
12,24870676,25279420,2,2,1
13,26489916,26797100,2,2,1
14,27770580,28035160,2,2,1
15,29474644,29802612,2,2,1
16,31106176,31306004,1,1,1
17,32662556,32935620,1,1,1
18,33971080,34382136,2,2,1
19,35190704,35587508,1,1,1
20,36105968,36475908,2,2,1
21,37420384,37698116,2,2,1
22,38844604,39163100,2,2,1
23,39877676,40295408,1,1,1
24,40825960,41217264,1,1,1
25,42173732,42634116,2,2,1
26,44111688,44467252,1,1,1
27,45202720,45589332,2,2,1
28,46410828,46616620,2,2,1
29,48059180,48292756,1,1,1
30,49055228,49366748,2,2,1
31,50692320,50924804,1,1,1
32,51953264,52179832,2,1,0
33,53633408,53909332,1,1,1
34,54721808,55078264,2,2,1
35,56186752,56641540,2,2,1
36,57248028,57528404,2,2,1
37,58322892,58686776,2,2,1
38,59832344,60045608,1,1,1
39,60657148,60985992,1,1,1
40,62137544,62456180,1,1,1
41,63485640,63736896,2,2,1
42,65074388,65370904,2,2,1
43,66685468,66993928,1,1,1
44,68103472,68366072,1,1,1
45,69621536,69836736,2,2,1
46,70588308,70890336,1,1,1
47,72045816,72329380,2,2,1
48,72954868,73262096,2,2,1
49,74130588,74446248,2,2,1
50,75925744,76241400,2,2,1
51,77584972,77772068,1,1,1
52,78830612,79053216,1,1,1
53,79739756,80004420,1,1,1
54,81424880,82058720,2,2,1
55,82780208,83033356,2,2,1
56,84428928,84809292,1,1,1
57,86129760,86379572,2,2,1
58,87663140,87920364,1,1,1
59,88846904,89129232,1,1,1
60,90439780,90773908,1,1,1
61,91403380,91685492,2,2,1
62,92557976,92819160,2,2,1
63,93490640,93776276,2,2,1
64,94435760,94685068,2,2,1
65,95974564,96239284,2,2,1
66,97665776,97909620,2,2,1
67,98845112,99074536,2,2,1
68,100307108,100495704,1,1,1
69,101676340,101873308,1,1,1
70,102779952,103055172,1,1,1
71,104468820,104732932,1,1,1
72,105730484,105933492,2,1,0
73,107008156,107347320,1,1,1
74,108073948,108544884,1,1,1
75,109720444,110005948,2,2,1
76,111390604,111686464,1,1,1
77,112452028,112759564,2,2,1
78,113439216,113786772,1,1,1
79,114652340,114897288,2,2,1
80,115997956,116283068,1,1,1
81,117505624,117920332,2,2,1
82,118686988,118992040,1,1,1
83,120054668,120347936,1,1,1
84,121062572,121403912,1,1,1
85,122815460,123149596,2,2,1
86,124317176,124534724,2,2,1
87,125172300,125436128,2,2,1
88,126868716,127167960,2,2,1
89,128375536,128655804,2,2,1
90,130013384,130269568,2,2,1
91,131207152,131491860,2,2,1
92,132366516,132612500,1,1,1
93,133137128,133549112,1,1,1
94,134834744,135172864,1,1,1
95,136156508,136487504,1,1,1
96,137238140,137735604,1,1,1
97,138271152,138551496,2,2,1
98,140048072,140327832,2,2,1
99,141026424,141289524,2,2,1
100,142137184,142387268,1,1,1
101,143194872,143465144,2,2,1
102,144041856,144352060,1,1,1
