1725372050.000,3500584
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8754500,9071240,2,2,1
2,9650572,10098512,3,3,1
3,11107904,11504380,3,3,1
4,12488908,12940816,1,1,1
5,13631308,13964164,1,1,1
6,14908596,15275348,3,3,1
7,15783788,16190056,3,3,1
8,17263492,17599612,3,3,1
9,19028136,19328288,1,1,1
10,19882788,20205600,1,1,1
11,20810064,21127596,3,3,1
12,22169124,22563860,2,2,1
13,23794364,24036228,2,2,1
14,25228788,25550092,1,1,1
15,26898608,27242160,2,2,1
16,28568712,28914784,1,1,1
17,29629252,30004840,3,3,1
18,30574396,31069756,1,1,1
19,32497300,32805924,1,1,1
20,33328424,33756716,2,2,1
21,34696268,35030240,1,1,1
22,36226780,36517148,1,1,1
23,37256692,37560128,1,1,1
24,38580632,39003480,2,2,1
25,39848032,40150724,1,1,1
26,40695192,41049804,3,3,1
27,42444284,42854304,3,3,1
28,43916872,44181640,1,1,1
29,44957140,45256992,2,2,1
30,45764544,46140196,1,1,1
31,47624736,48096484,1,1,1
32,48810040,49125668,1,1,1
33,49627224,49921752,1,1,1
34,50793256,51111568,2,2,1
35,52036116,52359484,1,1,1
36,53184996,53511876,2,2,1
37,54621352,55120336,3,3,1
38,55997816,56281732,3,3,1
39,56874308,57201668,1,1,1
40,58425136,58883084,3,3,1
41,59956608,60345452,2,2,1
42,60870964,61212200,2,2,1
43,62234676,62846424,3,3,1
44,64051956,64551136,2,2,1
45,65967684,66269324,1,1,1
46,67322868,67602476,1,1,1
47,68357020,68641860,1,1,1
48,69384412,69706932,1,1,1
49,70413480,70777076,1,1,1
50,71636584,71877004,2,2,1
51,72861516,73161384,2,2,1
52,74366904,74673404,2,2,1
53,75368876,75713032,3,3,1
54,77202600,77490080,1,1,1
55,78005632,78288800,1,1,1
56,78845316,79147140,2,2,1
57,80282696,80653184,1,1,1
58,81992744,82302172,1,1,1
59,83530676,83921564,2,3,0
60,85030040,85349848,3,3,1
61,86803416,87135024,1,1,1
62,88474484,88828712,3,3,1
63,89869200,90293284,3,3,1
64,91241812,91733536,2,2,1
65,93083008,93462400,3,3,1
66,94812968,95270304,1,1,1
67,96288848,96598612,1,1,1
68,97888116,98516068,2,2,1
69,99691628,99994200,1,1,1
70,100677668,101037664,3,3,1
71,101959236,102292824,3,3,1
72,103658400,104035864,3,3,1
73,105224520,105558124,1,1,1
74,106217676,106587344,3,3,1
75,107473968,107793304,2,2,1
76,108542952,109235132,1,1,1
77,109902780,110190020,1,1,1
78,111507660,111966568,1,1,1
79,112631200,112966228,1,1,1
80,113939864,114274096,1,1,1
81,115101704,115455032,2,2,1
82,116586640,117185032,2,2,1
83,117787680,118128340,1,1,1
84,119383976,119786468,1,1,1
85,121239068,121658232,2,2,1
86,122246804,122649984,3,3,1
87,123781600,124263976,2,2,1
88,125172616,125466444,1,1,1
89,126207044,126562320,2,2,1
90,127237924,127550824,2,2,1
91,128735472,129029932,1,1,1
92,129691536,130129620,2,2,1
93,131438264,131835136,1,1,1
94,132890700,133242644,3,3,1
95,134349264,134668932,2,2,1
96,135965492,136356764,3,3,1
97,137181356,137649564,3,3,1
98,138682216,139036032,1,1,1
99,140155588,140521484,3,3,1
100,141744064,142051772,3,3,1
101,142869396,143163968,3,3,1
