1725371499.000,3380724
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8634648,8938948,1,1,1
2,9867316,10047436,1,1,1
3,11394860,11592880,1,1,1
4,13018340,13221488,1,1,1
5,14129944,14481828,1,1,1
6,15674284,15854392,1,1,1
7,16728856,16923976,1,1,1
8,18165432,18347896,1,1,1
9,19494368,19652420,1,1,1
10,21122876,21324104,1,1,1
11,22376612,22543060,1,1,1
12,23319568,23547612,1,1,1
13,24465120,24656008,1,1,1
14,25286508,25476976,1,1,1
15,25996488,26229768,1,1,1
16,26955272,27122872,1,1,1
17,28200368,28541288,1,1,1
18,29178788,29409024,1,1,1
19,30721528,30938912,1,1,1
20,32116404,32286228,1,1,1
21,32862724,33118072,1,1,1
22,34414572,34738288,1,1,1
23,35880784,36049232,1,1,1
24,37049740,37229776,1,1,1
25,38497288,38956760,1,1,1
26,39635260,39835204,1,1,1
27,40547704,40791448,1,1,1
28,41982948,42272404,1,1,1
29,43007900,43216724,1,1,1
30,43920240,44122148,1,1,1
31,45218648,45429836,1,1,1
32,46513348,46715752,1,1,1
33,48019260,48250352,1,1,1
34,49239852,49571436,1,1,1
35,50480936,50671808,1,1,1
36,51229304,51422364,1,1,1
37,52808864,53121688,1,1,1
38,54463184,54645476,1,1,1
39,55199984,55465088,1,1,1
40,56832588,57017628,1,1,1
41,57826120,58102052,1,1,1
42,59003560,59280168,1,1,1
43,60012668,60194232,1,1,1
44,60885736,61076464,1,1,1
45,62167972,62351188,1,1,1
46,63655696,63846340,1,1,1
47,64445844,64676572,1,1,1
48,65653072,65830540,1,1,1
49,66860040,67056320,1,1,1
50,68322816,68519084,1,1,1
51,69785580,69982560,1,1,1
52,71482064,71674412,1,1,1
53,73034916,73358948,1,1,1
54,73986452,74222768,1,1,1
55,75326272,75546916,1,1,1
56,76425432,76637384,1,1,1
57,77755884,77955828,1,1,1
58,79054328,79278580,1,1,1
59,80758084,81167424,1,1,1
60,82224932,82424524,1,1,1
61,83879036,84063968,1,1,1
62,84984464,85190156,1,1,1
63,86615652,86792764,1,1,1
64,87672264,88022608,1,1,1
65,88845108,89036032,1,1,1
66,89940532,90117812,1,1,1
67,90655312,90861036,1,1,1
68,91617540,91827652,1,1,1
69,92640156,92816012,1,1,1
70,93347508,93568864,1,1,1
71,94153372,94405640,1,1,1
72,95507148,95740612,1,1,1
73,97157132,97349328,1,1,1
74,98521836,98740708,1,1,1
75,99402216,99725068,1,1,1
76,101204576,101418504,1,1,1
77,102890092,103069316,1,1,1
78,104015916,104239988,1,1,1
79,104855596,105158592,1,1,1
80,106231192,106413812,1,1,1
81,107157412,107412032,1,1,1
82,107920632,108277860,1,1,1
83,109313456,109504656,1,1,1
84,110548252,110716816,1,1,1
85,111545424,111714664,1,1,1
86,112792256,112980836,1,1,1
87,114100432,114280692,1,1,1
88,115494288,115692688,1,1,1
89,117146276,117329216,1,1,1
90,117993804,118238720,1,1,1
91,118917320,119114136,1,1,1
92,120349740,120555140,1,1,1
93,121431740,121648288,1,1,1
94,122596888,122776268,1,1,1
95,123834860,124012504,1,1,1
96,125048104,125265332,1,1,1
97,126667924,126998724,1,1,1
98,127750324,127963716,1,1,1
99,128925304,129122560,1,1,1
100,130448152,130626296,1,1,1
