1725375357.000,3121608
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8375528,8495452,1,1,1
2,9244820,9406216,1,1,1
3,10445576,10587388,1,1,1
4,11326848,11470752,1,1,1
5,12941216,13112312,1,1,1
6,14159780,14284168,1,1,1
7,15738624,15848572,1,1,1
8,16770032,16902664,1,1,1
9,17515120,17684376,1,1,1
10,18417848,18536128,1,1,1
11,19411620,19545348,1,1,1
12,20560848,20691552,1,1,1
13,21520056,21660596,1,1,1
14,22967100,23089340,1,1,1
15,23617840,23774452,1,1,1
16,24893952,25023980,1,1,1
17,25631480,25776416,1,1,1
18,26668908,26806316,1,1,1
19,27517816,27680936,1,1,1
20,28216448,28380748,1,1,1
21,29545248,29638260,1,1,1
22,30756764,30897620,1,1,1
23,30756764,32186848,1,1,1
24,33069348,33218760,1,1,1
25,34158264,34319108,1,1,1
26,35114616,35273636,1,1,1
27,36087148,36224876,1,1,1
28,36727380,36947176,1,1,1
29,38312684,38443164,1,1,1
30,39410668,39552188,1,1,1
31,40484684,40515992,1,1,1
32,41749500,41897212,1,1,1
33,43365720,43502180,1,1,1
34,44499688,44661960,1,1,1
35,45185456,45354164,1,1,1
36,45892676,46060796,1,1,1
37,46772300,46931700,1,1,1
38,48213212,48342540,1,1,1
39,48915040,49051316,1,1,1
40,50477816,50594364,1,1,1
41,51268868,51417584,1,1,1
42,52059084,52194516,1,1,1
43,53693016,54051736,1,1,1
44,54972244,55112316,1,1,1
45,56244820,56371064,1,1,1
46,57839572,57970848,1,1,1
47,59167348,59304840,1,1,1
48,60365340,60493496,1,1,1
49,61880996,62020376,1,1,1
50,63168880,63290788,1,1,1
51,63900288,64063804,1,1,1
52,64928308,65063364,1,1,1
53,66342872,66451452,1,1,1
54,67829960,67949104,1,1,1
55,69255604,69349540,1,1,1
56,70448040,70562300,1,1,1
57,71845796,71974212,1,1,1
58,72888716,73021952,1,1,1
59,73609464,73854692,1,1,1
60,75192200,75512976,1,1,1
61,76596496,76739236,1,1,1
62,77396744,77548860,1,1,1
63,78923368,79045200,1,1,1
64,79941712,80070904,1,1,1
65,80791412,80947852,1,1,1
66,81641352,81811572,1,1,1
67,83115080,83124240,1,1,1
68,83896748,84053292,1,1,1
69,85133792,85268728,1,1,1
70,85887236,85997560,1,1,1
71,86699084,86857532,1,1,1
72,88285032,88409972,1,1,1
73,89617488,89751276,1,1,1
74,90742772,90875524,1,1,1
75,91523032,91664672,1,1,1
76,93004168,93155920,1,1,1
77,94374428,94522640,1,1,1
78,95893140,96011548,1,1,1
79,97138044,97272700,1,1,1
80,98163212,98297384,1,1,1
81,99778896,99908888,1,1,1
82,101229388,101341120,1,1,1
83,102807728,102958560,1,1,1
84,104148156,104285352,1,1,1
85,105577944,105623112,1,1,1
86,106201704,106560960,1,1,1
87,107970552,108139952,1,1,1
88,108890544,109066320,1,1,1
89,110560900,110696376,1,1,1
90,111735976,111906344,1,1,1
91,113009948,113154848,1,1,1
92,114262440,114420140,1,1,1
93,115238736,115392036,1,1,1
94,116234624,116367200,1,1,1
95,117630800,117753436,1,1,1
96,118780040,118918704,1,1,1
97,120309296,120445988,1,1,1
98,121091584,121237992,1,1,1
99,121853588,122030012,1,1,1
100,123394620,123543492,1,1,1
