ObjShowTime,ReactionTime,StimType,Guess,Correct
1745361292379.852,1745361292795.2322,2,2,1
1745361296941.484,1745361297488.276,2,2,1
1745361300478.452,1745361301015.072,2,2,1
1745361301703.28,1745361302174.3162,1,1,1
1745361302788.5242,1745361303239.0,2,2,1
1745361303904.216,1745361304345.672,2,2,1
1745361305623.88,1745361306070.928,2,2,1
1745361306982.136,1745361307501.1282,1,1,1
1745361308855.332,1745361309391.3362,2,2,1
1745361310538.548,1745361310973.0122,2,2,1
1745361314613.508,1745361315015.3,1,1,1
1745361315960.5042,1745361316397.3882,1,1,1
1745361317581.6,1745361318093.0642,2,2,1
1745361318904.28,1745361319345.568,2,2,1
1745361320048.776,1745361320476.98,1,1,1
1745361321010.192,1745361321496.616,1,1,1
1745361322556.828,1745361323024.164,1,1,1
1745361323607.364,1745361324076.688,2,2,1
1745361324758.896,1745361325324.488,1,1,1
1745361326062.692,1745361326635.916,2,2,1
1745361328108.1282,1745361328570.0242,2,2,1
1745361329404.224,1745361329863.58,1,1,1
1745361331034.7842,1745361331652.74,1,1,1
1745361333083.948,1745361333529.976,2,2,1
1745361334129.184,1745361334549.324,2,2,1
1745361335175.536,1745361335616.428,2,2,1
1745361336707.636,1745361337194.456,2,2,1
1745361338484.7522,1745361339031.332,1,1,1
1745361339965.6282,1745361340415.924,2,2,1
1745361341204.22,1745361341532.376,2,2,1
1745361342240.6802,1745361342569.532,2,2,1
1745361343074.828,1745361343450.392,2,2,1
1745361344057.692,1745361344357.5242,2,2,1
1745361345485.8162,1745361345876.3562,1,1,1
1745361346919.6482,1745361347412.416,2,2,1
1745361348476.708,1745361348912.152,1,1,1
1745361360288.196,1745361360762.1082,1,1,1
1745361361570.4082,1745361362125.6,2,2,1
1745361363212.896,1745361363632.0762,2,2,1
1745361364888.372,1745361365276.196,1,1,1
1745361366443.496,1745361366908.924,2,2,1
1745361367506.224,1745361367879.352,2,2,1
1745361369231.644,1745361369756.724,1,1,1
1745361371173.02,1745361371524.4922,2,2,1
1745361373581.584,1745361374086.664,2,2,1
1745361374762.9602,1745361375147.288,2,2,1
1745361376126.588,1745361376531.616,1,1,1
1745361377858.912,1745361378353.2322,1,1,1
1745361379354.528,1745361379745.56,1,1,1
1745361380858.852,1745361381348.192,2,2,1
1745361382477.496,1745361382872.88,2,2,1
1745361383550.176,1745361384079.344,1,1,1
1745361385139.64,1745361385579.0242,1,1,1
1745361386128.32,1745361386627.248,2,2,1
1745361388006.548,1745361388318.188,2,2,1
1745361389775.48,1745361390275.164,1,1,1
1745361390876.456,1745361391235.136,1,1,1
1745361392300.4402,1745361392728.9082,2,2,1
1745361393646.208,1745361393970.228,2,2,1
1745361394935.5242,1745361395335.924,1,1,1
1745361395960.228,1745361396302.828,1,1,1
1745361398483.428,1745361399044.7002,1,1,1
1745361399645.996,1745361400306.204,1,1,1
1745361401123.496,1745361401490.456,1,1,1
1745361402526.756,1745361402939.872,2,2,1
1745361404273.168,1745361404809.636,2,2,1
1745361405692.932,1745361406264.2522,2,2,1
1745361406833.552,1745361407286.4402,2,2,1
1745361408404.7322,1745361409000.268,1,1,1
1745361412222.028,1745361412748.384,2,2,1
1745361413995.684,1745361414515.3882,2,2,1
1745361415746.6802,1745361416135.036,1,1,1
1745361417484.328,1745361417819.624,1,1,1
1745361418519.924,1745361419009.848,1,1,1
1745361420465.14,1745361420885.644,2,2,1
1745361421703.944,1745361422001.8,2,2,1
1745361422614.0962,1745361422899.936,2,2,1
1745361423436.236,1745361423888.364,1,1,1
1745361424545.656,1745361424843.496,2,2,1
1745361425756.792,1745361426078.028,2,2,1
1745361427538.34,1745361427829.8162,2,2,1
1745361429176.112,1745361429722.26,2,2,1
1745361430354.5562,1745361430814.292,1,1,1
1745361431812.588,1745361432262.824,2,2,1
1745361433389.12,1745361433645.864,2,2,1
1745361434928.1602,1745361435261.6802,2,2,1
1745361436060.98,1745361436371.768,1,1,1
1745361437370.06,1745361437859.04,2,2,1
1745361438805.34,1745361439402.132,1,1,1
1745361440193.432,1745361440453.744,2,2,1
