17451745340730.000,4896624
ObjShowTime,ReactionTime,StimType,Guess,Correct
54861936,55551296,2,2,1
56184504,56745976,1,1,1
57510184,58353356,1,1,1
59832560,60494748,1,1,1
61807952,62504972,1,1,1
63261172,63829884,1,1,1
64341096,64773276,1,1,1
65586480,65958196,2,2,1
67025400,67626748,1,2,0
68312956,68922176,2,2,1
69990380,70449572,1,1,1
71860784,72174316,2,2,1
73105532,73576860,1,1,1
74244064,75064264,1,1,1
76539472,77349736,1,1,1
77876940,78358352,1,1,1
78960564,79382080,2,2,1
80004288,80386696,2,2,1
81183900,81636136,1,1,1
82725340,83277276,1,1,1
83986488,84361568,2,2,1
85783772,86089708,2,2,1
86984916,87424264,1,1,1
88239468,88630536,1,1,1
90014748,90290416,2,2,1
90803624,91605064,1,1,1
92216272,92555860,2,2,1
93252068,94109324,2,2,1
95225536,95701080,2,1,0
97176288,97726240,1,1,1
98649444,99034228,2,2,1
99771444,100127532,2,2,1
101314788,101857768,1,1,1
102821064,103406932,1,1,1
104420224,104824500,2,2,1
105575796,105916980,2,2,1
107304276,107801240,1,1,1
109043536,109605608,2,2,1
110170904,110573608,1,1,1
112035908,112360116,2,2,1
113074408,113380744,1,1,1
113933044,114538564,2,2,1
116025860,116521764,1,1,1
117359056,117824752,1,1,1
118529056,119000816,2,2,1
120393108,120955956,2,2,1
121766252,122302156,2,2,1
122983464,123490764,1,1,1
123993052,124796864,1,1,1
125443172,126188324,2,2,1
127337620,127709140,2,2,1
128883444,129280056,2,2,1
130097344,130627416,1,1,1
131782716,132328248,1,1,1
133212544,133565120,2,2,1
134919412,135536128,1,1,1
136855428,137137848,2,2,1
137834148,138135820,2,2,1
139355116,139801340,1,1,1
140349632,140960260,1,1,1
142239548,142756488,2,2,1
144059784,144792816,2,2,1
145865112,146270528,1,1,1
146986828,147413868,2,2,1
148007172,148419004,2,2,1
149485300,149813296,2,2,1
151067588,151612144,2,2,1
152502444,153021108,2,2,1
154360404,154726596,2,2,1
155990892,156394340,1,1,1
157281636,157974404,1,1,1
159312704,159696772,2,2,1
160389072,160730384,1,2,0
162089676,162621712,2,2,1
163773008,164280000,2,1,0
165669296,166393940,1,1,1
167367232,167900500,1,1,1
168408792,168978448,2,2,1
170037740,170434008,2,2,1
171267300,171713924,1,1,1
172936220,173582892,1,1,1
174136188,174588008,2,2,1
175263304,175642392,1,2,0
176592688,177643300,1,1,1
178831592,179214060,2,2,1
180376356,181134956,2,2,1
182054252,182494360,2,2,1
183632664,183985264,2,2,1
184718560,185226608,1,1,1
186014900,186748672,1,1,1
187951968,188465432,2,2,1
189959736,190519684,2,1,0
191355984,193026340,1,1,1
194351636,194936792,2,2,1
196274096,196810064,1,1,1
198291360,198996188,1,1,1
200077488,200541592,1,1,1
201538888,201916060,1,1,1
202464356,202841240,1,1,1
203804540,204344548,2,2,1
205576848,205861232,1,2,0
206574524,207351600,2,2,1
208736900,209059604,2,2,1
210221900,210581100,2,2,1
211373396,211751760,2,2,1
212781056,213306488,1,1,1
214480780,215463348,1,1,1
