ObjShowTime,ReactionTime,StimType,Guess,Correct
1740684399414.484,1740684400249.56,1,1,1
1740684401706.764,1740684402237.736,1,1,1
1740684402865.94,1740684403435.596,2,2,1
1740684404274.804,1740684404806.7,2,2,1
1740684406192.916,1740684406634.548,2,2,1
1740684407343.756,1740684408126.212,1,1,1
1740684408903.416,1740684409403.008,1,1,1
1740684415805.928,1740684416262.58,1,1,1
1740684417168.784,1740684417711.308,2,2,1
1740684419098.516,1740684419591.528,2,2,1
1740684422205.956,1740684422780.12,1,1,1
1740684424067.328,1740684424680.344,2,2,1
1740684425913.552,1740684426379.592,1,1,1
1740684427389.8,1740684427898.26,2,2,1
1740684428767.468,1740684429491.004,2,2,1
1740684430958.208,1740684431772.408,1,1,1
1740684433033.608,1740684433669.636,1,1,1
1740684434241.844,1740684434844.012,1,1,1
1740684436094.224,1740684436599.92,2,2,1
1740684437518.128,1740684437990.148,1,1,1
1740684439096.36,1740684439668.908,2,2,1
1740684440318.124,1740684440896.872,2,2,1
1740684442295.084,1740684443006.012,2,2,1
1740684444029.268,1740684444417.992,2,2,1
1740684445504.292,1740684445971.632,1,1,1
1740684447085.92,1740684447640.436,2,2,1
1740684449059.728,1740684449472.956,2,2,1
1740684450919.244,1740684451578.1,2,2,1
1740684452940.396,1740684453357.756,2,2,1
1740684453930.06,1740684454335.612,2,2,1
1740684455798.912,1740684456317.264,1,1,1
1740684456825.56,1740684457408.04,1,1,1
1740684458683.332,1740684459226.608,2,2,1
1740684460305.908,1740684460594.532,2,2,1
1740684461115.828,1740684461745.24,1,1,1
1740684462875.536,1740684463349.48,2,2,1
1740684466602.116,1740684467187.82,2,2,1
1740684468570.116,1740684469046.612,1,1,1
1740684471691.396,1740684472205.372,1,1,1
1740684472752.66,1740684473280.768,1,1,1
1740684473914.064,1740684474657.684,1,1,1
1740684475598.984,1740684476054.24,2,2,1
1740684477002.532,1740684477373.12,2,2,1
1740684478216.416,1740684478569.216,2,2,1
1740684479795.512,1740684480185.936,1,1,1
1740684481240.24,1740684481937.856,2,2,1
1740684482453.148,1740684483125.356,1,1,1
1740684484279.644,1740684485112.496,1,1,1
1740684486463.792,1740684486887.564,2,2,1
1740684487451.864,1740684487998.328,2,2,1
1740684488864.624,1740684489357.596,2,2,1
1740684489884.892,1740684490395.184,1,1,1
1740684491489.476,1740684492009.572,2,2,1
1740684492756.868,1740684493388.068,1,1,1
1740684494040.368,1740684494611.596,2,2,1
1740684495743.892,1740684496215.696,1,1,1
1740684496994.992,1740684497885.412,1,1,1
1740684499031.704,1740684499507.792,2,2,1
1740684500280.092,1740684500910.124,2,2,1
1740684502173.424,1740684502672.508,2,2,1
1740684503963.812,1740684504458.548,2,2,1
1740684505915.844,1740684506520.56,1,1,1
1740684507545.868,1740684508089.648,2,2,1
1740684509133.948,1740684509508.728,2,2,1
1740684510058.024,1740684510555.016,2,2,1
1740684511492.312,1740684511901.904,1,1,1
1740684512806.196,1740684513245.228,2,2,1
1740684514127.528,1740684514744.404,2,2,1
1740684515577.7,1740684516279.292,1,1,1
1740684517001.592,1740684517428.14,2,2,1
1740684518500.448,1740684518948.528,1,1,1
1740684521535.8,1740684521851.668,1,1,1
1740684522873.972,1740684523238.836,1,1,1
1740684523849.128,1740684524205.136,1,1,1
1740684525383.428,1740684525936.684,2,2,1
1740684526923.992,1740684527310.872,2,2,1
1740684528108.172,1740684528572.332,1,1,1
1740684529705.636,1740684530225.6,2,2,1
1740684531599.896,1740684532004.696,2,2,1
1740684532679.992,1740684533381.44,1,1,1
1740684533967.736,1740684534498.304,2,2,1
1740684535356.608,1740684535772.704,2,2,1
1740684537156.0,1740684537865.04,2,2,1
1740684540194.332,1740684541105.28,1,1,1
1740684542413.58,1740684542976.856,2,2,1
1740684543737.148,1740684544483.136,1,1,1
1740684545049.436,1740684545547.252,2,2,1
1740684546876.568,1740684547321.52,2,2,1
1740684548046.82,1740684548659.984,1,1,1
1740684549161.276,1740684549866.496,1,1,1
1740684551006.8,1740684551826.588,2,2,1
1740684553251.884,1740684553981.196,2,2,1
1740684555002.488,1740684555680.472,1,1,1
1740684556735.764,1740684557408.928,1,1,1
1740684558552.228,1740684559202.144,2,2,1
