1740659146.000,3076688
ObjShowTime,ReactionTime,StimType,Guess,Correct
56491172,57326248,1,1,1
58783452,59314424,1,1,1
59942628,60512284,2,2,1
61351492,61883388,2,2,1
63269604,63711236,2,2,1
64420444,65202900,1,1,1
65980104,66479696,1,1,1
67448904,68611340,1,1,1
70008544,71556412,1,1,1
72882616,73339268,1,1,1
74245472,74787996,2,2,1
76175204,76668216,2,2,1
78101424,78439440,1,2,0
79282644,79856808,1,1,1
81144016,81757032,2,2,1
82990240,83456280,1,1,1
84466488,84974948,2,2,1
85844156,86567692,2,2,1
88034896,88849096,1,1,1
90110296,90746324,1,1,1
91318532,91920700,1,1,1
93170912,93676608,2,2,1
94594816,95066836,1,1,1
96173048,96745596,2,2,1
97394812,97973560,2,2,1
99371772,100082700,2,2,1
101105956,101494680,2,2,1
102580980,103048320,1,1,1
104162608,104717124,2,2,1
106136416,106549644,2,2,1
107995932,108654788,2,2,1
110017084,110434444,2,2,1
111006748,111412300,2,2,1
112875600,113393952,1,1,1
113902248,114484728,1,1,1
115760020,116303296,2,2,1
117382596,117671220,2,2,1
118192516,118821928,1,1,1
119952224,120426168,2,2,1
121696464,122711500,2,2,1
123678804,124264508,2,2,1
125646804,126123300,1,1,1
127246592,128254780,2,2,1
128768084,129282060,1,1,1
129829348,130357456,1,1,1
130990752,131734372,1,1,1
132675672,133130928,2,2,1
134079220,134449808,2,2,1
135293104,135645904,2,2,1
136872200,137262624,1,1,1
138316928,139014544,2,2,1
139529836,140202044,1,1,1
141356332,142189184,1,1,1
143540480,143964252,2,2,1
144528552,145075016,2,2,1
145941312,146434284,2,2,1
146961580,147471872,1,1,1
148566164,149086260,2,2,1
149833556,150464756,1,1,1
151117056,151688284,2,2,1
152820580,153292384,1,1,1
154071680,154962100,1,1,1
156108392,156584480,2,2,1
157356780,157986812,2,2,1
159250112,159749196,2,2,1
161040500,161535236,2,2,1
162992532,163597248,1,1,1
164622556,165166336,2,2,1
166210636,166585416,2,2,1
167134712,167631704,2,2,1
168569000,168978592,1,1,1
169882884,170321916,2,2,1
171204216,171821092,2,2,1
172654388,173355980,1,1,1
174078280,174504828,2,2,1
175577136,176025216,1,1,1
176640512,177619196,1,1,1
178612488,178928356,1,1,1
179950660,180315524,1,1,1
180925816,181281824,1,1,1
182460116,183013372,2,2,1
184000680,184387560,2,2,1
185184860,185649020,1,1,1
186782324,187302288,2,2,1
188676584,189081384,2,2,1
189756680,190458128,1,1,1
191044424,191574992,2,2,1
192433296,192849392,2,2,1
194232688,194941728,2,2,1
195662028,196548720,2,1,0
197271020,198181968,1,1,1
199490268,200053544,2,2,1
200813836,201559824,1,1,1
202126124,202623940,2,2,1
203953256,204398208,2,2,1
205123508,205736672,1,1,1
206237964,206943184,1,1,1
208083488,208903276,2,2,1
210328572,211057884,2,2,1
212079176,212757160,1,1,1
213812452,214485616,1,1,1
215628916,216278832,2,2,1
