ObjShowTime,ReactionTime,StimType,Guess,Correct
1745709991918.5,1745709992292.768,2,2,1
1745709993507.976,1745709993997.184,2,2,1
1745709994573.392,1745709994971.5242,2,2,1
1745709995618.728,1745709995967.0562,2,2,1
1745709997346.2642,1745709997728.892,1,1,1
1745709998387.1,1745709998793.932,2,2,1
1745710000199.136,1745710000659.4,1,1,1
1745710001793.6082,1745710002178.676,1,1,1
1745710002883.88,1745710003235.672,1,1,1
1745710003937.88,1745710004430.456,2,2,1
1745710005027.6682,1745710005372.216,2,2,1
1745710006767.432,1745710007174.1482,2,2,1
1745710008172.3562,1745710008547.5962,1,1,1
1745710009928.8042,1745710010454.2002,2,2,1
1745710012934.2202,1745710013391.996,2,2,1
1745710014257.2002,1745710014618.6162,2,2,1
1745710016117.82,1745710016547.536,1,1,1
1745710017513.748,1745710017862.3042,2,2,1
1745710019336.516,1745710019706.324,1,1,1
1745710020209.528,1745710020731.5762,1,1,1
1745710021936.792,1745710022321.244,1,1,1
1745710022992.444,1745710023297.8562,1,1,1
1745710024432.06,1745710024775.028,1,1,1
1745710026107.2322,1745710026445.02,1,1,1
1745710027698.224,1745710028072.708,2,2,1
1745710029371.916,1745710029774.896,2,2,1
1745710030987.1,1745710031333.2202,1,1,1
1745710032577.424,1745710032940.4082,1,1,1
1745710033688.6162,1745710034180.228,2,2,1
1745710035266.436,1745710035604.4082,2,2,1
1745710036392.612,1745710036788.312,1,1,1
1745710037339.516,1745710037685.496,1,1,1
1745710039141.7002,1745710039473.5442,2,2,1
1745710040863.8362,1745710041282.228,1,1,1
1745710042348.532,1745710042705.248,1,1,1
1745710046280.192,1745710046945.528,2,2,1
1745710047807.824,1745710048292.704,1,1,1
1745710049671.0042,1745710050145.396,2,2,1
1745710050920.692,1745710051392.664,2,2,1
1745710051975.9602,1745710052396.36,1,1,1
1745710053269.652,1745710053703.724,2,2,1
1745710055039.016,1745710055414.716,1,1,1
1745710056435.008,1745710056756.904,2,2,1
1745710057759.208,1745710058259.676,1,1,1
1745710059402.9722,1745710059736.0042,2,2,1
1745710060931.3,1745710061294.98,1,1,1
1745710062125.276,1745710062429.632,2,2,1
1745710063027.924,1745710063345.536,1,1,1
1745710064049.832,1745710064462.8562,1,1,1
1745710065139.1482,1745710065582.7122,2,2,1
1745710066961.016,1745710067249.704,1,1,1
1745710067833.996,1745710068146.936,1,1,1
1745710069019.228,1745710069309.4722,2,2,1
1745710070161.768,1745710070675.364,1,1,1
1745710072007.656,1745710072353.5242,1,1,1
1745710073154.824,1745710073632.188,2,2,1
1745710074173.48,1745710074746.984,2,2,1
1745710076107.28,1745710076443.436,2,2,1
1745710077356.728,1745710077908.396,1,1,1
1745710079324.688,1745710079657.5,1,1,1
1745710080680.796,1745710081039.86,1,1,1
1745710082214.156,1745710082608.132,2,2,1
1745710083477.424,1745710083846.208,1,1,1
1745710084498.5,1745710085042.1602,1,1,1
1745710085608.452,1745710086049.308,2,2,1
1745710086992.612,1745710087639.9082,1,1,1
1745710088259.2002,1745710088765.268,1,1,1
1745710089569.5642,1745710089919.572,1,1,1
1745710091247.864,1745710091731.1,1,1,1
1745710092585.4,1745710092894.672,1,1,1
1745710093397.968,1745710093915.6082,1,1,1
1745710094555.912,1745710095025.788,2,2,1
1745710096184.1,1745710096710.216,1,1,1
1745710098185.52,1745710098575.676,1,1,1
1745710099237.9722,1745710099592.1,1,1,1
1745710100525.396,1745710100913.744,2,2,1
1745710101573.052,1745710102058.312,2,2,1
1745710103047.612,1745710103457.952,1,1,1
1745710104403.244,1745710104688.4722,1,1,1
1745710106013.7642,1745710106407.7522,1,1,1
1745710107728.0442,1745710108061.6,2,2,1
1745710109447.8882,1745710109768.268,2,2,1
1745710111248.572,1745710111613.7842,2,2,1
1745710113068.0762,1745710113368.6,2,2,1
1745710114447.9,1745710114712.216,2,2,1
1745710115587.516,1745710115917.7122,2,2,1
1745710117137.0042,1745710117420.6682,2,2,1
1745710118772.968,1745710119263.208,1,1,1
1745710120731.5042,1745710121090.244,2,2,1
1745710123188.324,1745710123817.8882,2,2,1
1745710124440.1802,1745710124956.652,2,2,1
1745710125535.952,1745710125940.396,2,2,1
1745710131607.4082,1745710132016.9082,1,1,1
1745710132899.208,1745710133316.036,1,1,1
1745710134180.332,1745710134735.0762,2,2,1
1745710136036.372,1745710136376.28,2,2,1
1745710137171.5762,1745710137621.256,2,2,1
