1745684743.000,3916004
ObjShowTime,ReactionTime,StimType,Guess,Correct
52834504,53208772,2,2,1
54423980,54913188,2,2,1
55489396,55887528,2,2,1
56534732,56883060,2,2,1
58262268,58644896,1,1,1
59303104,59709936,2,2,1
61115140,61575404,1,1,1
62709612,63094680,1,1,1
63799884,64151676,1,1,1
64853884,65346460,2,2,1
65943672,66288220,2,2,1
67683436,68090152,2,2,1
69088360,69463600,1,1,1
70844808,71370204,2,2,1
72043408,72443016,1,2,0
73850224,74308000,2,2,1
75173204,75534620,2,2,1
77033824,77463540,1,1,1
78429752,78778308,2,2,1
80252520,80622328,1,1,1
81125532,81647580,1,1,1
82852796,83237248,1,1,1
83908448,84213860,1,1,1
85348064,85691032,1,1,1
87023236,87361024,1,1,1
88614228,88988712,2,2,1
90287920,90690900,2,2,1
91903104,92249224,1,1,1
93493428,93856412,1,1,1
94604620,95096232,2,2,1
96182440,96520412,2,2,1
97308616,97704316,1,1,1
98255520,98601500,1,1,1
100057704,100389548,2,2,1
101779840,102198232,1,1,1
103264536,103621252,1,1,1
104333544,104664220,2,1,0
105267520,106098908,2,2,1
107196196,107861532,2,2,1
108723828,109208708,1,1,1
110587008,111061400,2,2,1
111836696,112308668,2,2,1
112891964,113312364,1,1,1
114185656,114619728,2,2,1
115955020,116330720,1,1,1
117351012,117672908,2,2,1
118675212,119175680,1,1,1
120318976,120652008,2,2,1
121847304,122210984,1,1,1
123041280,123345636,2,2,1
123943928,124261540,1,1,1
124965836,125378860,1,1,1
126055152,126498716,2,2,1
127877020,128165708,1,1,1
128750000,129062940,1,1,1
129935232,130225476,2,2,1
131077772,131591368,1,1,1
132923660,133269528,1,1,1
134070828,134548192,2,2,1
135089484,135662988,2,2,1
137023284,137359440,2,2,1
138272732,138824400,1,1,1
140240692,140573504,1,1,1
141596800,141955864,1,1,1
143130160,143524136,2,2,1
144393428,144762212,1,1,1
145414504,145958164,1,1,1
146524456,146965312,2,2,1
147908616,148555912,1,1,1
149175204,149681272,1,1,1
150485568,150835576,1,1,1
152163868,152647104,1,1,1
153501404,153810676,1,1,1
154313972,154831612,1,1,1
155471916,155941792,2,2,1
157100104,157626220,1,1,1
159101524,159491680,1,1,1
160153976,160508104,1,1,1
161441400,161829748,2,2,1
162489056,162974316,2,2,1
163963616,164373956,1,1,1
165319248,165604476,1,1,1
166929768,167323756,1,1,1
168644048,168977604,2,2,1
170363892,170684272,2,2,1
172164576,172529788,2,2,1
173984080,174284604,2,2,1
175363904,175628220,2,2,1
176503520,176833716,2,2,1
178053008,178336672,2,2,1
179688972,180179212,1,1,1
181647508,182006248,2,2,1
183209544,183575032,1,2,0
184104328,184733892,2,2,1
185356184,185872656,2,2,1
186451956,186856400,2,2,1
187745704,189173904,1,1,1
190391200,191198108,1,1,1
192523412,192932912,1,1,1
193815212,194232040,1,1,1
195096336,195651080,2,2,1
196952376,197292284,2,2,1
198087580,198537260,2,2,1
