ObjShowTime,ReactionTime,StimType,Guess,Correct
1746478354804.916,1746478355362.14,1,1,1
1746478356194.344,1746478356612.944,1,1,1
1746478357756.148,1746478358150.992,2,2,1
1746478359366.2,1746478359719.112,2,2,1
1746478360295.316,1746478360689.332,2,2,1
1746478361336.54,1746478361871.996,2,2,1
1746478363251.204,1746478363624.164,1,1,1
1746478364282.376,1746478364722.82,2,2,1
1746478366128.024,1746478366451.176,1,1,1
1746478367585.376,1746478368000.0562,1,1,1
1746478368705.256,1746478369215.784,1,1,1
1746478369917.984,1746478370327.168,2,2,1
1746478370924.376,1746478371279.08,2,2,1
1746478372674.284,1746478373022.78,2,2,1
1746478374020.988,1746478374369.46,1,1,1
1746478375750.664,1746478376208.516,2,2,1
1746478376881.724,1746478377400.0,1,1,1
1746478378807.204,1746478379398.228,2,2,1
1746478380263.436,1746478380589.924,2,2,1
1746478382089.128,1746478382575.28,1,1,1
1746478383541.488,1746478384059.664,2,2,1
1746478385533.868,1746478385975.116,1,1,1
1746478386478.316,1746478386833.136,1,1,1
1746478388038.34,1746478388578.936,1,1,1
1746478389250.14,1746478389620.568,1,1,1
1746478390754.784,1746478391045.604,1,1,1
1746478392377.816,1746478392801.028,1,1,1
1746478395606.836,1746478396095.048,2,2,1
1746478397307.252,1746478397776.124,1,1,1
1746478399020.328,1746478399451.42,1,1,1
1746478400199.624,1746478400557.584,2,2,1
1746478401643.876,1746478401949.628,2,2,1
1746478402737.928,1746478403205.224,1,1,1
1746478403756.52,1746478404336.152,1,1,1
1746478405792.444,1746478406135.396,2,2,1
1746478407525.688,1746478407987.868,1,1,1
1746478409054.164,1746478409401.82,1,1,1
1746478410114.112,1746478410513.844,2,2,1
1746478411117.136,1746478411593.484,2,2,1
1746478412690.784,1746478413023.212,2,2,1
1746478413885.508,1746478414323.308,1,1,1
1746478415701.604,1746478416019.896,2,2,1
1746478416795.192,1746478417143.8,2,2,1
1746478417727.096,1746478418255.548,1,1,1
1746478419128.844,1746478419646.496,2,2,1
1746478420981.788,1746478421302.564,1,1,1
1746478422322.872,1746478422864.452,2,2,1
1746478423866.752,1746478424365.468,1,1,1
1746478425508.768,1746478425880.428,2,2,1
1746478427075.728,1746478427522.992,1,1,1
1746478428353.288,1746478428682.932,2,2,1
1746478429281.224,1746478429719.876,1,1,1
1746478430424.176,1746478430940.176,1,1,1
1746478431616.48,1746478432051.336,2,2,1
1746478433429.628,1746478433891.792,1,1,1
1746478436993.548,1746478437399.472,1,1,1
1746478438731.768,1746478439220.308,1,1,1
1746478440021.6082,1746478440463.384,2,2,1
1746478441004.684,1746478441500.096,2,2,1
1746478442860.388,1746478443360.5562,2,2,1
1746478444273.856,1746478444732.224,1,1,1
1746478446148.512,1746478446677.876,1,1,1
1746478447701.172,1746478448301.632,1,1,1
1746478449475.928,1746478449954.296,2,2,1
1746478452144.484,1746478452692.228,1,1,1
1746478453258.524,1746478453632.324,2,2,1
1746478455869.636,1746478456270.296,1,1,1
1746478457074.592,1746478457570.316,1,1,1
1746478458898.612,1746478459270.756,1,1,1
1746478460125.052,1746478460605.956,1,1,1
1746478462222.6082,1746478462826.944,2,2,1
1746478463985.24,1746478464502.88,1,1,1
1746478465978.172,1746478466469.324,1,1,1
1746478467131.62,1746478467568.8,1,1,1
1746478468502.092,1746478468989.268,2,2,1
1746478469648.568,1746478470069.388,2,2,1
1746478471058.684,1746478471485.308,1,1,1
1746478472430.6,1746478472811.456,1,1,1
1746478474136.752,1746478474531.832,1,1,1
1746478475852.124,1746478476366.452,2,2,1
1746478477752.76,1746478478168.596,2,2,1
1746478479648.892,1746478480212.94,2,2,1
1746478481667.236,1746478482282.968,2,2,1
1746478483362.272,1746478483760.34,2,2,1
1746478484635.64,1746478485039.328,2,2,1
1746478486258.624,1746478486629.456,2,2,1
1746478489750.916,1746478490154.464,2,2,1
1746478491357.76,1746478491748.076,1,1,1
1746478492277.376,1746478492806.724,2,2,1
1746478493429.02,1746478493865.952,2,2,1
1746478494445.248,1746478494811.06,2,2,1
1746478495700.356,1746478496129.168,1,1,1
1746478497346.464,1746478497796.644,1,1,1
1746478500710.6602,1746478501140.04,1,1,1
1746478502004.332,1746478502470.344,2,2,1
1746478503771.648,1746478504183.908,2,2,1
1746478504979.212,1746478505466.032,2,2,1
