1746453104.000,3924564
ObjShowTime,ReactionTime,StimType,Guess,Correct
54729480,55286704,1,1,1
56118908,56537508,1,1,1
57680712,58075556,2,2,1
59290764,59643676,2,2,1
60219880,60613896,2,2,1
61261104,61796560,2,2,1
63175768,63548728,1,1,1
64206940,64647384,2,2,1
66052588,66375740,1,1,1
67509940,67924620,1,1,1
68629820,69140348,1,1,1
69842548,70251732,2,2,1
70848940,71203644,2,2,1
72598848,72947344,2,2,1
73945552,74294024,1,1,1
75675228,76133080,2,2,1
76806288,77324564,1,1,1
78731768,79322792,2,2,1
80188000,80514488,2,2,1
82013692,82499844,1,1,1
83466052,83984228,2,2,1
85458432,85899680,1,1,1
86402880,86757700,1,1,1
87962904,88503500,1,1,1
89174704,89545132,1,1,1
90679348,90970168,1,1,1
92302380,92725592,1,1,1
93978796,94232188,2,1,0
95531400,96019612,2,2,1
97231816,97700688,1,1,1
98944892,99375984,1,1,1
100124188,100482148,2,2,1
101568440,101874192,2,2,1
102662492,103129788,1,1,1
103681084,104260716,1,1,1
105717008,106059960,2,2,1
107450252,107912432,1,1,1
108978728,109326384,1,1,1
110038676,110438408,2,2,1
111041700,111518048,2,2,1
112615348,112947776,2,2,1
113810072,114247872,1,1,1
115626168,115944460,2,2,1
116719756,117068364,2,2,1
117651660,118180112,1,1,1
119053408,119571060,2,2,1
120906352,121227128,1,1,1
122247436,122789016,2,2,1
123791316,124290032,1,1,1
125433332,125804992,2,2,1
127000292,127447556,1,1,1
128277852,128607496,2,2,1
129205788,129644440,1,1,1
130348740,130864740,1,1,1
131541044,131975900,2,2,1
133354192,133816356,1,1,1
134400648,134747756,1,2,0
135620048,136065812,2,1,0
136918112,137324036,1,1,1
138656332,139144872,1,1,1
139946172,140387948,2,2,1
140929248,141424660,2,2,1
142784952,143285120,2,2,1
144198420,144656788,1,1,1
146073076,146602440,1,1,1
147625736,148226196,1,1,1
149400492,149878860,2,2,1
150748156,151416748,1,1,1
152069048,152616792,1,1,1
153183088,153556888,2,2,1
154500204,155174900,1,1,1
155794200,156194860,1,1,1
156999156,157494880,1,1,1
158823176,159195320,1,1,1
160049616,160530520,1,1,1
161033812,161506872,1,2,0
162147172,162751508,2,2,1
163909804,164427444,1,1,1
165902736,166393888,1,1,1
167056184,167493364,1,1,1
168426656,168913832,2,2,1
169573132,169993952,2,2,1
170983248,171409872,1,1,1
172355164,172736020,1,1,1
174061316,174456396,1,1,1
175776688,176291016,2,2,1
177677324,178093160,2,2,1
179573456,180137504,2,2,1
181591800,182207532,2,2,1
183286836,183684904,2,2,1
184560204,184963892,2,2,1
186183188,186554020,2,2,1
187906316,188207184,1,2,0
189675480,190079028,2,2,1
191282324,191672640,1,1,1
192201940,192731288,2,2,1
193353584,193790516,2,2,1
194369812,194735624,2,2,1
195624920,196053732,1,1,1
197271028,197721208,1,1,1
199046504,199752932,1,1,1
200635224,201064604,1,1,1
201928896,202394908,2,2,1
203696212,204108472,2,2,1
204903776,205390596,2,2,1
