ObjShowTime,ReactionTime,StimType,Guess,Correct
1746736257089.964,1746736257755.548,1,1,1
1746736258845.752,1746736259306.068,2,2,1
1746736264057.608,1746736264379.0798,1,1,1
1746736265766.2878,1746736266166.0918,2,2,1
1746736266796.304,1746736267344.2598,2,2,1
1746736268238.4758,1746736268632.22,2,2,1
1746736269654.428,1746736270226.876,1,1,1
1746736270825.1758,1746736271317.692,1,1,1
1746736271929.9878,1746736272294.048,1,1,1
1746736273571.3398,1746736273997.784,2,2,1
1746736275166.0798,1746736275534.64,2,2,1
1746736276217.932,1746736276610.1758,2,2,1
1746736278078.472,1746736278685.344,2,2,1
1746736280171.64,1746736280547.264,2,2,1
1746736281993.564,1746736282288.076,2,2,1
1746736283020.3718,1746736283360.672,2,2,1
1746736284575.9758,1746736284833.016,2,2,1
1746736287079.3398,1746736287560.512,1,1,1
1746736288855.808,1746736289342.18,2,2,1
1746736289844.48,1746736290434.96,2,2,1
1746736291807.256,1746736292219.604,1,1,1
1746736293101.9,1746736293545.036,2,2,1
1746736294267.3318,1746736294858.4558,1,1,1
1746736295520.756,1746736295875.432,1,1,1
1746736296404.7278,1746736296907.6758,2,2,1
1746736297735.972,1746736298117.068,2,2,1
1746736298973.36,1746736299351.204,2,2,1
1746736300561.4958,1746736301040.1958,1,1,1
1746736301659.484,1746736302000.012,1,1,1
1746736302588.304,1746736302921.448,1,1,1
1746736303607.744,1746736304033.256,2,2,1
1746736305233.564,1746736305682.912,2,2,1
1746736306301.2158,1746736306650.5798,2,2,1
1746736307163.876,1746736307654.204,1,1,1
1746736308582.504,1746736309070.148,2,2,1
1746736309728.448,1746736310063.688,1,1,1
1746736311068.984,1746736311392.48,1,1,1
1746736312174.772,1746736312478.8638,1,1,1
1746736313922.168,1746736314382.1838,2,2,1
1746736315387.484,1746736315888.4238,2,2,1
1746736316712.72,1746736317208.5278,2,2,1
1746736318470.828,1746736318842.3318,2,2,1
1746736319834.636,1746736320136.5718,2,2,1
1746736322981.7598,1746736323345.204,1,1,1
1746736324191.5,1746736324493.756,1,1,1
1746736325097.064,1746736325620.052,2,2,1
1746736326423.348,1746736326951.356,2,2,1
1746736328039.66,1746736328617.464,2,2,1
1746736329764.772,1746736330252.2478,2,2,1
1746736330801.548,1746736331194.432,2,2,1
1746736332349.732,1746736332758.972,2,2,1
1746736333597.272,1746736333943.1118,2,2,1
1746736335040.4038,1746736335526.668,1,1,1
1746736336974.964,1746736337280.992,1,1,1
1746736338238.2878,1746736338532.6958,1,1,1
1746736339548.9878,1746736340135.912,2,2,1
1746736341560.2078,1746736341991.952,1,1,1
1746736342790.2478,1746736343242.264,1,1,1
1746736344381.568,1746736344807.8718,2,2,1
1746736345346.18,1746736345776.756,2,2,1
1746736347181.052,1746736347618.908,2,2,1
1746736348790.204,1746736349143.544,1,1,1
1746736350100.844,1746736350586.032,2,2,1
1746736351241.328,1746736351616.088,2,2,1
1746736352819.3838,1746736353455.5198,1,1,1
1746736354852.824,1746736355219.48,1,1,1
1746736356318.7798,1746736356623.36,2,2,1
1746736357680.656,1746736358112.564,1,1,1
1746736359247.86,1746736359706.764,2,2,1
1746736360888.0598,1746736361256.204,1,1,1
1746736361797.5,1746736362181.564,1,1,1
1746736363162.856,1746736363520.2678,1,1,1
1746736364152.564,1746736364463.932,1,1,1
1746736365848.2358,1746736366284.0918,2,2,1
1746736367435.396,1746736367857.2878,2,2,1
1746736368754.5798,1746736369213.6758,1,1,1
1746736369993.9678,1746736370361.532,1,1,1
1746736373506.7678,1746736373917.1838,2,2,1
1746736374996.492,1746736375401.98,1,1,1
1746736378294.084,1746736378753.928,2,2,1
1746736379348.224,1746736379692.252,2,2,1
1746736380743.544,1746736381130.928,1,1,1
1746736382351.22,1746736382711.8918,1,1,1
1746736383670.1838,1746736383950.2798,1,1,1
1746736384776.584,1746736385070.504,1,1,1
1746736386514.8118,1746736386787.984,2,2,1
1746736390120.5798,1746736390597.628,2,2,1
1746736391364.932,1746736391771.3518,2,2,1
1746736392352.652,1746736392756.8518,2,2,1
1746736393545.148,1746736393842.972,1,1,1
1746736395144.272,1746736395587.5198,2,2,1
1746736397046.8118,1746736397507.032,2,2,1
1746736398137.3318,1746736398486.428,1,1,1
1746736399915.724,1746736400193.4358,1,1,1
1746736401169.7278,1746736401673.336,2,2,1
1746736402388.64,1746736402863.752,2,2,1
1746736404131.048,1746736404488.8918,2,2,1
