1746710973.000,3575568
ObjShowTime,ReactionTime,StimType,Guess,Correct
87665532,88331116,1,1,1
89421320,89881636,2,2,1
91297852,91852572,2,1,0
93106780,93832972,1,2,0
94633176,94954648,1,1,1
96341856,96741660,2,2,1
97371872,97919828,2,2,1
98814044,99207788,2,2,1
100229996,100802444,1,1,1
101400744,101893260,1,1,1
102505556,102869616,1,1,1
104146908,104573352,2,2,1
105741648,106110208,2,2,1
106793500,107185744,2,2,1
108654040,109260912,2,2,1
110747208,111122832,2,2,1
112569132,112863644,2,2,1
113595940,113936240,2,2,1
115151544,115408584,2,2,1
116762880,116998616,1,2,0
117654908,118136080,1,1,1
119431376,119917748,2,2,1
120420048,121010528,2,2,1
122382824,122795172,1,1,1
123677468,124120604,2,2,1
124842900,125434024,1,1,1
126096324,126451000,1,1,1
126980296,127483244,2,2,1
128311540,128692636,2,2,1
129548928,129926772,2,2,1
131137064,131615764,1,1,1
132235052,132575580,1,1,1
133163872,133497016,1,1,1
134183312,134608824,2,2,1
135809132,136258480,2,2,1
136876784,137226148,2,2,1
137739444,138229772,1,1,1
139158072,139645716,2,2,1
140304016,140639256,1,1,1
141644552,141968048,1,1,1
142750340,143054432,1,1,1
144497736,144957752,2,2,1
145963052,146463992,2,2,1
147288288,147784096,2,2,1
149046396,149417900,2,2,1
150410204,150712140,2,2,1
151856436,152158032,1,2,0
153557328,153920772,1,1,1
154767068,155069324,1,1,1
155672632,156195620,2,2,1
156998916,157526924,2,2,1
158615228,159193032,2,2,1
160340340,160827816,2,2,1
161377116,161770000,2,2,1
162925300,163334540,2,2,1
164172840,164518680,2,2,1
165615972,166102236,1,1,1
167550532,167856560,1,1,1
168813856,169108264,1,1,1
170124556,170711480,2,2,1
172135776,172567520,1,1,1
173365816,173817832,1,1,1
174957136,175383440,2,2,1
175921748,176352324,2,2,1
177756620,178194476,2,2,1
179365772,179719112,1,1,1
180676412,181161600,2,2,1
181816896,182191656,2,2,1
183394952,184031088,1,1,1
185428392,185795048,1,1,1
186894348,187198928,2,2,1
188256224,188688132,1,1,1
189823428,190282332,2,2,1
191463628,191831772,1,1,1
192373068,192757132,1,1,1
193738424,194095836,1,1,1
194728132,195039500,1,1,1
196423804,196859660,2,2,1
198010964,198432856,2,2,1
199330148,199789244,1,1,1
200569536,200937100,1,1,1
202394396,203287040,1,1,1
204082336,204492752,2,2,1
205572060,205977548,1,1,1
207302848,208193352,1,1,1
208869652,209329496,2,2,1
209923792,210267820,2,2,1
211319112,211706496,1,1,1
212926788,213287460,1,1,1
214245752,214525848,1,1,1
215352152,215646072,1,1,1
217090380,217363552,2,2,1
218851844,219695856,1,1,1
220696148,221173196,2,2,1
221940500,222346920,2,2,1
222928220,223332420,2,2,1
224120716,224418540,1,1,1
225719840,226163088,2,2,1
227622380,228082600,2,2,1
228712900,229061996,1,1,1
230491292,230769004,1,1,1
231745296,232248904,2,2,1
232964208,233439320,2,2,1
234706616,235064460,2,2,1
