1740747962.000,4436288
ObjShowTime,ReactionTime,StimType,Guess,Correct
55427320,55858060,2,2,1
56469264,56785392,2,2,1
58062604,58340928,2,2,1
59271132,59643784,1,1,1
60183988,60577460,1,1,1
61350664,61712436,1,1,1
62761640,63273536,1,1,1
64348740,64725028,2,2,1
65963228,66199024,2,2,1
66834228,67151860,2,2,1
68403072,68784588,1,1,1
69694796,70130292,2,2,1
70782500,71061328,2,2,1
71671536,72050024,2,2,1
72618232,73122948,1,1,1
73666152,74064020,2,2,1
74959228,75287008,2,2,1
76408216,76751396,2,2,1
77991604,78421400,1,1,1
79601608,80377684,1,1,1
81175888,81564316,2,2,1
82953524,83362456,1,1,1
84202660,84553756,2,2,1
85573960,85882772,1,2,0
86644972,87055984,1,1,1
87767188,88091600,2,2,1
88981812,89501948,1,1,1
90763160,91208108,1,1,1
91844312,92213848,2,2,1
93696060,94194316,1,1,1
95033524,95325624,2,2,1
95875832,96384612,1,1,1
96906824,97334692,2,2,1
97986896,98368180,2,2,1
99856392,100261656,1,1,1
101500908,101946480,1,1,1
102995772,103279096,2,2,1
103857396,104316944,1,1,1
105712240,105958740,2,2,1
106700032,107001232,2,2,1
107575524,107886076,1,2,0
108806364,109457320,1,1,1
110594616,110923056,1,1,1
111677344,112258188,1,1,1
113412480,113693784,1,1,1
114921080,115177840,2,2,1
116591136,116947068,1,1,1
118338364,118591596,2,2,1
119792892,120070484,2,2,1
121070776,121384992,1,1,1
122343284,122637116,1,1,1
123750412,124104028,1,1,1
124752320,125209044,1,1,1
126360336,126680988,1,1,1
128118292,128374540,2,2,1
129850836,130230924,1,1,1
131074220,131420708,1,1,1
132586996,132890948,1,1,1
133480244,133818100,2,2,1
134465392,134887184,1,1,1
135811476,136095228,2,2,1
137370524,137712880,2,2,1
139162180,139563576,2,2,1
140169876,140512288,2,2,1
141488588,141969432,2,2,1
142669732,143014212,2,2,1
143841508,144127200,2,2,1
145492496,145751516,1,1,1
146298812,146621616,2,1,0
147583916,148116292,1,1,1
149341584,149697468,2,2,1
150884768,151197380,2,2,1
152461676,152932660,1,1,1
153576956,153994180,2,2,1
154539492,154881800,1,2,0
155519104,155982124,2,2,1
157350424,157723808,1,1,1
158410100,158695976,2,2,1
159809280,160134468,2,2,1
161220764,161533980,2,2,1
162912284,163355904,2,2,1
164181204,164468416,2,2,1
165610708,165903432,2,2,1
166832724,167187432,1,1,1
168205732,168621484,1,1,1
169692776,170078992,1,1,1
171542284,171855352,1,1,1
172431648,172821292,2,2,1
173751592,174050576,2,2,1
174834872,175129756,2,2,1
176185052,176737040,1,1,1
178158336,178516200,2,2,1
179872500,180260604,2,1,0
180799896,181267284,1,1,1
182485580,182961988,2,2,1
184419284,184778088,2,2,1
185612388,186126072,1,1,1
186899364,187310860,2,2,1
188146156,188589312,2,2,1
189351608,189861292,2,2,1
190532588,190853440,2,2,1
191533728,191933072,1,1,1
193085376,193385564,2,2,1
194514864,194848568,2,2,1
195848864,196243140,1,1,1
