ObjShowTime,ReactionTime,StimType,Guess,Correct
1745705508575.948,1745705509031.968,1,1,1
1745705509685.172,1745705510187.724,2,2,1
1745705510853.928,1745705511211.68,1,1,1
1745705511884.88,1745705512275.16,1,1,1
1745705512903.368,1745705513220.064,2,2,1
1745705514575.272,1745705514981.872,1,1,1
1745705516434.08,1745705516750.776,2,2,1
1745705517747.98,1745705518068.04,2,2,1
1745705518916.248,1745705519258.644,2,2,1
1745705520629.848,1745705521109.708,1,1,1
1745705522445.916,1745705522728.712,2,2,1
1745705524158.916,1745705524455.476,2,2,1
1745705525314.68,1745705525705.548,2,2,1
1745705526681.76,1745705526989.956,2,2,1
1745705528277.156,1745705528776.288,1,1,1
1745705529595.496,1745705530051.316,2,2,1
1745705532943.652,1745705533332.848,2,2,1
1745705534181.056,1745705534668.196,1,1,1
1745705536158.4,1745705536591.012,2,2,1
1745705537183.216,1745705537735.1,1,1,1
1745705538672.304,1745705539158.936,1,1,1
1745705540027.136,1745705540433.504,1,1,1
1745705541607.704,1745705541890.992,2,2,1
1745705543128.196,1745705543439.828,2,2,1
1745705543944.04,1745705544437.348,2,2,1
1745705544979.552,1745705545364.84,2,2,1
1745705546267.048,1745705546659.444,1,1,1
1745705547614.648,1745705547989.452,1,1,1
1745705548649.656,1745705548995.192,1,1,1
1745705550215.396,1745705550577.656,1,1,1
1745705552012.868,1745705552301.584,2,2,1
1745705553690.796,1745705553981.88,2,2,1
1745705555121.088,1745705555555.036,1,1,1
1745705556101.236,1745705556503.576,2,2,1
1745705557885.832,1745705558391.696,2,2,1
1745705559489.992,1745705559954.244,1,1,1
1745705561136.544,1745705561487.148,1,1,1
1745705562775.456,1745705563174.56,1,1,1
1745705564553.856,1745705564854.308,2,2,1
1745705565511.608,1745705565981.112,2,2,1
1745705566538.404,1745705567001.456,1,1,1
1745705567711.756,1745705567998.068,2,2,1
1745705569327.364,1745705569832.176,2,2,1
1745705570521.472,1745705570943.696,1,1,1
1745705572221.996,1745705572495.28,2,2,1
1745705573372.576,1745705573734.388,2,2,1
1745705574704.684,1745705575025.436,2,2,1
1745705576162.744,1745705576499.7,2,2,1
1745705578591.216,1745705579060.428,1,1,1
1745705580435.724,1745705580797.288,2,2,1
1745705581741.584,1745705582093.996,1,1,1
1745705583291.3,1745705583631.488,2,2,1
1745705586253.112,1745705586602.46,1,1,1
1745705587380.752,1745705587809.944,1,1,1
1745705588818.24,1745705589142.052,2,2,1
1745705589940.348,1745705590488.0,1,1,1
1745705591542.292,1745705591978.796,1,1,1
1745705592782.1,1745705593165.904,2,2,1
1745705593936.196,1745705594302.536,2,2,1
1745705595056.832,1745705595414.0,2,2,1
1745705596883.3,1745705597261.824,2,2,1
1745705598068.116,1745705598545.648,2,2,1
1745705599827.96,1745705600408.94,1,1,1
1745705601893.236,1745705602201.356,2,2,1
1745705603615.664,1745705604013.036,1,1,1
1745705604806.328,1745705605391.344,1,1,1
1745705606366.64,1745705606697.428,2,2,1
1745705608048.728,1745705608510.992,1,1,1
1745705609428.292,1745705609887.816,2,2,1
1745705610852.12,1745705611266.34,2,2,1
1745705612615.648,1745705613133.752,2,2,1
1745705613989.052,1745705614574.452,2,2,1
1745705615465.752,1745705615842.472,1,1,1
1745705617185.772,1745705617523.552,2,2,1
1745705618612.852,1745705619074.184,2,2,1
1745705620339.48,1745705620725.372,1,1,1
1745705621758.66,1745705622119.944,2,2,1
1745705623569.24,1745705623919.944,1,1,1
1745705625345.24,1745705625804.256,2,2,1
1745705627019.548,1745705627392.76,1,1,1
1745705628093.06,1745705628522.28,2,2,1
1745705629621.58,1745705630226.36,1,1,1
1745705630836.66,1745705631256.196,2,2,1
1745705631944.488,1745705632382.272,1,1,1
1745705633152.568,1745705633585.944,2,2,1
1745705635011.244,1745705635394.508,2,2,1
1745705636356.804,1745705636764.164,2,2,1
1745705639582.208,1745705639929.596,2,2,1
1745705641382.904,1745705641723.188,1,1,1
1745705643157.484,1745705643608.7,1,1,1
1745705646082.452,1745705646611.16,1,1,1
1745705647688.456,1745705648100.584,1,1,1
1745705648881.88,1745705649440.732,1,1,1
1745705649974.02,1745705650405.896,1,1,1
1745705651093.192,1745705651396.404,2,2,1
1745705652281.708,1745705652569.804,2,2,1
1745705653232.1,1745705653663.024,1,1,1
