1745680261.000,4592584
ObjShowTime,ReactionTime,StimType,Guess,Correct
52168532,52624552,1,1,1
53277756,53780308,2,2,1
54446512,54804264,1,1,1
55477464,55867744,1,1,1
56495952,56812648,2,2,1
58167856,58574456,1,1,1
60026664,60343360,2,2,1
61340564,61660624,2,2,1
62508832,62851228,2,2,1
64222432,64702292,1,1,1
66038500,66321296,2,2,1
67751500,68048060,2,2,1
68907264,69298132,2,2,1
70274344,70582540,2,2,1
71869740,72368872,1,1,1
73188080,73643900,2,2,1
74503108,75075032,1,2,0
76536236,76925432,2,2,1
77773640,78260780,1,1,1
79750984,80183596,2,2,1
80775800,81327684,1,1,1
82264888,82751520,1,1,1
83619720,84026088,1,1,1
85200288,85483576,2,2,1
86720780,87032412,2,2,1
87536624,88029932,2,2,1
88572136,88957424,2,2,1
89859632,90252028,1,1,1
91207232,91582036,1,1,1
92242240,92587776,1,1,1
93807980,94170240,1,1,1
95605452,95894168,2,2,1
97283380,97574464,2,2,1
98713672,99147620,1,1,1
99693820,100096160,2,2,1
101478416,101984280,2,2,1
103082576,103546828,1,1,1
104729128,105079732,1,1,1
106368040,106767144,1,1,1
108146440,108446892,2,2,1
109104192,109573696,2,2,1
110130988,110594040,1,1,1
111304340,111590652,2,2,1
112919948,113424760,2,2,1
114114056,114536280,1,1,1
115814580,116087864,2,2,1
116965160,117326972,2,2,1
118297268,118618020,2,2,1
119755328,120092284,2,2,1
120836584,121672500,2,2,1
122183800,122653012,1,1,1
124028308,124389872,2,2,1
125334168,125686580,1,1,1
126883884,127224072,2,2,1
127743372,128384400,2,2,1
129845696,130195044,1,1,1
130973336,131402528,1,1,1
132410824,132734636,2,2,1
133532932,134080584,1,1,1
135134876,135571380,1,1,1
136374684,136758488,2,2,1
137528780,137895120,2,2,1
138649416,139006584,2,2,1
140475884,140854408,2,2,1
141660700,142138232,2,2,1
143420544,144001524,1,1,1
145485820,145793940,2,2,1
147208248,147605620,1,1,1
148398912,148983928,1,1,1
149959224,150290012,2,2,1
151641312,152103576,1,1,1
153020876,153480400,2,2,1
154444704,154858924,2,2,1
156208232,156726336,2,2,1
157581636,158167036,2,2,1
159058336,159435056,1,1,1
160778356,161116136,2,2,1
162205436,162666768,2,2,1
163932064,164317956,1,1,1
165351244,165712528,2,2,1
167161824,167512528,1,1,1
168937824,169396840,2,2,1
170612132,170985344,1,1,1
171685644,172114864,2,2,1
173214164,173818944,1,1,1
174429244,174848780,2,2,1
175537072,175974856,1,1,1
176745152,177178528,2,2,1
178603828,178987092,2,2,1
179949388,180356748,2,2,1
181592044,181964496,1,2,0
183174792,183522180,2,2,1
184975488,185315772,1,1,1
186750068,187201284,1,1,1
188275576,188911744,2,2,1
189675036,190203744,1,1,1
191281040,191693168,1,1,1
192474464,193033316,1,1,1
193566604,193998480,1,1,1
194685776,194988988,2,2,1
195874292,196162388,2,2,1
196824684,197255608,1,1,1
