ObjShowTime, ReactionTime, StimType, Guess, Correct
7297,7714,1,1,1
9040,9356,2,2,1
10199,10597,2,2,1
11899,12560,2,2,1
13705,13964,1,1,1
14659,14961,2,2,1
15716,15971,2,1,0
16638,17065,2,2,1
18482,18774,2,1,0
19869,20267,1,1,1
20794,21203,2,2,1
22152,22567,1,1,1
23327,23574,2,2,1
24961,25237,2,1,0
26336,26688,2,2,1
27783,28044,2,2,1
29494,29747,1,2,0
31017,31385,1,1,1
32327,32591,1,1,1
33146,33471,2,1,0
34902,35312,2,2,1
36652,36997,1,1,1
37748,38049,1,1,1
38818,39081,1,1,1
40072,40355,1,1,1
41689,41929,2,1,0
43353,43712,1,1,1
45006,45278,2,2,1
46364,46668,1,1,1
48007,48420,2,2,1
49332,49652,1,1,1
50414,50724,1,2,0
51336,51688,2,2,1
52359,52743,2,2,1
53404,53893,2,2,1
55156,55567,1,1,1
56427,56740,1,1,1
57762,57980,2,2,1
59016,59404,1,1,1
60782,61015,1,2,0
61797,62161,2,2,1
62998,63315,1,1,1
64759,65055,1,1,1
65771,66100,1,1,1
67332,67678,2,2,1
68475,68696,2,1,0
70152,70571,2,2,1
71424,71684,2,2,1
72976,73166,2,2,1
73775,74049,2,2,1
74639,74890,1,2,0
76270,76578,2,2,1
78017,78253,1,1,1
79495,79714,2,2,1
80754,80979,1,1,1
81604,82041,1,1,1
83486,83698,2,2,1
84452,84858,1,2,0
85565,86041,1,1,1
87294,87596,1,2,0
88559,88788,2,2,1
89816,90032,1,1,1
91372,91575,2,2,1
92453,92695,1,1,1
93981,94202,2,2,1
95204,95610,2,2,1
96939,97184,2,1,0
98302,98542,1,1,1
99493,99733,1,2,0
100630,100912,2,1,0
101911,102344,1,1,1
103145,103359,2,2,1
104629,104855,2,1,0
106036,106341,2,2,1
107607,107865,1,1,1
108570,109008,1,1,1
109817,110047,2,1,0
111028,111459,1,1,1
112395,112636,2,1,0
113855,114139,1,1,1
114646,115097,1,1,1
116187,116463,1,2,0
117510,117826,1,1,1
118726,118966,2,1,0
120426,120759,1,1,1
121427,121792,2,2,1
122921,123141,1,1,1
123686,124123,1,2,0
125505,125758,1,1,1
126783,127079,1,1,1
127662,127959,2,1,0
128505,128831,1,1,1
129685,129913,2,2,1
130594,130840,2,1,0
132200,132643,2,2,1
133325,133710,1,1,1
134622,135016,2,2,1
135535,135841,2,1,0
137004,137443,1,2,0
138903,139326,1,1,1
139880,140405,2,2,1
141723,142015,1,1,1
143206,143582,1,1,1
144961,145342,1,1,1
146669,146917,2,1,0
148318,148757,2,2,1
149936,150340,1,1,1
150931,151285,2,2,1
152475,152825,1,1,1
154177,154461,2,2,1
155511,155759,2,1,0
156597,156902,2,2,1
158030,158432,1,1,1
159479,159953,1,1,1
160820,161116,1,1,1
161911,162151,1,1,1
162756,162960,2,1,0
164287,164636,2,1,0
165953,166781,2,2,1
168026,168379,1,1,1
169718,170182,1,1,1
170785,171194,1,1,1
171992,172266,1,1,1
172974,173200,2,1,0
173960,174353,1,1,1
175778,176191,1,1,1
176733,177113,1,1,1
178581,179015,2,2,1
179746,180005,2,2,1
181009,181348,2,2,1
