ObjShowTime, ReactionTime, StimType, Guess, Correct
6718,7145,2,2,1
8397,8756,2,2,1
9742,10020,2,2,1
11308,11691,2,2,1
12310,12716,1,1,1
13436,13937,1,1,1
14874,15383,2,2,1
16012,16386,1,1,1
17490,17937,1,1,1
19258,19594,1,2,0
20384,20877,1,1,1
21658,22126,1,1,1
23272,23832,1,1,1
24515,24954,2,2,1
25853,26211,1,1,1
27656,27945,2,2,1
29285,29754,2,2,1
31161,31541,1,1,1
32126,32620,1,1,1
33971,34397,2,2,1
35728,36162,2,2,1
37387,37888,1,1,1
38448,38907,2,2,1
40067,40441,2,2,1
41366,41761,1,1,1
42804,43226,1,1,1
44127,44376,2,2,1
45027,45433,2,2,1
46597,46988,2,2,1
47622,48090,1,1,1
49225,49543,2,2,1
50658,50970,2,1,0
52043,52480,2,2,1
53435,53817,1,1,1
55222,55735,1,1,1
56599,56950,1,2,0
58067,58563,1,1,1
59886,60347,1,1,1
61630,62033,1,1,1
62745,63128,1,1,1
64314,64536,2,1,0
65260,65638,2,2,1
66691,67059,2,2,1
67796,68193,1,1,1
68837,69330,1,1,1
70692,71042,2,2,1
72365,72812,1,1,1
73628,74110,2,2,1
74904,75219,2,2,1
76494,77030,1,1,1
77829,78299,1,1,1
79646,80056,1,1,1
81259,81770,1,1,1
83249,83651,1,1,1
84926,85284,1,1,1
85795,86139,2,1,0
87524,87784,2,2,1
89149,89427,2,2,1
90559,90873,1,2,0
91737,92109,1,1,1
93207,93509,2,2,1
94319,94660,2,2,1
95185,95418,2,2,1
96695,96900,2,2,1
98203,98689,1,1,1
99574,100190,1,1,1
101116,101601,2,2,1
102373,102747,1,1,1
104136,104469,1,1,1
105084,105513,2,2,1
106989,107415,1,1,1
108135,108503,2,2,1
109680,110044,1,1,1
111498,111833,1,1,1
112456,112936,1,1,1
114264,114583,2,2,1
116030,116477,1,1,1
117174,117532,2,2,1
118335,118674,2,1,0
119313,119817,1,1,1
121047,121441,2,2,1
122322,122753,1,1,1
123513,123815,2,2,1
124729,124965,2,1,0
126229,126607,2,2,1
127307,127598,1,2,0
128817,129082,2,2,1
130159,130525,2,2,1
131910,132263,2,2,1
132864,133209,2,2,1
134299,134546,2,2,1
135967,136469,1,1,1
137769,138150,2,2,1
139025,139375,2,2,1
139957,140500,1,1,1
141968,142290,1,2,0
143114,143384,2,2,1
144484,144811,2,2,1
146157,146540,2,2,1
147742,148076,2,2,1
149068,149337,2,2,1
150168,150396,2,2,1
151369,151911,1,1,1
152971,153349,2,2,1
154683,155155,2,2,1
155921,156260,2,2,1
157267,157753,1,1,1
159036,159479,1,1,1
160799,161048,2,2,1
162388,162749,1,1,1
