ObjShowTime,ReactionTime,StimType,Guess,Correct
171745617772900.5,171745617773357.66,1,1,1
171745617774688.84,171745617775162.03,1,1,1
171745617775761.25,171745617776216.03,1,1,1
171745617776805.22,171745617777227.84,1,1,1
171745617778143.06,171745617779047.3,2,2,1
171745617780437.53,171745617781525.97,2,2,1
171745617782496.2,171745617783020.25,1,1,1
171745617783636.47,171745617784366.53,2,2,1
171745617785689.75,171745617786436.6,2,2,1
171745617787390.78,171745617788029.56,2,2,1
171745617788869.78,171745617789415.56,2,2,1
171745617790733.78,171745617791426.12,2,2,1
171745617792737.3,171745617793313.4,1,1,1
171745617794017.6,171745617795005.12,2,2,1
171745617796202.3,171745617796705.66,1,1,1
171745617798072.88,171745617798764.4,1,1,1
171745617800121.6,171745617801051.6,2,2,1
171745617805628.9,171745617806100.56,1,1,1
171745617807130.75,171745617807666.94,2,2,1
171745617808654.16,171745617809313.3,1,1,1
171745617809989.5,171745617810400.8,1,1,1
171745617811232.0,171745617811722.66,2,2,1
171745617812227.84,171745617812836.38,1,1,1
171745617813887.56,171745617814658.56,1,1,1
171745617815734.75,171745617816151.7,2,2,1
171745617816843.9,171745617817405.75,1,1,1
171745617818190.03,171745617819013.2,2,2,1
171745617819650.47,171745617820127.66,1,1,1
171745617820854.94,171745617821300.6,1,1,1
171745617823674.34,171745617824160.84,2,2,1
171745617824938.12,171745617825712.16,1,1,1
171745617826364.44,171745617826827.22,1,1,1
171745617829159.06,171745617829580.06,2,2,1
171745617832809.28,171745617833556.88,1,1,1
171745617834555.2,171745617835583.84,2,2,1
171745617837012.16,171745617838182.06,2,2,1
171745617838687.34,171745617839172.4,1,1,1
171745617840393.72,171745617840889.06,1,1,1
171745617844120.72,171745617844845.78,1,1,1
171745617845624.06,171745617846443.88,1,1,1
171745617847737.2,171745617848558.34,1,1,1
171745617849750.62,171745617850023.53,1,1,1
171745617850822.8,171745617851329.62,1,1,1
171745617852160.94,171745617852769.12,2,2,1
171745617856162.97,171745617856765.84,1,1,1
171745617858097.16,171745617858409.1,1,1,1
171745617859573.4,171745617859984.7,1,1,1
171745617860895.97,171745617861282.12,1,1,1
171745617862589.44,171745617863245.2,2,2,1
171745617864310.47,171745617864746.44,2,2,1
171745617865573.75,171745617866169.56,1,1,1
171745617866764.84,171745617867644.72,2,2,1
171745617868167.03,171745617868937.62,2,2,1
171745617870173.9,171745617870673.5,1,1,1
171745617872063.8,171745617872420.56,1,1,1
171745617879042.9,171745617879479.8,1,1,1
171745617883876.78,171745617884307.0,1,1,1
171745617886862.94,171745617887777.97,2,2,1
171745617888338.28,171745617889150.88,1,1,1
171745617890293.16,171745617890945.03,2,2,1
171745617891473.3,171745617892824.94,2,2,1
171745617893881.25,171745617894388.5,1,1,1
171745617894903.8,171745617896183.34,2,2,1
171745617897316.66,171745617897896.72,1,1,1
171745617902698.9,171745617903331.03,2,2,1
171745617904169.34,171745617905168.78,1,1,1
171745617906244.06,171745617907561.06,2,2,1
171745617911124.12,171745617911712.78,1,1,1
171745617912962.1,171745617913626.84,2,2,1
171745617915066.12,171745617916151.44,2,2,1
171745617916922.72,171745617917449.53,1,1,1
171745617918498.8,171745617919322.94,1,1,1
171745617920574.25,171745617920888.8,1,1,1
171745617921957.1,171745617922272.16,1,1,1
171745617923357.44,171745617923647.28,1,1,1
171745617926104.94,171745617926752.97,1,1,1
171745617927657.25,171745617927991.25,1,1,1
171745617928566.53,171745617929754.66,2,2,1
171745617931741.7,171745617932278.84,1,1,1
171745617933328.16,171745617933587.22,1,1,1
171745617934122.53,171745617935254.3,1,1,1
171745617936067.62,171745617936437.3,1,1,1
171745617937923.62,171745617938837.84,2,2,1
171745617942059.4,171745617942725.1,1,1,1
171745617944214.4,171745617944679.7,1,1,1
171745617947140.66,171745617947474.53,1,1,1
171745617948114.8,171745617948546.97,1,1,1
171745617950891.1,171745617951188.38,1,1,1
171745617952429.7,171745617952714.38,1,1,1
171745617953396.66,171745617954031.22,1,1,1
171745617954557.53,171745617955176.1,1,1,1
171745617957169.66,171745617958020.66,1,1,1
171745617959292.94,171745617959797.62,1,1,1
171745617960769.94,171745617961068.1,1,1,1
171745617961857.38,171745617962486.2,2,2,1
