171745592520.000,3665492
ObjShowTime,ReactionTime,StimType,Guess,Correct
56566012,57023152,1,1,1
58354356,58827544,1,1,1
59426748,59881528,1,1,1
60470732,60893344,1,1,1
61808548,62712820,2,2,1
64103036,65191480,2,2,1
66161688,66685760,1,1,1
67301960,68032040,2,2,1
69355248,70102080,2,2,1
71056288,71695064,2,2,1
72535272,73081064,2,2,1
74399272,75091624,2,2,1
76402828,76978904,1,1,1
77683108,78670620,2,2,1
79867828,80371160,1,1,1
81738364,82429892,1,1,1
83787104,84717092,2,2,1
85735300,88116204,2,2,1
89294416,89766056,1,1,1
90796264,91332448,2,2,1
92319656,92978804,1,1,1
93655012,94066300,1,1,1
94897512,95388148,2,2,1
95893352,96501868,1,1,1
97553076,98324048,1,1,1
99400256,99817200,2,2,1
100509404,101071244,1,1,1
101855536,102678672,2,2,1
103315968,103793148,1,1,1
104520444,104966100,1,1,1
105955404,106318544,2,1,0
107339844,107826344,2,2,1
108603640,109377656,1,1,1
110029948,110492708,1,1,1
111819004,112163272,2,1,0
112824572,113245560,2,2,1
114697852,115091496,1,2,0
116474792,117222388,1,1,1
118220688,119249356,2,2,1
120677652,121847548,2,2,1
122352848,122837920,1,1,1
124059224,124554568,1,1,1
125641860,126847904,2,1,0
127786208,128511268,1,1,1
129289564,130109380,1,1,1
131402680,132223848,1,1,1
133416136,133689032,1,1,1
134488324,134995136,1,1,1
135826436,136434636,2,2,1
137505936,137845184,1,2,0
138858476,139137176,2,1,0
139828472,140431348,1,1,1
141762656,142074604,1,1,1
143238896,143650184,1,1,1
144561480,144947624,1,1,1
146254924,146910688,2,2,1
147975984,148411936,2,2,1
149239236,149835064,1,1,1
150430356,151310224,2,2,1
151832528,152603120,2,2,1
153839420,154339012,1,1,1
155729308,156086076,1,1,1
157185372,159114200,2,2,1
160290508,161688100,2,2,1
162708400,163145304,1,1,1
163799604,164256628,2,1,0
165339928,166159004,2,1,0
167542296,167972508,1,1,1
168925804,169684140,2,1,0
170528436,171443480,2,2,1
172003772,172816364,1,1,1
173958668,174610528,2,2,1
175138828,176490452,2,2,1
177546752,178053996,1,1,1
178569304,179848856,2,2,1
180982148,181562232,1,1,1
182448532,185150112,2,2,1
186364404,186996540,2,2,1
187834836,188834268,1,1,1
189909564,191226564,2,2,1
192457860,193955324,1,1,1
194789620,195378296,1,1,1
196627592,197292344,2,2,1
198731640,199816928,2,2,1
200588224,201115020,1,1,1
202164320,202988436,1,1,1
204239736,204554300,1,1,1
205622592,205937644,1,1,1
207022940,207312796,1,1,1
208625096,209151152,2,1,0
209770444,210418456,1,1,1
211322744,211656744,1,1,1
212232040,213420160,2,2,1
214093456,214557908,2,1,0
215407200,215944356,1,1,1
216993648,217252728,1,1,1
217788024,218919808,1,1,1
219733112,220102812,1,1,1
221589112,222503344,2,2,1
223917644,224316608,1,2,0
225724904,226390596,1,1,1
227879892,228345172,1,1,1
229144472,229809868,2,1,0
230806164,231140032,1,1,1
231780328,232212476,1,1,1
232829780,233519312,2,1,0
234556608,234853880,1,1,1
236095180,236379860,1,1,1
237062160,237696728,1,1,1
238223020,238841596,1,1,1
239859896,240257868,2,1,0
240835168,241686148,1,1,1
242958448,243463140,1,1,1
244435440,244733592,1,1,1
245522888,246151700,2,2,1
