ObjShowTime,ReactionTime,StimType,Guess,Correct
1741745616890680.0,1741745616891583.2,2,2,1
1741745616892159.5,1741745616892823.2,2,2,1
1741745616893470.5,1741745616894124.0,2,2,1
1741745616895503.2,1741745616895977.8,1,1,1
1741745616896636.0,1741745616897312.8,2,2,1
1741745616898718.0,1741745616899036.5,1,1,1
1741745616900170.5,1741745616900582.2,1,1,1
1741745616901287.5,1741745616901660.2,1,1,1
1741745616902362.5,1741745616902772.2,2,2,1
1741745616903369.5,1741745616903738.2,2,2,1
1741745616907145.0,1741745616907645.5,1,1,1
1741745616909026.8,1741745616909530.5,2,2,1
1741745616910203.8,1741745616910640.2,1,1,1
1741745616912047.5,1741745616912602.0,2,2,1
1741745616913467.0,1741745616913809.8,2,2,1
1741745616915309.0,1741745616915750.0,1,1,1
1741745616916716.2,1741745616917314.8,2,2,1
1741745616918789.0,1741745616919245.0,1,1,1
1741745616919748.2,1741745616920423.5,1,1,1
1741745616921628.5,1741745616922033.0,1,1,1
1741745616922704.2,1741745616923260.5,1,1,1
1741745616924394.8,1741745616924661.2,1,1,1
1741745616925993.5,1741745616926311.0,1,1,1
1741745616927564.2,1741745616928003.2,2,2,1
1741745616929302.5,1741745616929781.2,2,2,1
1741745616930993.8,1741745616931532.8,1,1,1
1741745616932777.0,1741745616933081.5,1,1,1
1741745616933829.8,1741745616934376.2,2,2,1
1741745616935462.5,1741745616936058.5,2,2,1
1741745616936847.0,1741745616937556.0,1,1,1
1741745616938107.2,1741745616938599.8,1,1,1
1741745616940056.0,1741745616940499.2,2,2,1
1741745616941889.5,1741745616942399.8,1,1,1
1741745616943466.2,1741745616944147.5,1,1,1
1741745616944859.8,1741745616945262.2,2,2,1
1741745616945865.5,1741745616946339.2,2,2,1
1741745616947436.8,1741745616947953.8,2,2,1
1741745616950869.5,1741745616951330.8,2,2,1
1741745616952106.0,1741745616952604.8,2,2,1
1741745616953188.2,1741745616954032.8,1,1,1
1741745616954906.0,1741745616955394.2,2,2,1
1741745616956729.5,1741745616957159.5,1,1,1
1741745616958180.0,1741745616959031.5,2,2,1
1741745616960033.8,1741745616960742.2,1,1,1
1741745616961885.5,1741745616962434.0,2,2,1
1741745616963629.2,1741745616964291.5,1,1,1
1741745616966795.5,1741745616967570.8,1,1,1
1741745616968275.0,1741745616968706.0,1,1,1
1741745616969382.2,1741745616969793.2,2,2,1
1741745616972556.5,1741745616973006.0,1,1,1
1741745616973878.2,1741745616974554.8,2,2,1
1741745616975407.0,1741745616975983.0,1,1,1
1741745616977315.2,1741745616978161.0,1,1,1
1741745616978962.2,1741745616979530.8,2,2,1
1741745616982546.5,1741745616982998.5,2,2,1
1741745616983911.8,1741745616984481.8,1,1,1
1741745616988371.0,1741745616988953.2,1,1,1
1741745616990127.5,1741745616990795.8,2,2,1
1741745616991665.0,1741745616992180.8,1,1,1
1741745616992833.0,1741745616993556.2,1,1,1
1741745616994122.5,1741745616994629.2,2,2,1
1741745616995572.5,1741745616995878.0,1,1,1
1741745616996497.2,1741745616996954.8,1,1,1
1741745616997759.0,1741745616998262.2,1,1,1
1741745616999590.5,1741745617000020.0,1,1,1
1741745617000874.2,1741745617001120.5,1,1,1
1741745617001623.8,1741745617002223.2,1,1,1
1741745617002863.8,1741745617003403.2,2,2,1
1741745617004561.5,1741745617005042.2,1,1,1
1741745617006517.5,1741745617006909.0,1,1,1
1741745617007571.2,1741745617008192.0,1,1,1
1741745617009125.2,1741745617009585.2,2,2,1
1741745617010244.5,1741745617010944.8,2,2,1
1741745617011934.0,1741745617012396.5,1,1,1
1741745617013341.8,1741745617013773.8,1,1,1
1741745617015099.2,1741745617015430.0,1,1,1
1741745617016750.2,1741745617017360.5,2,2,1
1741745617018746.8,1741745617019137.2,2,2,1
1741745617020617.5,1741745617021428.2,2,2,1
1741745617022882.5,1741745617023494.0,2,2,1
1741745617026586.0,1741745617027434.5,2,2,1
1741745617028654.0,1741745617029081.8,2,2,1
1741745617030434.0,1741745617030924.2,1,1,1
1741745617034193.8,1741745617034659.0,1,1,1
1741745617035188.5,1741745617035844.8,2,2,1
1741745617036467.0,1741745617036983.8,2,2,1
1741745617037563.0,1741745617038361.8,2,2,1
1741745617039251.0,1741745617039600.5,1,1,1
1741745617040817.8,1741745617041408.8,1,1,1
1741745617042734.0,1741745617043470.8,1,1,1
1741745617044353.0,1741745617044709.8,1,1,1
1741745617048360.8,1741745617048907.2,2,2,1
1741745617049571.5,1741745617050065.5,1,1,1
1741745617050914.8,1741745617051544.2,1,1,1
1741745617052495.5,1741745617052993.8,2,2,1
