1741745591636.000,7936968
ObjShowTime,ReactionTime,StimType,Guess,Correct
62616940,63520344,2,2,1
64096552,64760212,2,2,1
65407416,66061040,2,2,1
67440244,67914804,1,1,1
68573012,69249796,2,2,1
70655004,70973388,1,1,1
72107600,72519252,1,1,1
73224452,73597304,1,1,1
74299516,74709260,2,2,1
75306472,75675368,2,2,1
77070576,78083764,2,2,1
79081968,79582436,1,1,1
80963656,81467452,2,2,1
82140656,82577232,1,1,1
83984444,84538904,2,2,1
85404104,85746816,2,2,1
87246020,87686948,1,1,1
88653156,89251676,2,2,1
90725884,91181984,1,1,1
91685192,92360420,1,1,1
93565624,93970112,1,1,1
94641316,95197432,1,1,1
96331636,96598212,1,1,1
97930420,98248028,1,1,1
99501236,99940248,2,2,1
101239460,101718352,2,2,1
102930644,103469744,1,1,1
104714036,105018392,1,1,1
105766688,106313292,2,2,1
107399584,107995612,2,2,1
108783900,109492876,1,1,1
110044180,110536788,1,1,1
111993080,112436208,2,2,1
113826508,114336860,1,1,1
115403156,116084512,1,1,1
116796804,117199256,2,2,1
117802556,118276368,2,2,1
119373664,119890676,2,2,1
120752972,121428224,1,2,0
122806520,123267640,2,2,1
124042936,124541828,2,2,1
125125128,125969744,1,1,1
126843036,127331168,2,2,1
128666464,129096620,1,1,1
130116920,130968456,2,2,1
131970756,132679280,1,1,1
133822580,134371004,2,2,1
135566296,136228544,1,1,1
137058840,138134292,2,2,1
138732588,139507656,1,1,1
140211960,140643012,1,1,1
141319308,141730276,2,2,1
143108572,143909136,1,2,0
144493428,144942896,1,1,1
145815192,146491828,2,2,1
147344120,147919932,1,1,1
149252224,150098008,1,1,1
150899300,151467804,2,2,1
152009100,153123244,2,2,1
154483540,154935456,2,2,1
155848756,156418760,1,1,1
157835056,159284812,1,1,1
160308104,160890276,1,1,1
162064568,162732684,2,2,1
163601980,164117764,1,1,1
164770056,165493180,1,1,1
166059472,166566316,2,2,1
167509612,167814876,1,1,1
168434168,168891640,1,1,1
169695932,170199228,1,1,1
171527520,171957036,1,1,1
172811336,173057504,1,1,1
173560796,174160360,1,1,1
174800656,175340132,2,2,1
176498428,176979224,1,1,1
178454516,178845988,1,1,1
179508292,180128876,1,1,1
181062176,181522320,2,2,1
182181620,182881680,2,2,1
183870976,184333428,1,1,1
185278720,185710848,1,1,1
187036144,187366948,1,1,1
188687244,189297516,2,2,1
190683824,191074188,2,2,1
192554488,193365256,2,2,1
194819548,195430896,2,2,1
196510192,197647816,2,2,1
198523120,199371592,2,2,1
200590888,201018812,2,2,1
202371116,202861236,1,1,1
204329532,204927476,2,1,0
206130772,206596124,1,1,1
207125420,207781752,2,2,1
208404060,208920680,2,2,1
209499980,210298656,2,2,1
211187952,211537376,1,1,1
212754664,213345696,1,1,1
214670992,215407796,1,1,1
216290096,216646832,1,1,1
217511124,217824376,2,1,0
219125676,219502540,2,1,0
220297852,220844232,2,2,1
221508524,222002576,1,1,1
222851872,223481300,1,1,1
224432592,224930692,2,2,1
