1740663527.000,7650064
ObjShowTime,ReactionTime,StimType,Guess,Correct
56000896,56681948,2,2,1
57603160,58021212,2,2,1
58826416,59160160,2,2,1
60399364,60700836,1,1,1
61583044,61991524,1,1,1
63472736,63841780,2,2,1
64798988,65080964,1,1,1
66264176,66637596,2,2,1
67397800,67870640,1,1,1
68376844,68962912,1,1,1
69617116,70070156,2,2,1
71249360,71590776,1,1,1
72809988,73230296,2,2,1
74694508,75050080,2,1,0
76305284,76668880,2,2,1
77494092,78179716,2,2,1
79208928,79493288,2,2,1
80086492,80386400,2,2,1
80908604,81302476,2,2,1
82425692,82889412,2,2,1
84231616,84509200,1,1,1
85927408,86234680,2,2,1
86982888,87339448,2,2,1
88032656,88308108,1,1,1
89319312,89530092,2,2,1
90223300,90523184,1,1,1
91440384,91669120,1,2,0
92398324,92909164,1,1,1
94002368,94366000,2,2,1
94946212,95344388,1,1,1
95877596,96266068,1,1,1
97307280,97691988,2,2,1
98418192,98780744,1,1,1
100188952,100492088,2,2,1
101128380,101467024,2,2,1
102313324,102603928,1,2,0
103783220,104048364,2,2,1
105173656,105434832,1,1,1
106930124,107129932,1,2,0
108468232,108933920,1,1,1
109680212,110036400,1,1,1
111186696,111541608,2,2,1
112953904,113235064,1,1,1
114004356,114401844,2,2,1
115042140,115420592,1,1,1
116641892,117088476,1,1,1
117604776,118060056,2,2,1
119108352,119531240,2,2,1
121020544,121363080,2,2,1
121926376,122500708,2,1,0
123702004,123960776,1,1,1
124693068,125176432,1,1,1
126331724,126616856,2,2,1
127900152,128334360,1,1,1
129592652,130022720,1,2,0
130566008,131078876,1,1,1
132514164,132928536,1,1,1
134350828,134672880,2,2,1
135345180,135645536,1,1,1
136405828,136844584,2,2,1
137958884,138474144,2,2,1
139080440,139503036,1,1,1
140531324,140968848,1,1,1
141631148,141937860,2,2,1
142760156,143026580,1,1,1
144232876,144644708,1,1,1
145869000,146182992,1,1,1
147464288,148017156,1,1,1
149093456,149518708,2,2,1
150883004,151163540,1,1,1
151704836,152121504,1,1,1
152971800,153343760,1,1,1
154521056,155020260,1,1,1
156341560,156684964,1,1,1
157831260,158251300,1,1,1
158813592,159278604,2,2,1
160496908,160833864,2,2,1
161408152,161789916,1,2,0
162676216,163061872,1,1,1
164049164,164412972,1,1,1
165724268,166100792,2,2,1
167372088,167705624,2,2,1
168280920,168627488,2,2,1
169680780,170023660,1,1,1
171400952,171757672,2,2,1
172544968,173209764,2,2,1
174266056,174617852,1,1,1
175126144,175767880,1,1,1
176518184,176839800,1,1,1
177802096,178229044,2,2,1
179729340,180175184,2,2,1
180847480,181378148,2,2,1
181908440,182719188,2,2,1
183812488,184139772,1,1,1
184961084,185235792,2,2,1
186450088,187133488,2,2,1
188021788,188354944,1,1,1
189174240,189435324,1,2,0
190932616,191270196,2,2,1
192758496,193186032,2,2,1
193897328,194290984,2,2,1
194794284,195601996,1,1,1
196548296,196883144,2,2,1
198132448,198525912,2,2,1
199295216,199638320,2,2,1
200839620,201137040,1,1,1
201740348,202024832,2,1,0
202779136,203173592,1,1,1
204278892,204677488,1,1,1
