1745679109.000,3804660
ObjShowTime,ReactionTime,StimType,Guess,Correct
50343660,50709932,1,1,1
51486140,51884624,2,2,1
52517828,52841744,1,1,1
53605940,53990648,1,1,1
55469852,55856032,1,1,1
57169232,57548228,1,1,1
58304432,59239232,1,1,1
59750440,60261700,1,1,1
61074904,61444796,2,2,1
62512000,62954564,1,1,1
63640772,64020376,2,2,1
65088592,65654236,1,1,1
67065444,67457596,2,2,1
68388800,68739504,1,1,1
69406708,69966232,1,1,1
71441448,71894212,1,1,1
72421424,72826948,1,1,1
73429152,73797312,2,2,1
74419520,74834732,2,2,1
75631940,76040312,1,1,1
77129520,77549016,1,1,1
78258228,78684480,2,2,1
80106688,80503496,2,2,1
81398700,81871272,1,1,1
82686480,84253016,1,1,1
85637224,86018824,2,2,1
86532024,87009520,1,1,1
87620732,87975132,2,2,1
88671348,88979444,2,1,0
90095664,90757764,2,2,1
92232968,92736168,1,1,1
93659368,94073156,2,2,1
94810364,95183244,2,2,1
96370452,96753136,1,1,1
97716348,98252040,1,1,1
99265248,99623560,2,2,1
100374764,100723600,2,2,1
102110900,102618036,1,1,1
103860344,104229956,2,2,1
104795256,105200944,1,1,1
106663236,106993804,2,2,1
107708096,108043880,1,1,1
108596176,108982632,2,2,1
110469924,110904040,1,1,1
111741332,112185968,1,1,1
112890260,113351308,2,2,1
114743600,115529716,2,2,1
116340016,116762580,2,2,1
117443880,118009272,1,1,1
118511564,119223260,1,1,1
119869568,120222256,2,2,1
121371552,121718436,2,2,1
122892732,123313076,2,2,1
124130380,124595580,1,1,1
125750876,126129052,1,1,1
127013352,127326736,2,2,1
128681036,129079452,1,1,1
130398748,130697916,2,2,1
131394216,131769600,2,2,1
132988892,133380528,1,1,1
133928820,134436688,1,1,1
135715980,135985104,2,2,1
137288412,137606944,2,2,1
138679236,139054516,1,1,1
139770816,140057920,2,2,1
140651220,141010680,2,2,1
142076980,142413372,2,2,1
143667668,143933492,2,2,1
144823788,145118224,2,2,1
146457524,146764664,2,2,1
148028968,148443268,1,1,1
149330560,150146076,1,1,1
151484376,151871168,2,2,1
152563468,153442764,1,1,1
154802060,155168800,2,2,1
156320100,156735180,2,2,1
158124476,158535984,1,1,1
159509280,160132764,1,1,1
160641064,161138148,2,2,1
162197440,162636896,2,2,1
163470192,163859112,1,1,1
165081404,165680856,1,1,1
166234156,166797108,2,2,1
167472404,167945360,1,1,1
168895648,169496172,1,1,1
170684472,171178508,2,2,1
172340808,172957044,2,2,1
173876344,174252400,2,2,1
175390692,175762492,2,2,1
176495788,177064100,1,1,1
177852392,178379136,1,1,1
179582428,179945212,2,2,1
181439516,181881760,2,2,1
182718068,183251116,1,1,1
184576412,184858588,2,2,1
186195884,186568724,1,1,1
188050016,188958980,1,1,1
190040276,190449296,1,1,1
191446596,191964388,1,1,1
192512680,193243524,1,1,1
194206820,194650144,2,2,1
