ObjShowTime,ReactionTime,StimType,Guess,Correct
1739563993200.572,1739563993373.172,2,2,1
1739564174669.364,1739564174961.172,1,1,1
1739564175919.464,1739564176204.892,1,1,1
1739564177415.192,1739564177619.972,2,2,1
1739564179028.268,1739564179262.62,1,1,1
1739564180455.912,1739564180687.124,2,2,1
1739564181370.424,1739564181618.324,1,1,1
1739564182509.62,1739564182862.892,1,1,1
1739564183517.192,1739564183802.14,1,1,1
1739564184508.44,1739564184763.156,1,1,1
1739564185745.456,1739564186134.88,1,1,1
1739564187588.176,1739564187897.232,1,1,1
1739564191561.084,1739564191842.552,1,1,1
1739564192361.848,1739564192704.8,1,1,1
1739564193343.096,1739564193624.332,1,1,1
1739564199574.364,1739564200000.768,2,2,1
1739564201432.076,1739564201784.032,2,2,1
1739564203268.328,1739564203541.78,2,2,1
1739564204060.08,1739564204405.588,2,2,1
1739564206403.276,1739564206857.252,1,1,1
1739564207605.548,1739564207855.932,1,1,1
1739564209910.876,1739564210358.232,2,2,1
1739564211655.536,1739564212003.772,2,2,1
1739564212901.072,1739564213157.376,1,1,1
1739564215479.544,1739564215743.844,2,2,1
1739564217197.144,1739564217563.104,2,2,1
1739564218546.408,1739564218773.54,1,1,1
1739564219468.848,1739564219750.42,2,2,1
1739564222784.872,1739564223124.724,2,2,1
1739564224080.028,1739564224403.692,2,2,1
1739564225293.992,1739564225655.896,2,2,1
1739564226271.192,1739564226545.78,2,2,1
1739564227840.076,1739564228161.636,2,2,1
1739564231398.156,1739564231695.972,2,2,1
1739564232558.276,1739564232835.94,2,2,1
1739564233611.252,1739564233916.46,1,1,1
1739564235054.752,1739564235388.676,1,1,1
1739564236377.968,1739564236645.64,1,1,1
1739564238961.012,1739564239280.512,1,1,1
1739564240609.812,1739564240985.624,2,2,1
1739564245578.128,1739564246028.672,1,1,1
1739564247333.976,1739564247706.628,1,1,1
1739564248469.924,1739564248757.916,1,1,1
1739564249443.22,1739564249725.08,2,2,1
1739564250900.38,1739564251222.244,2,2,1
1739564254372.392,1739564254647.02,1,1,1
1739564255634.316,1739564255934.696,1,1,1
1739564257415.992,1739564257694.056,2,2,1
1739564258582.36,1739564258881.908,2,2,1
1739564259514.212,1739564259791.612,2,2,1
1739564261142.916,1739564261383.884,1,1,1
1739564262331.18,1739564262620.108,2,2,1
1739564263305.408,1739564263640.448,2,2,1
1739564264264.756,1739564264560.604,1,1,1
1739564265435.904,1739564265760.512,1,1,1
1739564266760.808,1739564267040.52,2,2,1
1739564267548.816,1739564267831.468,1,1,1
1739564268513.764,1739564268872.356,1,1,1
1739564269387.652,1739564269700.556,1,1,1
1739564271861.656,1739564272192.424,1,1,1
1739564272817.724,1739564273064.672,2,2,1
1739564273860.968,1739564274098.796,2,2,1
1739564275340.092,1739564275563.396,1,1,1
1739564276488.7,1739564276799.636,1,1,1
1739564277939.936,1739564278176.692,2,2,1
1739564282057.404,1739564282372.24,1,1,1
1739564283177.544,1739564283474.72,2,2,1
1739564286080.48,1739564286344.736,1,1,1
1739564287586.032,1739564287896.164,1,1,1
1739564288737.456,1739564289022.768,2,2,1
1739564289767.064,1739564290069.9,2,2,1
1739564291431.196,1739564291709.112,1,1,1
1739564292704.412,1739564292939.252,2,2,1
1739564294430.544,1739564294722.932,2,2,1
1739564295979.228,1739564296261.348,1,1,1
1739564297412.644,1739564297722.752,1,1,1
1739564300608.14,1739564300910.744,1,1,1
1739564301663.04,1739564301946.188,1,1,1
1739564303015.484,1739564303344.248,1,1,1
1739564304211.544,1739564304572.336,2,2,1
1739564305772.64,1739564306043.204,1,1,1
1739564306608.5,1739564306979.6,1,1,1
1739564307924.9,1739564308238.7,2,2,1
1739564309541.0,1739564309797.848,1,1,1
1739564310772.152,1739564311065.088,1,1,1
1739564311995.388,1739564312254.772,1,1,1
1739564312967.068,1739564313245.132,1,1,1
1739564313966.424,1739564314268.992,1,1,1
1739564314775.284,1739564315130.796,1,1,1
1739564315639.1,1739564315883.556,1,1,1
1739564316618.856,1739564317067.476,2,2,1
