1739538758.000,6181272
ObjShowTime,ReactionTime,StimType,Guess,Correct
41381844,41554444,2,2,1
42620648,220182216,1,1,1
221678464,222175344,1,1,1
222850636,223142444,1,1,1
224100736,224386164,1,1,1
225596464,225801244,2,2,1
227209540,227443892,1,1,1
228637184,228868396,2,2,1
229551696,229799596,1,1,1
230690892,231044164,1,1,1
231698464,231983412,1,1,1
232689712,232944428,1,1,1
233926728,234316152,1,1,1
235769448,236078504,1,1,1
237488800,237752932,1,2,0
238305228,238650060,2,1,0
239742356,240023824,1,1,1
240543120,240886072,1,1,1
241524368,241805604,1,1,1
242318896,243501084,1,1,1
244628380,245106124,2,2,1
246254424,246688340,1,2,0
247755636,248182040,2,2,1
249613348,249965304,2,2,1
251449600,251723052,2,2,1
252241352,252586860,2,2,1
253242160,253486252,1,2,0
254584548,255038524,1,1,1
255786820,256037204,1,1,1
256689500,256904844,2,1,0
258092148,258539504,2,2,1
259836808,260185044,2,2,1
261082344,261338648,1,1,1
262412944,262889528,1,1,1
263660816,263925116,2,2,1
265378416,265744376,2,2,1
266727680,266954812,1,1,1
267650120,267931692,2,2,1
269367988,269576848,2,1,0
270966144,271305996,2,2,1
272261300,272584964,2,2,1
273475264,273837168,2,2,1
274452464,274727052,2,2,1
276021348,276342908,2,2,1
277024204,278224128,1,1,1
279579428,279877244,2,2,1
280739548,281017212,2,2,1
281792524,282097732,1,1,1
283236024,283569948,1,1,1
284559240,284826912,1,1,1
285538204,285904992,1,2,0
287142284,287461784,1,1,1
288791084,289166896,2,2,1
289709192,290003204,1,2,0
291492496,291899424,2,1,0
292702724,293238104,2,2,1
293759400,294209944,1,1,1
295515248,295887900,1,1,1
296651196,296939188,1,1,1
297624492,297906352,2,2,1
299081652,299403516,2,2,1
300012812,300316592,1,2,0
301256896,301740368,1,1,1
302553664,302828292,1,1,1
303815588,304115968,1,1,1
305597264,305875328,2,2,1
306763632,307063180,2,2,1
307695484,307972884,2,2,1
309324188,309565156,1,1,1
310512452,310801380,2,2,1
311486680,311821720,2,2,1
312446028,312741876,1,1,1
313617176,313941784,1,1,1
314942080,315221792,2,2,1
315730088,316012740,1,1,1
316695036,317053628,1,1,1
317568924,317881828,1,1,1
318649124,318868628,2,1,0
320042928,320373696,1,1,1
320998996,321245944,2,2,1
322042240,322280068,2,2,1
323521364,323744668,1,1,1
324669972,324980908,1,1,1
326121208,326357964,2,2,1
327698268,327867164,2,1,0
328951452,329307380,2,1,0
330238676,330553512,1,1,1
331358816,331655992,2,2,1
332567288,333038452,2,2,1
334261752,334526008,1,1,1
335767304,336077436,1,1,1
336918728,337204040,2,2,1
337948336,338251172,2,2,1
339612468,339890384,1,1,1
340885684,341120524,2,2,1
342611816,342904204,2,2,1
344160500,344442620,1,1,1
345593916,345904024,1,1,1
346479332,346830368,2,1,0
347566664,347850120,2,1,0
348789412,349092016,1,1,1
349844312,350127460,1,1,1
351196756,351525520,1,1,1
352392816,352753608,2,2,1
353953912,354224476,1,1,1
354789772,355160872,1,1,1
356106172,356419972,2,2,1
357722272,357979120,1,1,1
358953424,359246360,1,1,1
360176660,360436044,1,1,1
361148340,361426404,1,1,1
362147696,362450264,1,1,1
362956556,363312068,1,1,1
363820372,364064828,1,1,1
364800128,365248748,2,2,1
