Time,StimType,Guess,Correct
1746815411.000,3018892
ObjShowTime,ReactionTime,StimType,Guess,Correct
59827948,60428632,3,3,1
61176844,61632916,3,3,1
62272120,62666000,3,3,1
63683208,64172500,1,1,1
64982704,65524900,3,3,1
66517116,66974820,2,2,1
67602024,68685076,2,2,1
70173276,70611352,1,1,1
71679560,72075600,2,2,1
73016812,73500448,1,1,1
74683652,75135160,1,1,1
75803364,76214232,1,1,1
77049444,77435072,2,2,1
78906284,79467296,3,3,1
80092500,80640772,1,1,1
81154972,81769176,2,2,1
82519380,83168808,1,1,1
84244016,84932780,1,1,1
85755988,86185880,2,2,1
87682096,88097864,3,3,1
88932068,89344940,1,1,1
90501152,90938908,2,2,1
91565120,91941624,2,2,1
93323832,93728280,2,2,1
94645484,95047820,3,3,1
95915032,96532620,2,2,1
97078832,97790208,2,2,1
98361424,98816028,3,3,1
99552232,99959760,2,2,1
101128968,101702388,1,1,1
102455680,103070220,3,3,1
103713516,104190000,2,2,1
105214296,105612120,2,2,1
106574412,107041912,3,3,1
107611208,108048832,2,2,1
108783120,109371120,3,3,1
110296412,110622704,2,2,1
112030000,112396068,1,1,1
113682360,114027272,3,3,1
114937564,115499528,3,3,1
116550820,117027860,1,1,1
117588152,118132628,1,1,1
119501940,120264748,2,2,1
121611040,122004008,1,1,1
123500300,123874140,2,2,1
124951436,125312868,2,2,1
126749164,127231996,1,1,1
128302300,128609136,2,2,1
129330440,129685064,2,2,1
130333356,130636456,2,2,1
131146760,131454480,2,2,1
132185776,132562420,3,3,1
133253708,133853160,1,1,1
134741456,135305024,1,1,1
136485316,136927712,1,1,1
138105008,138493264,2,2,1
139352560,139659832,2,2,1
141139128,141581992,1,1,1
142773292,143098532,2,2,1
143889832,144228968,2,2,1
145484264,145936316,1,1,1
147325616,147756808,3,3,1
148308100,149072344,1,1,1
150281636,150832644,1,1,1
152328940,153176608,2,2,1
154259908,154890692,2,2,1
156307992,156880260,3,3,1
157887564,158388936,1,1,1
159182236,159627324,3,1,0
160865620,161237488,2,2,1
162226780,162781868,3,3,1
163291176,164336220,3,3,1
165658516,166102984,3,3,1
166836292,167312896,3,3,1
167948188,168320824,2,2,1
169010120,169375724,2,2,1
170383024,170699444,1,1,1
171933748,172315984,3,3,1
173647280,174003508,2,2,1
174986800,175735200,3,3,1
177091496,177453548,3,3,1
178714844,179123380,1,1,1
180435672,180985804,1,1,1
182185104,182863628,1,1,1
183791928,184157756,1,1,1
185477052,185853504,3,3,1
186428796,186860392,1,1,1
187534696,187964284,1,1,1
188915592,189443268,2,2,1
190800564,191187072,3,3,1
191800376,192181516,3,3,1
192746816,193218752,3,3,1
193726048,194071696,3,3,1
195298996,195673848,2,2,1
196197144,196931336,3,3,1
197779632,198240040,3,3,1
199486336,199925712,3,3,1
201301020,201741576,2,2,1
202858876,203325016,2,2,1
203921312,204413428,1,1,1
204950724,206711896,3,3,1
