ObjShowTime,ReactionTime,StimType,Guess,Correct
171740773461004.7,171740773461420.7,2,2,1
171740773462712.9,171740773463075.8,2,2,1
171740773463608.03,171740773464075.5,3,3,1
171740773467067.9,171740773467410.5,1,1,1
171740773468203.72,171740773468569.2,1,1,1
171740773469474.4,171740773469833.34,2,2,1
171740773470816.56,171740773471221.84,1,1,1
171740773472269.06,171740773472593.62,2,2,1
171740773473941.84,171740773474265.8,3,3,1
171740773475766.03,171740773476107.78,2,2,1
171740773477326.0,171740773477789.7,1,1,1
171740773478695.9,171740773479057.75,2,2,1
171740773481848.06,171740773482278.0,1,1,1
171740773482963.2,171740773483389.2,3,3,1
171740773484815.4,171740773485142.84,3,3,1
171740773486395.03,171740773486733.1,1,1,1
171740773488055.28,171740773488378.53,2,2,1
171740773489238.75,171740773489749.22,1,1,1
171740773490571.44,171740773490870.38,3,3,1
171740773491515.6,171740773491965.8,3,3,1
171740773493386.03,171740773493806.25,2,2,1
171740773495035.47,171740773495285.25,2,2,1
171740773495875.47,171740773496289.38,1,1,1
171740773497496.6,171740773497798.0,3,3,1
171740773499265.22,171740773499552.12,2,2,1
171740773500068.34,171740773500482.62,3,3,1
171740773501883.8,171740773502211.6,2,2,1
171740773503615.8,171740773503928.12,1,1,1
171740773505335.3,171740773505648.66,2,2,1
171740773509206.56,171740773509778.94,2,2,1
171740773511040.16,171740773511533.6,1,1,1
171740773512870.8,171740773513248.6,3,3,1
171740773514245.88,171740773514669.22,1,1,1
171740773515780.53,171740773516088.9,3,3,1
171740773517223.22,171740773517545.4,1,1,1
171740773518267.72,171740773518649.1,3,3,1
171740773519834.4,171740773520384.47,1,1,1
171740773521613.78,171740773521937.3,2,2,1
171740773525285.97,171740773525916.84,3,3,1
171740773528254.4,171740773528655.25,3,3,1
171740773529576.53,171740773529903.72,2,2,1
171740773530626.0,171740773530999.72,1,1,1
171740773532422.03,171740773532754.94,2,2,1
171740773533264.22,171740773533656.6,3,3,1
171740773534968.88,171740773535315.78,3,3,1
171740773537800.3,171740773538206.44,3,3,1
171740773538966.75,171740773539352.88,3,3,1
171740773540157.16,171740773540505.9,3,3,1
171740773541239.2,171740773541820.97,3,3,1
171740773542939.25,171740773543310.9,1,1,1
171740773544570.2,171740773544855.7,2,2,1
171740773545737.0,171740773546111.28,3,3,1
171740773546905.56,171740773547310.9,1,1,1
171740773548457.2,171740773548782.53,1,1,1
171740773549290.84,171740773549762.28,1,1,1
171740773551084.6,171740773551370.78,3,3,1
171740773554002.1,171740773554639.56,3,3,1
171740773555624.84,171740773556158.22,1,1,1
171740773556984.53,171740773557317.62,3,3,1
171740773558309.9,171740773558919.8,2,2,1
171740773561333.06,171740773561927.5,1,1,1
171740773563043.78,171740773563485.6,1,1,1
171740773564838.9,171740773565221.84,3,3,1
171740773568345.94,171740773568941.8,2,2,1
171740773571644.25,171740773572110.7,2,2,1
171740773572889.0,171740773573405.53,1,1,1
171740773574618.8,171740773575014.25,1,1,1
171740773575896.53,171740773576269.25,3,3,1
171740773576796.56,171740773577261.66,1,1,1
171740773578079.94,171740773578361.53,2,2,1
171740773579173.8,171740773579515.0,1,1,1
171740773580105.28,171740773580596.94,2,2,1
171740773581547.25,171740773581871.12,3,3,1
171740773583124.44,171740773583516.56,2,2,1
171740773585627.62,171740773586228.62,3,3,1
171740773587545.9,171740773587941.72,2,2,1
171740773588786.03,171740773589144.5,1,1,1
171740773589834.8,171740773590207.97,1,1,1
171740773590861.25,171740773591209.78,2,2,1
171740773591976.06,171740773592258.62,3,3,1
171740773592805.9,171740773593273.12,2,2,1
171740773594726.4,171740773595104.53,3,3,1
171740773596192.8,171740773596508.8,3,3,1
171740773597675.12,171740773598032.66,3,3,1
171740773598557.97,171740773599014.06,2,2,1
171740773599798.38,171740773600113.3,2,2,1
171740773601487.62,171740773601800.9,1,1,1
171740773604663.53,171740773605152.9,3,3,1
171740773605921.22,171740773606423.8,2,2,1
171740773607388.12,171740773607740.34,2,2,1
171740773608715.66,171740773609038.88,2,2,1
171740773609820.16,171740773610184.2,3,3,1
171740773610799.47,171740773611203.1,3,3,1
