1745590883.000,7024868
ObjShowTime,ReactionTime,StimType,Guess,Correct
69189052,71490812,3,3,1
72341020,73381804,2,2,1
74303012,75345308,2,2,1
76150516,77673636,2,2,1
78912836,80126072,1,1,1
81008280,81965936,2,2,1
83447140,84400588,1,1,1
85357792,86421212,3,3,1
87604420,88844800,3,3,1
89605004,90870520,3,3,1
91376732,92991016,1,1,1
93645228,94848196,2,2,1
96027396,97266800,3,3,1
98486008,99800588,2,2,1
101264796,102815572,3,3,1
104070864,105382592,1,1,1
106207884,107283836,3,3,1
108313132,109703956,1,1,1
110297248,111493644,3,3,1
112015936,113018012,1,1,1
114141308,115061136,1,1,1
116403428,117209272,3,3,1
118627564,119865504,1,1,1
120613796,121424824,1,1,1
122118124,123041092,3,3,1
124052392,125131120,2,2,1
125824420,126894612,2,2,1
127811908,128565600,2,2,1
129294896,130158000,1,1,1
131251300,131953912,1,1,1
132534204,133208632,1,1,1
133741924,135161028,1,1,1
136202328,136953596,3,3,1
137679896,138166616,3,3,1
139574912,140333328,3,3,1
140969624,142288376,3,3,1
143134668,145876896,3,3,1
147056200,148422392,1,1,1
149547688,150564496,3,3,1
152059792,152771700,2,2,1
154110004,155170124,3,3,1
155916420,156574464,3,3,1
157724768,158806624,3,3,1
160218916,161549220,1,1,1
162318520,162905792,1,1,1
163546084,164185468,3,3,1
165406768,167201544,1,1,1
167717832,168322380,3,3,1
169370680,170106924,2,2,1
171596216,172620304,3,3,1
173183600,174013668,1,1,1
175214960,176723716,3,3,1
177456012,179539332,1,1,1
180694624,182039996,3,3,1
183323292,183887732,2,2,1
185146040,186456744,1,1,1
187000040,189015308,2,2,1
190450604,191517356,1,1,1
192939652,193597388,3,3,1
194269692,195237236,1,1,1
195997536,196872820,1,1,1
197987112,198737420,3,3,1
199343716,200498768,1,1,1
201527060,204223796,1,1,1
204886096,205528988,3,3,1
206351284,206796508,3,3,1
208002804,208635656,2,2,1
209859952,210518788,3,3,1
211800084,212454028,2,2,1
213530320,214139968,1,1,1
215504260,216987792,3,3,1
217529084,218426384,2,2,1
219276684,220024264,2,2,1
221201560,221624620,3,2,0
222945912,223907464,2,2,1
225053768,226126960,3,3,1
226689260,227405068,2,2,1
228623372,229888980,3,3,1
230463276,231109212,2,2,1
231995512,232932588,1,1,1
233919884,234798992,3,3,1
236110296,236613116,2,2,1
237884412,238660632,2,2,1
239235932,239905180,1,1,1
240958480,241616100,3,3,1
242993396,244455476,1,1,1
245242772,246701772,1,1,1
247758068,248770880,3,3,1
249279180,250454236,1,1,1
251204532,253654572,3,3,1
254616872,255205164,2,2,1
256705464,257403236,3,3,1
258075532,259175300,1,1,1
259705600,260827576,1,1,1
261920876,262412568,2,2,1
263233864,263799412,2,2,1
265013704,265418640,3,2,0
266306936,266807252,2,2,1
267626556,268163232,1,2,0
269660524,270353424,2,2,1
271841720,272650212,1,1,1
273361512,275393584,3,3,1
275896884,277608352,1,1,1
