ObjShowTime,ReactionTime,StimType,Guess,Correct
1746478004066.3198,1746478004806.536,2,2,1
1746478005479.744,1746478005994.54,1,1,1
1746478006562.744,1746478007154.036,2,2,1
1746478007668.244,1746478008231.764,2,2,1
1746478009174.972,1746478009644.148,3,3,1
1746478010598.36,1746478011297.908,2,2,1
1746478012691.116,1746478013223.5078,3,3,1
1746478016260.276,1746478016867.808,2,2,1
1746478017924.016,1746478018552.212,2,2,1
1746478019156.42,1746478019738.936,3,3,1
1746478021188.148,1746478021694.0278,2,2,1
1746478022481.244,1746478022881.7,1,1,1
1746478023813.9038,1746478024179.024,2,2,1
1746478024925.232,1746478025288.828,3,3,1
1746478026753.032,1746478027110.88,1,1,1
1746478028227.088,1746478028623.548,1,1,1
1746478029570.756,1746478029943.6958,1,1,1
1746478030489.912,1746478030910.54,3,3,1
1746478035541.584,1746478036007.6118,2,2,1
1746478037495.816,1746478037882.384,1,1,1
1746478038415.592,1746478039140.752,2,2,1
1746478040230.9558,1746478040876.596,2,2,1
1746478043594.1838,1746478044179.756,2,2,1
1746478045287.964,1746478045690.6958,1,1,1
1746478046484.9038,1746478047012.916,1,1,1
1746478048505.124,1746478048943.048,3,3,1
1746478050107.344,1746478050711.1,2,2,1
1746478051844.4038,1746478052236.68,3,3,1
1746478053474.972,1746478053980.6118,3,3,1
1746478055295.9038,1746478055687.452,3,3,1
1746478057119.744,1746478057561.048,3,3,1
1746478058574.3398,1746478058958.432,3,3,1
1746478060414.728,1746478060808.22,3,3,1
1746478061577.524,1746478062014.672,3,3,1
1746478063378.972,1746478063698.38,1,1,1
1746478064994.6838,1746478065425.072,2,2,1
1746478066025.368,1746478066432.18,2,2,1
1746478066994.488,1746478067510.668,1,1,1
1746478068796.964,1746478069340.332,1,1,1
1746478070514.6318,1746478071149.0278,2,2,1
1746478072470.324,1746478072888.796,2,2,1
1746478073700.092,1746478074264.004,3,3,1
1746478075208.2998,1746478075667.7678,3,3,1
1746478076927.064,1746478077726.18,2,2,1
1746478078498.472,1746478079048.548,1,1,1
1746478079890.8398,1746478080391.324,2,2,1
1746478082480.16,1746478082972.328,3,3,1
1746478083690.624,1746478084273.9438,2,2,1
1746478084866.2358,1746478085396.94,2,2,1
1746478085904.232,1746478086361.9038,1,1,1
1746478087283.1958,1746478087744.9558,1,1,1
1746478088629.244,1746478089042.168,1,1,1
1746478090362.468,1746478090928.096,1,1,1
1746478092305.396,1746478092856.228,2,2,1
1746478093769.52,1746478094289.9438,3,3,1
1746478095617.24,1746478096055.168,1,1,1
1746478097292.464,1746478097738.552,2,2,1
1746478099174.848,1746478099720.584,2,2,1
1746478100942.88,1746478101612.64,3,3,1
1746478102631.94,1746478103020.16,1,1,1
1746478104518.4558,1746478104959.3918,2,2,1
1746478106320.688,1746478106828.68,3,3,1
1746478108871.62,1746478109482.544,1,1,1
1746478110168.844,1746478110612.88,2,2,1
1746478111428.18,1746478111946.204,1,1,1
1746478113442.504,1746478113892.876,2,2,1
1746478114482.168,1746478114952.896,1,1,1
1746478116292.188,1746478116933.12,1,1,1
1746478117845.416,1746478118464.0,2,2,1
1746478119857.292,1746478120329.756,1,1,1
1746478121690.048,1746478122220.468,3,3,1
1746478122890.7678,1746478123393.64,2,2,1
1746478125957.188,1746478126496.432,3,3,1
1746478127819.728,1746478128313.592,1,1,1
1746478128963.9,1746478129578.4958,2,2,1
1746478130686.792,1746478131202.9038,2,2,1
1746478134593.04,1746478135362.516,1,1,1
1746478136420.808,1746478137154.792,2,2,1
1746478138612.104,1746478139045.0598,2,2,1
1746478139800.364,1746478140487.7478,3,3,1
1746478141605.044,1746478142268.3518,1,1,1
1746478143757.648,1746478144181.88,1,1,1
1746478145096.176,1746478145558.66,1,1,1
1746478146484.96,1746478147259.708,3,3,1
1746478148330.0078,1746478148746.704,3,3,1
1746478150530.564,1746478151105.012,3,3,1
1746478152150.316,1746478152580.344,1,1,1
1746478153653.648,1746478154177.504,3,3,1
1746478156139.2,1746478156704.192,1,1,1
1746478158115.488,1746478158632.24,2,2,1
1746478161501.092,1746478162044.568,1,1,1
1746478163446.86,1746478163957.9238,3,3,1
1746478165005.224,1746478165422.98,3,3,1
1746478166703.276,1746478167221.212,3,3,1
1746478168530.512,1746478169194.62,2,2,1
