ObjShowTime,ReactionTime,StimType,Guess,Correct
1739999141303.3718,1739999141785.928,2,2,1
1739999142459.128,1739999143009.7478,1,1,1
1739999143577.96,1739999144014.4238,2,2,1
1739999145943.088,1739999146415.388,3,3,1
1739999147369.6,1739999147672.66,2,2,1
1739999149065.876,1739999149524.2,3,3,1
1739999150705.408,1739999151253.24,3,3,1
1739999152235.4438,1739999152700.7,2,2,1
1739999153756.912,1739999154221.6438,2,2,1
1739999156791.916,1739999157239.652,2,2,1
1739999158026.864,1739999158380.948,1,1,1
1739999159313.156,1739999160042.9678,2,2,1
1739999163342.724,1739999163919.3318,1,1,1
1739999165035.5398,1739999165776.484,1,1,1
1739999168176.1838,1739999168644.6238,3,3,1
1739999169888.848,1739999170298.784,3,3,1
1739999171774.0,1739999172248.86,2,2,1
1739999173348.064,1739999173882.544,2,2,1
1739999175370.7478,1739999175847.4758,1,1,1
1739999176380.6838,1739999177096.784,2,2,1
1739999178186.9878,1739999178651.5718,2,2,1
1739999179499.7798,1739999179855.308,1,1,1
1739999181328.516,1739999181743.504,2,2,1
1739999182851.7158,1739999183275.38,1,1,1
1739999184069.584,1739999184641.596,1,1,1
1739999186133.7998,1739999186556.9038,3,3,1
1739999187721.1118,1739999188265.4358,2,2,1
1739999189398.744,1739999190095.992,3,3,1
1739999191334.2878,1739999191865.912,3,3,1
1739999193181.208,1739999193672.448,3,3,1
1739999195104.74,1739999195617.856,3,3,1
1739999196631.148,1739999197102.856,3,3,1
1739999198559.156,1739999198982.544,3,3,1
1739999199751.848,1739999200178.2278,3,3,1
1739999201542.524,1739999201992.2678,1,1,1
1739999203288.564,1739999203682.22,2,2,1
1739999204282.5198,1739999205073.336,2,2,1
1739999205635.6438,1739999206080.86,1,1,1
1739999208889.7278,1739999209463.552,2,2,1
1739999210784.848,1739999211231.084,2,2,1
1739999212042.38,1739999212527.848,3,3,1
1739999213472.148,1739999213964.3718,3,3,1
1739999215223.668,1739999215523.156,2,2,1
1739999216295.448,1739999216657.364,1,1,1
1739999217499.652,1739999217965.7998,2,2,1
1739999218486.096,1739999218969.6318,3,3,1
1739999219545.9238,1739999220016.1238,3,3,1
1739999220734.42,1739999221164.0198,2,2,1
1739999221756.312,1739999222226.596,2,2,1
1739999222733.888,1739999223134.308,1,1,1
1739999224055.6,1739999224556.304,1,1,1
1739999225440.596,1739999225917.704,1,1,1
1739999227238.0078,1739999227618.0798,1,1,1
1739999228995.376,1739999229280.48,2,2,1
1739999230193.776,1739999230592.792,3,3,1
1739999231920.084,1739999232441.772,1,1,1
1739999233679.0718,1739999233946.66,2,2,1
1739999235382.9558,1739999235792.776,2,2,1
1739999237015.0718,1739999237353.824,3,3,1
1739999243963.796,1739999244567.932,3,3,1
1739999250663.24,1739999251160.328,1,1,1
1739999255890.9678,1739999256491.26,1,1,1
1739999257403.552,1739999258035.036,2,2,1
1739999259428.328,1739999259969.692,1,1,1
1739999261329.9958,1739999262111.708,3,3,1
1739999262782.0078,1739999263367.46,2,2,1
1739999264485.756,1739999265128.9958,3,3,1
1739999265715.2998,1739999266230.628,3,3,1
1739999267553.928,1739999268104.296,1,1,1
1739999268754.588,1739999269325.9878,2,2,1
1739999270434.284,1739999270887.104,2,2,1
1739999272337.4,1739999272755.524,1,1,1
1739999275204.62,1739999275654.128,2,2,1
1739999277111.4238,1739999277690.3398,2,2,1
1739999278445.6438,1739999278880.076,3,3,1
1739999281858.4878,1739999282315.432,1,1,1
1739999283229.724,1739999283942.296,1,1,1
1739999284868.5918,1739999285470.2998,3,3,1
1739999286540.596,1739999286976.98,3,3,1
1739999287520.2798,1739999288127.916,1,1,1
1739999288939.2158,1739999289495.5198,3,3,1
1739999290540.816,1739999290955.7878,1,1,1
1739999292029.084,1739999292383.26,3,3,1
1739999292948.552,1739999293473.516,3,3,1
1739999293991.804,1739999294616.148,1,1,1
1739999298130.836,1739999298700.9438,3,3,1
1739999299312.244,1739999299742.276,1,1,1
1739999301144.568,1739999301567.864,3,3,1
1739999302615.156,1739999303193.312,3,3,1
1739999304473.6118,1739999304877.3518,3,3,1
1739999306186.648,1739999306682.044,2,2,1
1739999307258.3398,1739999307739.388,3,3,1
1739999308475.68,1739999308971.792,1,1,1
