ObjShowTime, ReactionTime, StimType, Guess, Correct
4911,5306,1,1,1
6131,6510,3,3,1
7566,7987,2,2,1
9378,9743,3,3,1
10439,10979,3,3,1
11907,12354,1,1,1
13799,14292,3,3,1
14935,15378,1,1,1
16802,17305,3,3,1
18434,18684,2,1,0
20171,20470,1,1,1
21189,21528,2,1,0
22761,23194,3,3,1
23778,24169,2,2,1
25252,25581,2,2,1
26576,26946,3,3,1
27773,28138,1,1,1
29382,29675,2,2,1
30929,31183,3,3,1
32602,32929,2,2,1
34294,34770,2,2,1
35602,35958,2,2,1
37032,37277,2,2,1
37855,38309,2,2,1
39041,39604,3,3,1
40645,41132,1,1,1
42324,42664,3,3,1
43294,43781,2,2,1
44468,45178,3,3,1
45929,46605,3,3,1
47666,48244,3,3,1
49458,49800,2,2,1
50719,51464,3,3,1
52442,52823,1,1,1
53646,54002,1,1,1
55216,55628,3,3,1
56759,57251,3,2,0
58356,58788,2,2,1
59655,60109,3,3,1
61043,61453,1,1,1
62171,62601,2,2,1
63695,64378,3,3,1
65561,66004,1,1,1
67283,67986,3,3,1
68826,69351,2,2,1
70525,71064,3,3,1
71882,72258,1,1,1
72969,73449,3,3,1
74525,74802,2,2,1
75638,76105,3,3,1
77050,77456,3,3,1
78932,79229,1,1,1
80295,80830,1,1,1
81779,82375,1,1,1
83356,84154,1,1,1
84703,86067,2,2,1
87354,87900,1,1,1
88630,88985,2,2,1
89975,90298,3,3,1
90841,91365,2,2,1
92203,92874,3,2,0
94091,94395,1,1,1
95526,95833,3,3,1
96644,96929,2,2,1
98227,98660,3,3,1
99251,100230,3,3,1
101074,101469,1,1,1
102473,102852,1,1,1
103545,104031,1,1,1
104623,105169,3,1,0
106054,106405,3,3,1
107034,107436,1,1,1
108643,109003,1,1,1
109817,110324,2,2,1
111612,112052,1,1,1
113053,113606,3,3,1
114959,115424,1,1,1
116314,116816,1,1,1
117330,117906,3,3,1
118639,119024,3,3,1
120130,120718,2,2,1
121787,122139,2,2,1
122662,123210,1,1,1
123904,124301,1,1,1
124846,125237,3,3,1
126711,127096,1,1,1
127952,128386,2,2,1
129618,130053,2,2,1
130889,131251,2,2,1
131875,132294,2,2,1
133001,133378,3,3,1
134173,134445,2,2,1
135145,135459,1,1,1
136485,136830,3,3,1
137790,138176,3,3,1
139499,139883,3,3,1
140971,141351,1,1,1
142827,143148,1,1,1
144100,144333,2,1,0
145505,145857,3,3,1
147253,147616,1,1,1
148277,148749,1,2,0
149677,150035,1,1,1
150751,151152,1,1,1
151817,152199,1,1,1
153059,153484,3,3,1
154667,154744,3,3,1
