1740564465.000,3314352
ObjShowTime,ReactionTime,StimType,Guess,Correct
58934372,59539480,1,1,1
60758684,61235528,2,2,1
61964732,62628588,3,3,1
63725792,64323016,3,3,1
65735224,66347276,3,3,1
67104480,67768336,1,1,1
68847540,69366576,3,3,1
70378780,71046204,2,2,1
71700412,72351980,1,1,1
73682184,74264160,3,3,1
75153364,75665300,1,1,1
76406508,77098548,1,1,1
78228752,78922140,3,3,1
80102344,80660776,1,1,1
81863984,82313376,2,2,1
83175584,83831160,3,3,1
84340368,85589420,3,3,1
86807636,87519552,2,2,1
88409760,88918560,1,1,1
89523764,92590720,2,2,1
93091928,93777024,1,1,1
94306228,95218040,3,3,1
96396248,97207824,2,2,1
98340032,99960296,3,3,1
101124500,102332956,3,3,1
103349260,105245948,3,3,1
106573240,107531484,2,2,1
108198776,109003340,2,2,1
110419632,111238540,2,2,1
112416840,113359056,2,2,1
114552348,115172852,3,3,1
116551148,117110968,2,2,1
118303260,118743252,1,1,1
120025548,121066128,2,2,1
121914432,122482744,2,2,1
123682040,124467188,3,3,1
125718496,126374676,2,2,1
127233972,128005764,1,1,1
129137056,129918540,3,3,1
130477836,131318136,2,2,1
132266436,132872120,2,2,1
133782424,134296464,2,2,1
135291764,135879608,3,3,1
136551908,137709732,1,1,1
138635024,142038300,2,3,0
142766596,143545028,3,3,1
144270324,145297640,3,3,1
146562932,147331792,1,1,1
148600088,153719752,2,2,1
155053052,155853664,3,3,1
156460960,157168192,1,1,1
158532492,159155776,2,2,1
160254076,160850100,1,1,1
161498396,162142864,2,2,1
162861164,163440744,1,1,1
164009044,164574048,1,1,1
165104340,166003176,3,3,1
166886476,167674132,3,3,1
168360432,168964932,2,2,1
169470220,170810008,3,3,1
172222304,173509416,2,2,1
174612712,175207384,3,3,1
176412692,176854352,1,1,1
177381648,178806496,2,2,1
179704792,180284408,1,1,1
181029708,181736392,3,3,1
182261696,182790864,1,1,1
183339160,183989756,2,2,1
185145052,185658316,1,1,1
186794612,187341040,3,3,1
188018336,188487696,2,2,1
189616992,190312368,2,2,1
191289672,192625912,3,3,1
193910208,194709700,3,3,1
195917996,196528944,3,3,1
197749244,198163616,2,2,1
198791912,199398944,3,3,1
200749240,201381256,1,1,1
202370552,202756656,1,1,1
203947952,204829788,3,3,1
206210092,206550636,2,2,1
207906940,208638540,3,3,1
209336840,209872072,2,2,1
210518364,210952220,3,3,1
211777512,212391340,3,3,1
213245636,213825764,3,3,1
214524060,214930928,3,3,1
215444224,216058428,1,1,1
217308724,218033440,3,3,1
218607744,219255440,3,3,1
220733736,221236256,2,2,1
221969552,222707776,3,3,1
223764076,224132800,2,2,1
224899100,225584176,1,1,1
226133472,227171880,3,3,1
228279176,228988748,2,2,1
230213044,231871532,2,2,1
232533832,233290128,3,3,1
234181424,235109800,2,2,1
235770100,236558992,1,1,1
237540288,238271916,3,3,1
