1741746816256.000,6639472
ObjShowTime,ReactionTime,StimType,Guess,Correct
54355876,55005160,1,1,1
55708372,56132096,1,1,1
56962300,57530024,1,1,1
58549228,58959824,3,3,1
59571036,59920816,2,2,1
61198024,61740048,3,3,1
62670256,63123880,1,1,1
63664084,64044052,3,3,1
64817260,65192156,1,1,1
66241360,66627780,1,1,1
67702980,68067148,1,1,1
69305356,69673448,3,3,1
70308652,70702728,1,1,1
71953936,72223288,2,2,1
73133496,73424592,3,3,1
74076796,74403504,3,2,0
75013708,75564936,3,3,1
76133144,76639540,2,2,1
77182748,77585184,2,2,1
78480400,78809364,3,3,1
79930568,80304164,2,2,1
81544372,81921056,3,3,1
83101264,83399212,2,2,1
84197428,84525016,2,2,1
85914228,86218916,3,3,1
87059120,87358284,3,3,1
88378496,88887632,2,2,1
89649840,89948748,2,2,1
90659956,91241264,1,1,1
92131468,92502492,3,3,1
93763700,94114776,1,1,1
94750992,95157840,3,3,1
96640056,96942364,3,3,1
97781576,98121956,2,2,1
98672168,99068348,3,3,1
99590552,99985124,3,3,1
100637332,100995700,2,2,1
102484004,102796428,2,2,1
104035720,104655208,2,2,1
105704504,106306764,1,2,0
106885052,107533028,1,2,0
108928316,109215360,1,2,0
109956652,110519500,2,2,1
111093804,111495144,2,2,1
112415444,112931932,3,3,1
114069224,114496300,1,1,1
115250596,115624516,3,3,1
116778808,117176696,2,2,1
118403992,118819800,1,1,1
120233100,120834444,2,2,1
122225744,122730104,3,3,1
123931400,124290524,1,1,1
125290824,125605668,2,2,1
126563960,127135408,1,1,1
128248708,128666840,2,2,1
129315132,129689592,3,3,1
130840892,131286168,1,1,1
132723460,133175464,1,1,1
134651756,135085456,1,1,1
135928748,136307648,3,3,1
137473952,137861036,3,3,1
138450336,138866820,3,3,1
139514112,139922060,3,3,1
140846356,141263980,2,2,1
142539276,143231964,2,2,1
144681268,145007580,2,2,1
145613888,146213368,3,3,1
147189668,147561428,3,3,1
148261728,148892632,1,1,1
149719932,150118100,2,2,1
151483404,152026488,2,2,1
152573788,153038820,2,2,1
154001128,154409316,2,2,1
155634612,156071752,1,1,1
157259052,157625712,2,2,1
158890016,159268156,1,1,1
159912448,160294956,2,2,1
160840252,161278604,3,3,1
161915900,162359628,1,1,1
163727928,164173496,3,3,1
164859784,165288016,1,1,1
166401308,166806556,3,3,1
167892848,168322612,3,3,1
169700904,170080196,2,2,1
170905492,171329020,1,1,1
172471320,172781136,3,3,1
173710440,174114352,3,3,1
175132652,175526952,2,2,1
176598244,176912156,3,3,1
178375444,178769776,1,1,1
179346080,179829616,3,3,1
180759916,181108956,3,3,1
181893252,182266676,2,2,1
183321972,183762624,2,2,1
185183916,185577428,3,3,1
186933732,187375248,1,1,1
187914544,188314308,1,1,1
189532604,189888904,2,2,1
191346200,191865628,1,1,1
192699924,193104208,1,1,1
193877504,194279876,3,3,1
195115176,195915008,1,1,1
196677308,197058716,1,1,1
197730012,198150260,3,3,1
