ObjShowTime, ReactionTime, StimType, Guess, Correct
6648,7109,1,1,1
8160,8472,1,1,1
9393,9680,1,1,1
11175,11421,1,1,1
12693,12965,1,1,1
13875,14121,1,1,1
15314,15543,1,1,1
16302,16582,1,1,1
17945,18154,1,1,1
18663,18987,1,1,1
20334,20561,1,1,1
21134,21409,1,1,1
22131,22502,1,1,1
23842,24037,1,1,1
25364,25621,1,1,1
26918,27076,1,1,1
27589,27872,1,1,1
28707,28972,1,1,1
30297,30511,1,1,1
31541,31803,1,1,1
32758,33015,1,1,1
33840,34109,1,1,1
34701,35034,1,1,1
35795,36049,1,1,1
36975,37270,1,1,1
37831,38120,1,1,1
39235,39469,1,1,1
40028,40337,1,1,1
41495,41759,1,1,1
42915,43142,1,1,1
43880,44157,1,1,1
45018,45370,1,1,1
45902,46249,1,1,1
47728,47958,1,1,1
48552,48831,1,1,1
49949,50348,1,1,1
51056,51329,1,1,1
51884,52182,1,1,1
53305,53593,1,1,1
54231,54533,1,1,1
55391,55629,1,1,1
56710,56972,1,1,1
57677,58062,1,1,1
59278,59507,1,1,1
60110,60391,1,1,1
61167,61455,1,1,1
62317,62544,1,1,1
63722,64005,1,1,1
65226,65433,1,1,1
66270,66547,1,1,1
67571,67860,1,1,1
68438,68765,1,1,1
69893,70174,1,1,1
71060,71372,1,1,1
71942,72376,1,1,1
73267,73545,1,1,1
74362,74663,1,1,1
75560,75801,1,1,1
77160,77400,1,1,1
78112,78431,1,1,1
79575,79849,1,1,1
80718,81217,1,1,1
81794,82162,1,1,1
82780,83151,1,1,1
84042,84274,1,1,1
85563,85780,1,1,1
87181,87400,1,1,1
88090,88364,1,1,1
89037,89308,1,1,1
90095,90382,1,1,1
91839,92084,1,1,1
93306,93999,1,1,1
95485,95711,1,1,1
97058,97350,1,1,1
97916,98240,1,1,1
99082,99312,1,1,1
100457,100731,1,1,1
101828,102097,1,1,1
102658,102967,1,1,1
104438,104688,1,1,1
105628,105964,1,1,1
107304,107660,1,1,1
109041,109371,1,1,1
110671,111068,1,1,1
112494,112794,1,1,1
113528,113874,1,1,1
115110,115403,1,1,1
116040,116388,1,1,1
117215,117506,1,1,1
118051,118454,1,1,1
119636,119929,1,1,1
120807,121083,1,1,1
122443,122722,1,1,1
124166,124438,1,1,1
125084,125453,1,1,1
126715,126976,1,1,1
128331,128584,1,1,1
129964,130210,1,1,1
131607,131858,1,1,1
132506,132835,1,1,1
