ObjShowTime,ReactionTime,StimType,Guess,Correct
1739994320062.488,1739994320354.456,1,1,1
1739994321567.74,1739994321797.408,1,1,1
1739994323023.736,1739994323340.5,1,1,1
1739994324150.7642,1739994324464.376,1,1,1
1739994325356.692,1739994325600.58,1,1,1
1739994326176.9,1739994326426.48,1,1,1
1739994327312.74,1739994327512.76,1,1,1
1739994328910.12,1739994329112.172,1,1,1
1739994330297.484,1739994330627.8362,1,1,1
1739994332055.1282,1739994332306.5962,1,1,1
1739994332869.884,1739994333246.112,1,1,1
1739994333967.424,1739994334261.6602,1,1,1
1739994335653.968,1739994336006.476,1,1,1
1739994338302.312,1739994338539.668,1,1,1
1739994339174.924,1739994339478.016,1,1,1
1739994339992.3042,1739994340230.084,1,1,1
1739994341034.34,1739994341257.756,1,1,1
1739994342365.072,1739994342580.516,1,1,1
1739994343098.812,1739994343414.72,1,1,1
1739994344212.0242,1739994344457.208,1,1,1
1739994345375.5042,1739994345584.584,1,1,1
1739994346851.852,1739994347087.988,1,1,1
1739994347929.256,1739994348124.296,1,1,1
1739994349394.56,1739994349591.7322,1,1,1
1739994350592.0242,1739994350782.744,1,1,1
1739994351395.06,1739994351708.62,1,1,1
1739994352964.932,1739994353184.176,1,1,1
1739994354482.4922,1739994354739.968,1,1,1
1739994357185.204,1739994357467.416,1,1,1
1739994359863.04,1739994360063.24,1,1,1
1739994361024.5962,1739994361253.112,1,1,1
1739994361756.408,1739994362096.168,1,1,1
1739994362922.456,1739994363141.36,1,1,1
1739994363893.6802,1739994364102.5962,1,1,1
1739994365459.86,1739994365693.684,1,1,1
1739994366926.0042,1739994367162.844,1,1,1
1739994367846.1602,1739994368196.988,1,1,1
1739994369389.276,1739994369606.744,1,1,1
1739994370950.032,1739994371161.796,1,1,1
1739994372032.092,1739994372223.248,1,1,1
1739994373376.5442,1739994373590.1802,1,1,1
1739994375030.444,1739994375250.188,1,1,1
1739994376104.484,1739994376359.3162,1,1,1
1739994377157.664,1739994377405.672,1,1,1
1739994378038.9722,1739994378295.456,1,1,1
1739994378877.7522,1739994379093.216,1,1,1
1739994379797.536,1739994380013.04,1,1,1
1739994381135.324,1739994381342.1602,1,1,1
1739994382446.48,1739994382687.6,1,1,1
1739994384004.9202,1739994384211.632,1,1,1
1739994384779.9202,1739994385114.736,1,1,1
1739994386476.048,1739994386669.376,1,1,1
1739994388004.668,1739994388206.988,1,1,1
1739994389594.3042,1739994389819.396,1,1,1
1739994390363.656,1739994390719.916,1,1,1
1739994391669.2002,1739994391862.98,1,1,1
1739994392425.34,1739994392642.356,1,1,1
1739994393927.64,1739994394127.956,1,1,1
1739994394753.268,1739994394981.152,1,1,1
1739994396258.464,1739994396493.824,1,1,1
1739994397710.112,1739994397956.008,1,1,1
1739994398816.288,1739994399081.808,1,1,1
1739994399942.088,1739994400144.26,1,1,1
1739994401063.52,1739994401286.7522,1,1,1
1739994401812.04,1739994402116.912,1,1,1
1739994403368.228,1739994403583.536,1,1,1
1739994404997.824,1739994405215.328,1,1,1
1739994406677.612,1739994406905.788,1,1,1
1739994407578.048,1739994407887.136,1,1,1
1739994408520.468,1739994408701.016,1,1,1
1739994409994.308,1739994410224.1802,1,1,1
1739994411471.468,1739994411677.904,1,1,1
1739994413034.164,1739994413265.088,1,1,1
1739994413954.372,1739994414231.54,1,1,1
1739994415475.828,1739994415661.9202,1,1,1
1739994416702.184,1739994416942.428,1,1,1
1739994418134.72,1739994418336.708,1,1,1
1739994419494.9922,1739994419690.584,1,1,1
1739994420878.848,1739994421056.568,1,1,1
1739994421928.852,1739994422171.72,1,1,1
1739994423244.0,1739994423441.052,1,1,1
1739994424259.3682,1739994424497.808,1,1,1
1739994425658.136,1739994425841.184,1,1,1
1739994426911.5042,1739994427111.3042,1,1,1
1739994428403.604,1739994428574.5242,1,1,1
1739994429570.7842,1739994429761.76,1,1,1
1739994430865.052,1739994431063.12,1,1,1
1739994432267.408,1739994432458.46,1,1,1
1739994433589.756,1739994433798.1082,1,1,1
1739994435067.372,1739994435245.036,1,1,1
1739994436694.324,1739994436902.736,1,1,1
1739994437590.0242,1739994437903.276,1,1,1
1739994439355.56,1739994439569.436,1,1,1
