ObjShowTime,ReactionTime,StimType,Guess,Correct
1739219869859.768,1739219870068.028,1,1,1
1739219871409.1882,1739219871603.1802,1,1,1
1739219872849.34,1739219873040.02,1,1,1
1739219873646.184,1739219873840.756,1,1,1
1739219874943.916,1739219875130.9482,1,1,1
1739219876449.1082,1739219876615.86,1,1,1
1739219877189.02,1739219877396.8362,1,1,1
1739219878445.996,1739219878606.644,1,1,1
1739219879236.8042,1739219879417.508,1,1,1
1739219880053.6682,1739219880262.0,1,1,1
1739219881730.164,1739219881908.5962,1,1,1
1739219882758.756,1739219882930.256,1,1,1
1739219885075.468,1739219885232.828,1,1,1
1739219888289.592,1739219888475.624,1,1,1
1739219890850.656,1739219891034.124,1,1,1
1739219893501.3962,1739219893671.1282,1,1,1
1739219895538.5442,1739219895755.14,1,1,1
1739219896938.3042,1739219897115.852,1,1,1
1739219898531.016,1739219898713.34,1,1,1
1739219899969.5042,1739219900154.0122,1,1,1
1739219901595.1802,1739219901773.052,1,1,1
1739219902636.216,1739219902830.4402,1,1,1
1739219903557.6,1739219903758.384,1,1,1
1739219906693.84,1739219906881.1082,1,1,1
1739219907622.268,1739219907853.216,1,1,1
1739219909150.3762,1739219909316.8762,1,1,1
1739219909976.04,1739219910176.956,1,1,1
1739219911427.12,1739219911601.156,1,1,1
1739219912180.328,1739219912393.3042,1,1,1
1739219912995.4722,1739219913238.704,1,1,1
1739219914453.8682,1739219914645.348,1,1,1
1739219916071.516,1739219916287.184,1,1,1
1739219917468.3442,1739219917644.652,1,1,1
1739219918705.8162,1739219918900.7322,1,1,1
1739219919908.892,1739219920065.892,1,1,1
1739219921410.0562,1739219921564.384,1,1,1
1739219922742.548,1739219922921.1802,1,1,1
1739219923633.3442,1739219923866.744,1,1,1
1739219925281.912,1739219925493.036,1,1,1
1739219926061.2002,1739219926254.6802,1,1,1
1739219927167.8442,1739219927340.308,1,1,1
1739219928490.4722,1739219928691.276,1,1,1
1739219930004.4402,1739219930192.092,1,1,1
1739219930942.256,1739219931154.0,1,1,1
1739219932244.164,1739219932402.0122,1,1,1
1739219932971.176,1739219933164.2722,1,1,1
1739219934331.432,1739219934463.0242,1,1,1
1739219935573.192,1739219935759.892,1,1,1
1739219936443.0562,1739219936642.0762,1,1,1
1739219938474.672,1739219938707.308,1,1,1
1739219939540.476,1739219939726.76,1,1,1
1739219940310.9202,1739219940532.444,1,1,1
1739219941813.6082,1739219942032.528,1,1,1
1739219942840.692,1739219943028.0322,1,1,1
1739219943607.196,1739219943813.016,1,1,1
1739219944936.184,1739219945114.6,1,1,1
1739219946148.7642,1739219946316.5322,1,1,1
1739219947262.696,1739219947486.172,1,1,1
1739219948447.34,1739219948611.984,1,1,1
1739219949370.152,1739219949546.664,1,1,1
1739219950202.828,1739219950383.392,1,1,1
1739219953027.8442,1739219953206.6802,1,1,1
1739219953791.936,1739219954004.3362,1,1,1
1739219954587.588,1739219954829.1482,1,1,1
1739219956260.4,1739219956445.704,1,1,1
1739219957282.956,1739219957476.744,1,1,1
1739219958518.996,1739219958707.28,1,1,1
1739219959745.5322,1739219959929.08,1,1,1
1739219961173.332,1739219961391.52,1,1,1
1739219962016.776,1739219962250.58,1,1,1
1739219963222.8362,1739219963403.1602,1,1,1
1739219964432.4082,1739219964595.0562,1,1,1
1739219965372.308,1739219965555.036,1,1,1
1739219967043.2842,1739219967239.4602,1,1,1
1739219968335.7122,1739219968507.7842,1,1,1
1739219969099.036,1739219969308.5042,1,1,1
1739219969843.76,1739219970043.3442,1,1,1
1739219970968.6,1739219971158.592,1,1,1
1739219973084.484,1739219973321.7922,1,1,1
1739219974769.0442,1739219974933.1602,1,1,1
1739219975661.412,1739219975849.244,1,1,1
1739219977294.5,1739219977504.848,1,1,1
1739219980250.1162,1739219980428.828,1,1,1
1739219981415.08,1739219981618.204,1,1,1
1739219982126.464,1739219982350.8,1,1,1
1739219984917.1282,1739219985105.9722,1,1,1
1739219985760.2322,1739219985956.728,1,1,1
1739219986795.9802,1739219986986.788,1,1,1
1739219987659.036,1739219987841.76,1,1,1
