1745335693.000,3500628
ObjShowTime,ReactionTime,StimType,Guess,Correct
51986480,52558228,1,1,1
53334388,53864376,1,1,1
54497540,54999872,1,1,1
55764040,56261252,1,1,1
57740416,58144908,1,1,1
59458064,60006120,1,1,1
60762280,61309064,1,1,1
61820224,62774348,1,1,1
63587508,64197356,1,1,1
65264516,66071516,1,1,1
66757696,69516112,1,1,1
70584280,70963064,1,1,1
72374228,72963460,1,1,1
73894620,74531292,1,1,1
75198456,76339700,1,1,1
77814872,78148112,1,1,1
78675280,79479604,1,1,1
80081768,80963064,1,1,1
81585232,82943640,1,1,1
83740808,84142464,1,1,1
85231636,85638268,1,1,1
86347432,86822568,1,1,1
88244732,88743308,1,1,1
89638476,89992492,1,1,1
90807652,91230128,1,1,1
92614292,93023492,1,1,1
93536660,93937260,1,1,1
94548428,94952864,1,1,1
95649028,95975112,1,1,1
97091280,97431516,1,1,1
98906684,99246908,1,1,1
100170072,100537912,1,1,1
101275164,101632304,1,1,1
102819556,103216068,1,1,1
104179328,104507832,1,1,1
105521088,105917644,1,1,1
106668896,107119556,1,1,1
108506816,108950428,1,1,1
110192692,110508476,1,1,1
111073728,111444912,1,1,1
112907172,113308852,1,1,1
114023104,114383836,1,1,1
114936100,115298384,1,1,1
116785636,117144936,1,1,1
117982192,118336440,1,1,1
119040700,119375200,1,1,1
120767452,121101116,1,1,1
121911376,122215416,1,1,1
122896676,123185696,1,1,1
123687952,124076992,1,1,1
124723256,125059192,1,1,1
126208444,126518740,1,1,1
127692992,127956716,1,1,1
128773972,129098640,1,1,1
130253904,130569832,1,1,1
131454084,131735852,1,1,1
133090104,133420080,1,1,1
134739336,135066024,1,1,1
135762272,136169268,1,1,1
137388516,137840520,1,1,1
138388780,138814292,1,1,1
140093544,140419952,1,1,1
141723212,142032036,1,1,1
143104288,143427552,1,1,1
144143812,144533968,1,1,1
145127220,145488556,1,1,1
146554808,146918420,1,1,1
148172676,148557816,1,1,1
149448076,150100284,1,1,1
151439536,151871480,1,1,1
153135740,153465352,1,1,1
154352612,154645448,1,1,1
155983704,156297352,1,1,1
156989600,157411752,1,1,1
158771008,159175408,1,1,1
160326672,160722672,1,1,1
162111924,162537892,1,1,1
163511148,163865892,1,1,1
164374144,164786152,1,1,1
165845408,166143208,1,1,1
166976460,167302984,1,1,1
168525236,168868452,1,1,1
169421704,169849004,1,1,1
170524256,170950956,1,1,1
171901204,172578408,1,1,1
173766668,174122948,1,1,1
175285200,175642744,1,1,1
176562000,176876368,1,1,1
178014620,178352228,1,1,1
179085484,179421032,1,1,1
180209288,180578532,1,1,1
181781784,182062104,1,1,1
183556356,183834596,1,1,1
184670852,184908324,1,1,1
186233572,186560556,1,1,1
187897812,188183800,1,1,1
189665056,189949804,1,1,1
191031068,191337988,1,1,1
192335244,192666040,1,1,1
193214288,193559328,1,1,1
