ObjShowTime,ReactionTime,StimType,Guess,Correct
1740684151484.664,1740684151835.808,1,1,1
1740684153110.968,1740684153367.788,1,1,1
1740684154606.952,1740684154819.8762,1,1,1
1740684155721.0322,1740684155988.016,1,1,1
1740684156497.1802,1740684156860.8042,1,1,1
1740684157598.964,1740684157818.956,1,1,1
1740684158874.124,1740684159098.0042,1,1,1
1740684159904.1682,1740684160271.844,1,1,1
1740684161518.008,1740684161714.9,1,1,1
1740684163112.068,1740684163333.5642,1,1,1
1740684164241.724,1740684164497.476,1,1,1
1740684165872.64,1740684166112.1282,1,1,1
1740684167428.288,1740684167756.6082,1,1,1
1740684169820.88,1740684170283.7522,1,1,1
1740684171356.916,1740684171698.432,1,1,1
1740684172381.5962,1740684172850.5,1,1,1
1740684174148.664,1740684174522.008,1,1,1
1740684175179.1682,1740684175652.9602,1,1,1
1740684176837.124,1740684177105.7522,1,1,1
1740684177669.916,1740684178049.26,1,1,1
1740684179178.4282,1740684179446.5322,1,1,1
1740684180778.7002,1740684181086.9602,1,1,1
1740684181949.124,1740684182238.724,1,1,1
1740684183200.8882,1740684183505.348,1,1,1
1740684184803.516,1740684185058.936,1,1,1
1740684187255.812,1740684187512.436,1,1,1
1740684188160.6,1740684188502.152,1,1,1
1740684189434.3162,1740684189685.5042,1,1,1
1740684190331.6682,1740684190622.9802,1,1,1
1740684191741.144,1740684192019.6082,1,1,1
1740684192943.7722,1740684193271.932,1,1,1
1740684194720.0962,1740684194982.3882,1,1,1
1740684197460.9602,1740684197779.8882,1,1,1
1740684199280.052,1740684199555.04,1,1,1
1740684200597.208,1740684201012.26,1,1,1
1740684203277.516,1740684203600.184,1,1,1
1740684204150.352,1740684204441.3682,1,1,1
1740684205937.5322,1740684206258.768,1,1,1
1740684207293.932,1740684207626.228,1,1,1
1740684208969.488,1740684209283.5122,1,1,1
1740684210730.768,1740684210985.32,1,1,1
1740684211606.58,1740684211981.8882,1,1,1
1740684213240.136,1740684213489.744,1,1,1
1740684214937.996,1740684215150.3882,1,1,1
1740684216356.64,1740684216604.904,1,1,1
1740684217466.1602,1740684217808.468,1,1,1
1740684219293.728,1740684219494.1282,1,1,1
1740684220721.38,1740684221013.796,1,1,1
1740684222439.048,1740684222673.396,1,1,1
1740684223299.652,1740684223782.364,1,1,1
1740684224283.6162,1740684224715.112,1,1,1
1740684225562.364,1740684225850.184,1,1,1
1740684228319.9202,1740684228630.328,1,1,1
1740684229946.58,1740684230149.488,1,1,1
1740684230846.744,1740684231112.228,1,1,1
1740684232527.484,1740684232774.912,1,1,1
1740684233719.164,1740684233985.796,1,1,1
1740684235179.052,1740684235430.348,1,1,1
1740684236329.592,1740684236575.384,1,1,1
1740684237760.64,1740684238078.9082,1,1,1
1740684238775.164,1740684239161.78,1,1,1
1740684240474.028,1740684240871.412,1,1,1
1740684242292.672,1740684242563.5042,1,1,1
1740684243511.76,1740684243787.952,1,1,1
1740684244488.204,1740684244764.964,1,1,1
1740684247545.2202,1740684247813.452,1,1,1
1740684248327.704,1740684248656.224,1,1,1
1740684249343.4802,1740684249623.672,1,1,1
1740684250738.924,1740684251031.3162,1,1,1
1740684252076.572,1740684252466.5642,1,1,1
1740684253338.8162,1740684253699.156,1,1,1
1740684256456.896,1740684256711.588,1,1,1
1740684257874.844,1740684258206.132,1,1,1
1740684258726.3882,1740684259165.332,1,1,1
1740684260294.5842,1740684260576.7002,1,1,1
1740684261429.952,1740684261739.0122,1,1,1
1740684262663.268,1740684262996.188,1,1,1
1740684263816.444,1740684264186.788,1,1,1
1740684264771.048,1740684265133.26,1,1,1
1740684266175.516,1740684266619.704,1,1,1
1740684267604.964,1740684267832.1482,1,1,1
1740684268517.4082,1740684268790.236,1,1,1
1740684271340.728,1740684271613.808,1,1,1
1740684272158.0562,1740684272517.536,1,1,1
1740684273281.788,1740684273549.896,1,1,1
1740684274458.1482,1740684274915.516,1,1,1
1740684275835.768,1740684276205.9922,1,1,1
1740684277439.24,1740684277693.9202,1,1,1
1740684279182.1682,1740684279673.348,1,1,1
1740684281142.604,1740684281343.912,1,1,1
1740684282803.172,1740684283037.3562,1,1,1
1740684283846.6082,1740684284132.068,1,1,1
