17451745343242.000,6705840
ObjShowTime,ReactionTime,StimType,Guess,Correct
50930916,51641540,1,1,1
52288708,52730844,1,1,1
53404012,53814080,1,1,1
54382240,54752024,1,1,1
55266188,55617292,1,1,1
56560452,56914036,1,1,1
57868200,58124056,1,1,1
59517220,59768696,1,1,1
60949856,61194324,1,1,1
62176488,62413540,1,1,1
63469704,63696108,1,1,1
64300268,64609348,1,1,1
66058512,66267364,1,1,1
67054524,67290052,1,1,1
68222212,68534780,1,1,1
69280944,69637916,1,1,1
71102076,71342616,1,1,1
72458784,72713112,1,1,1
73660280,73901084,1,1,1
74447248,74795156,1,1,1
76039324,76253808,1,1,1
77728968,77972944,1,1,1
79072108,79320284,1,1,1
80808452,81099324,1,1,1
81632488,82025532,1,1,1
83115696,83363872,1,1,1
84212036,84580768,1,1,1
86053932,86339608,1,1,1
87447772,87693180,1,1,1
88487344,88779684,1,1,1
90271848,90518584,1,1,1
91682752,91985948,1,1,1
93119112,93321876,1,1,1
94560044,94775604,1,1,1
96090768,96290496,1,1,1
97722660,97923172,1,1,1
98936336,99213200,1,1,1
100669364,100896460,1,1,1
101665716,101999432,1,1,1
103363688,103598556,1,1,1
104894812,105091108,1,1,1
105691360,106040900,1,1,1
106603152,106939468,1,1,1
108225720,108500420,1,1,1
109674672,109928912,1,1,1
111250164,111487924,1,1,1
112299188,112557156,1,1,1
113501412,113771696,1,1,1
115030952,115251384,1,1,1
116023636,116295688,1,1,1
117137940,117385040,1,1,1
117905292,118340004,1,1,1
118916256,119268544,1,1,1
119986796,120477648,1,1,1
121069908,121516500,1,1,1
122023752,122320204,1,1,1
123241456,123520284,1,1,1
124404532,124700952,1,1,1
126021204,126297084,1,1,1
127674344,127928844,1,1,1
128842100,129176836,1,1,1
130504088,131052448,1,1,1
132289708,132514984,1,1,1
133951236,134194796,1,1,1
135417048,135651540,1,1,1
136670792,136900940,1,1,1
138399188,138601172,1,1,1
139962428,140176768,1,1,1
141115020,141364172,1,1,1
141964428,142277848,1,1,1
142964104,143246364,1,1,1
144061620,144330212,1,1,1
145826464,146089068,1,1,1
146678316,147011128,1,1,1
148350384,148618232,1,1,1
149530492,149784828,1,1,1
151178080,151422224,1,1,1
152782480,153071320,1,1,1
153741572,154058336,1,1,1
155176588,155396488,1,1,1
155982744,156266168,1,1,1
157589424,157801840,1,1,1
158452096,158724220,1,1,1
159832472,160057932,1,1,1
161508184,161777380,1,1,1
162787632,163042764,1,1,1
164101016,164343484,1,1,1
165800736,166048384,1,1,1
166803636,167087836,1,1,1
168205092,168457060,1,1,1
169946312,170159288,1,1,1
171073548,171324500,1,1,1
172250752,172518912,1,1,1
173589164,173837792,1,1,1
174381044,174838448,1,1,1
175649700,175875220,1,1,1
176920472,177196124,1,1,1
178269376,178514312,1,1,1
179079568,179398148,1,1,1
179916400,180227264,1,1,1
