1746452775.000,4318528
ObjShowTime,ReactionTime,StimType,Guess,Correct
49504532,50224928,1,1,1
51055092,51511624,1,1,1
52530788,52801348,1,1,1
53412508,53720624,1,1,1
54997788,55257680,1,1,1
56187844,56476140,1,1,1
57016304,57378424,1,1,1
58151588,58444512,1,1,1
59493680,59747844,1,1,1
60823012,61066224,1,1,1
62304392,62598076,1,1,1
63233240,63517952,1,1,1
64769116,65019664,1,1,1
65929836,66075200,1,1,1
66727360,66998484,1,1,1
67608652,67886964,1,1,1
68455120,68695304,1,1,1
69238464,69500052,1,1,1
70395216,70753204,1,1,1
71874372,72151960,1,1,1
73392136,73671572,1,1,1
74851740,75169664,1,1,1
75967832,76215460,1,1,1
77604628,77867324,1,1,1
78707488,79088672,1,1,1
80108832,80358588,1,1,1
81120748,81408116,1,1,1
82119276,82364580,1,1,1
83254740,83515456,1,1,1
84776620,85006824,1,1,1
85642984,85945340,1,1,1
87427512,87856372,1,1,1
88695536,89181612,1,1,1
89731776,90283444,1,1,1
90805608,91166400,1,1,1
91818564,92146052,1,1,1
93634216,93912136,1,1,1
95151304,95495632,1,1,1
96544804,96796460,1,1,1
97374624,97839912,1,1,1
99235076,99657776,1,1,1
100398936,100810372,1,1,1
101384620,101804068,1,1,1
102724324,103008420,1,1,1
104145672,104533880,1,1,1
105288140,105711416,1,1,1
106865668,107102880,1,1,1
108330132,108541092,1,1,1
109954348,110219252,1,1,1
111610508,111929908,1,1,1
113131164,113428376,1,1,1
114428636,114656948,1,1,1
115615204,115909364,1,1,1
117022616,117272496,1,1,1
117920760,118200824,1,1,1
119352080,119602272,1,1,1
121039528,121346304,1,2,0
122822556,123123136,1,1,1
123966392,124300000,1,1,1
125466256,125818544,1,1,1
126407792,126739692,1,1,1
127386944,127686228,1,1,1
128610480,128899660,1,1,1
130174912,130401396,1,1,1
131850648,132103384,1,1,1
132709632,133051940,1,1,1
134028192,134329500,1,1,1
135029752,135299408,1,1,1
136126660,136361692,1,1,1
137726944,138035664,1,1,1
138582916,138889476,1,1,1
139851728,140103884,1,1,1
141329140,141602588,1,1,1
142789840,143052564,1,1,1
144316816,144554432,1,1,1
145198684,145546884,1,1,1
146092136,146398380,1,1,1
147035640,147290644,1,1,1
148658900,148919740,1,1,1
149605988,149970796,1,1,1
151084060,151409252,1,1,1
152495508,152783796,1,1,1
154162060,154433164,1,1,1
155258416,155497852,1,1,1
156640100,156909576,1,1,1
157838828,158289452,1,1,1
159307708,159605764,1,1,1
160677020,161012676,1,1,1
162475936,162761576,1,1,1
163337836,163662124,1,1,1
164592380,164846240,1,1,1
165630492,165879832,1,1,1
166935084,167214456,1,1,1
168635708,168887292,1,1,1
170243548,170477384,1,1,1
171016632,171334252,1,1,1
172552504,172774604,1,1,1
174231856,174544260,1,1,1
175378516,175661736,1,1,1
176434992,176683748,1,1,1
177519004,177784800,1,1,1
