ype,Guess,Correct
1746710655.000,4945864
ObjShowTime,ReactionTime,StimType,Guess,Correct
109459240,110148808,1,1,1
110981056,111296404,1,1,1
112439660,112696064,1,1,1
113911316,114172372,1,1,1
114748628,115108292,1,1,1
115755544,116064516,1,1,1
117443768,117752808,1,1,1
118411068,118765392,1,1,1
120170644,120412332,1,1,1
121546580,121761484,1,1,1
122466740,122720052,1,1,1
123422308,123660596,1,1,1
124257852,124484400,1,1,1
125879656,126080964,1,1,1
127079220,127326920,1,1,1
128708172,128956324,1,1,1
129629580,129879932,1,1,1
131287192,131505184,1,1,1
132370440,132593228,1,1,1
134092480,134317668,1,1,1
135283924,135491996,1,1,1
136966248,137174464,1,1,1
137677712,137898288,1,1,1
139103540,139330924,1,1,1
140002176,140249732,1,1,1
141383984,141631612,1,1,1
142963868,143178440,1,1,1
144431696,144669636,1,1,1
145968892,146186596,1,1,1
147398848,147590368,1,1,1
148834620,149043564,1,1,1
149791824,150012140,1,1,1
151098400,151321752,1,1,1
152110008,152324824,1,1,1
152876080,153117252,1,1,1
154573508,154776364,1,1,1
156166620,156524796,1,1,1
157591052,157928384,1,1,1
158640644,159030620,1,1,1
159633872,159881592,1,1,1
160978848,161197408,1,1,1
162059664,162291484,1,1,1
163669736,163870304,1,1,1
164645556,164862420,1,1,1
165445680,165692564,1,1,1
166565816,166785896,1,1,1
168121148,168336960,1,1,1
169357208,169560376,1,1,1
170562632,170753656,1,1,1
171896908,172099180,1,1,1
173294436,173499040,1,1,1
174329288,174525824,1,1,1
175124076,175377740,1,1,1
176081996,176290428,1,1,1
176966688,177157856,1,1,1
178536104,178761692,1,1,1
179345948,179557320,1,1,1
180429584,180618324,1,1,1
181470576,181700232,1,1,1
183032484,183255260,1,1,1
184056516,184252052,1,1,1
184793304,185080596,1,1,1
186440848,186644248,1,1,1
187557500,187759924,1,1,1
189176180,189379560,1,1,1
190402820,190623864,1,1,1
191798120,192031800,1,1,1
192901052,193104200,1,1,1
193756456,193976392,1,1,1
194542652,194740000,1,1,1
195683256,195895836,1,1,1
196515092,196731412,1,1,1
197535664,197745848,1,1,1
199074104,199266836,1,1,1
200121092,200350444,1,1,1
200853696,201112152,1,1,1
201752408,201989752,1,1,1
203148004,203370504,1,1,1
204845760,205071092,1,1,1
205733344,205946756,1,1,1
206880016,207103456,1,1,1
207762708,207975992,1,1,1
208965248,209190148,1,1,1
210135400,210334400,1,1,1
211659648,211854604,1,1,1
213174860,213330764,1,1,1
214717016,214954000,1,1,1
216434256,216636876,1,1,1
218091128,218356892,1,1,1
219436144,219692112,1,1,1
220567368,220762252,1,1,1
221981508,222180164,1,1,1
223532420,223735472,1,1,1
225203728,225440432,1,1,1
226643688,226896932,1,1,1
227426188,227719496,1,1,1
228341752,228536924,1,1,1
229116184,229352304,1,1,1
230241572,230459232,1,1,1
231676488,231891320,1,1,1
