171746814792.000,4104420
ObjShowTime,ReactionTime,StimType,Guess,Correct
76696628,77424308,1,1,1
78015476,78708368,1,1,1
79871532,80517344,1,1,1
81634512,82483372,1,1,1
83253536,84072636,1,1,1
85034796,85862180,1,1,1
87193344,87934836,1,1,1
88534000,89343920,1,1,1
89933088,90666024,1,1,1
91581188,92299304,1,1,1
93689468,94466140,1,1,1
95436304,96148924,1,1,1
96765092,97758964,1,1,1
99082132,99921312,1,1,1
100875476,101268540,1,1,1
102108792,102434804,1,1,1
103753060,104129552,1,1,1
105440804,105674132,1,1,1
106378384,106717040,1,1,1
107914300,108257936,1,1,1
109625188,109986072,1,1,1
111343328,111601528,1,1,1
112619792,113016812,1,1,1
114195072,114443240,1,1,1
115473500,115746076,1,1,1
116733328,117108056,1,1,1
117784312,118143648,1,1,1
118974904,119282380,1,1,1
119787636,120140084,1,1,1
121191340,121450584,1,1,1
122526836,122777564,1,1,1
123469836,123931248,1,1,1
124715504,124973048,1,1,1
125610308,125942768,1,1,1
126670028,127000676,1,1,1
127989928,128239224,1,1,1
129260476,129651980,1,1,1
130429228,130735800,1,1,1
131388052,131797376,1,1,1
133123628,133392700,1,1,1
134053956,134398876,1,1,1
135851140,136187200,1,1,1
137570452,137954880,1,1,1
138953128,139234932,1,1,1
140663188,141091156,1,1,1
141596412,142010736,1,1,1
143231988,143499876,1,1,1
144587132,144826216,1,1,1
145764472,146025836,1,1,1
146804088,147094160,1,1,1
148387412,148616220,1,1,1
149808472,150130980,1,1,1
150930232,151271532,1,1,1
152102788,152414304,1,1,1
153485560,153939760,1,1,1
154953016,155375472,1,1,1
156066736,156351068,1,1,1
157682324,157925540,1,1,1
159089792,159380280,1,1,1
160291528,160584420,1,1,1
161891672,162288824,1,1,1
163354076,163601172,1,1,1
164428428,164806116,1,1,1
165401368,165672060,1,1,1
166194312,166477952,1,1,1
167714204,168118948,1,1,1
169509200,169776884,1,1,1
170876136,171293668,1,1,1
172469928,172717504,1,1,1
173737756,173954004,1,1,1
174608260,174920176,1,1,1
176003428,176245968,1,1,1
177629224,177845744,1,1,1
178798996,179044148,1,1,1
179888404,180279100,1,1,1
180839352,181137220,1,1,1
182279472,182484144,1,1,1
183012400,183307904,1,1,1
184364160,184615528,1,1,1
185130776,185460424,1,1,1
186593676,186803924,1,1,1
187690176,187944612,1,1,1
189158868,189375808,1,1,1
190214064,190470436,1,1,1
191545688,191770876,1,1,1
193002128,193229424,1,1,1
194063676,194306220,1,1,1
195555472,195790668,1,1,1
197229924,197452292,1,1,1
198223544,198477820,1,1,1
199527080,199723360,1,1,1
200974612,201172056,1,1,1
202240304,202467996,1,1,1
203553252,203946264,1,1,1
205258520,205489868,1,1,1
206109120,206535304,1,1,1
207439560,207684608,1,1,1
208259868,208527208,1,1,1
209200460,209449720,1,1,1
210298972,210535148,1,1,1
