1745680007.000,6626624
ObjShowTime,ReactionTime,StimType,Guess,Correct
67852728,68346112,1,1,1
68993276,69457780,1,1,1
70130944,70577532,1,1,1
71145700,72183620,1,1,1
72697784,73714248,1,1,1
74657416,75051224,1,1,1
76005392,76394272,1,1,1
77787436,78061936,1,1,1
79243104,79693692,1,1,1
80675860,80929280,1,1,1
81985444,82262384,1,1,1
82866544,83239580,1,1,1
84688744,85073648,1,1,1
85860808,86309200,1,1,1
87241360,87736100,1,1,1
88482264,88940284,1,1,1
90404444,90715236,1,1,1
91831396,92122848,1,1,1
93070016,93517784,1,1,1
94063956,94768184,1,1,1
96012360,96489272,1,1,1
97964436,98352844,1,1,1
99452012,99889148,1,1,1
101377320,101723212,1,1,1
102256468,102870464,1,1,1
103960716,104322668,1,1,1
105170920,105605884,1,1,1
107079132,107329924,1,1,1
108438172,108750648,1,1,1
109544900,109980424,1,1,1
111472680,111815028,1,1,1
112979280,113382152,1,1,1
114515400,114905736,1,1,1
116143988,116530636,1,1,1
117845892,118100444,1,1,1
119532696,119798252,1,1,1
120811508,121062280,1,1,1
122518548,122730816,1,1,1
123500072,123848016,1,1,1
125212272,125461540,1,1,1
126757792,127108264,1,1,1
127708520,128162776,1,1,1
128725044,129147068,1,1,1
130433320,130705820,1,1,1
131880072,132233900,1,1,1
133555148,133846048,1,1,1
134657300,134993088,1,1,1
135937340,136199884,1,1,1
137459136,137732928,1,1,1
138505180,138852200,1,1,1
139694448,140002964,1,1,1
140523216,140907724,1,1,1
141483972,141800616,1,1,1
142518872,142779308,1,1,1
143371568,143748712,1,1,1
144255960,144677840,1,1,1
145599100,145838100,1,1,1
146722352,146996472,1,1,1
148316728,148538044,1,1,1
149915296,150163392,1,1,1
151076652,151336004,1,1,1
152663256,152958796,1,1,1
154196052,154434848,1,1,1
155871100,156100592,1,1,1
157322852,157550892,1,1,1
158570148,158821992,1,1,1
160320244,160546612,1,1,1
161907864,162252080,1,1,1
163190336,163477688,1,1,1
164077940,164441672,1,1,1
165127924,165406516,1,1,1
166221768,166485048,1,1,1
167981296,168225856,1,1,1
168815104,169214796,1,1,1
170554044,170822316,1,1,1
171734568,172003348,1,1,1
173396600,173766112,1,1,1
175126368,175375400,1,1,1
176045652,176339792,1,1,1
177458044,177763856,1,1,1
178350116,178779460,1,1,1
180102716,180355592,1,1,1
181005848,181354936,1,1,1
182463188,182741652,1,1,1
184191904,184500000,1,1,1
185510256,185807828,1,1,1
186866088,187137284,1,1,1
188594536,188834968,1,1,1
189590224,189903032,1,1,1
191020288,191301840,1,1,1
192791092,193077352,1,1,1
193991608,194289240,1,1,1
195215496,195528172,1,1,1
196598424,197009272,1,1,1
197552532,197930276,1,1,1
198741528,199046028,1,1,1
200091288,200333376,1,1,1
201406624,201645856,1,1,1
202211112,202590656,1,1,1
203108908,203456568,1,1,1
