ObjShowTime,ReactionTime,StimType,Guess,Correct
171745616647301.3,171745616647842.84,1,1,1
171745616649249.1,171745616649545.9,1,1,1
171745616650886.16,171745616651077.47,1,1,1
171745616652547.72,171745616652877.88,1,1,1
171745616653586.12,171745616654117.75,1,1,1
171745616655376.0,171745616655547.34,1,1,1
171745616656453.6,171745616656704.4,1,1,1
171745616658038.66,171745616658250.25,1,1,1
171745616659615.5,171745616659844.84,1,1,1
171745616660961.1,171745616661193.56,1,1,1
171745616662287.84,171745616662500.12,1,1,1
171745616663372.38,171745616663634.2,1,1,1
171745616665102.44,171745616665329.38,1,1,1
171745616666044.62,171745616666297.16,1,1,1
171745616667538.4,171745616667832.34,1,1,1
171745616668390.6,171745616668806.6,1,1,1
171745616669562.84,171745616669890.62,1,1,1
171745616670910.88,171745616670953.75,1,1,1
171745616673931.5,171745616674179.56,1,1,1
171745616674824.84,171745616675127.84,1,1,1
171745616676486.1,171745616676725.72,1,1,1
171745616677986.97,171745616678250.88,1,1,1
171745616679359.12,171745616679695.47,1,1,1
171745616680940.72,171745616681194.28,1,1,1
171745616682137.53,171745616682422.47,1,1,1
171745616683261.72,171745616683672.53,1,1,1
171745616685076.78,171745616685382.22,1,1,1
171745616686696.47,171745616686949.9,1,1,1
171745616687583.16,171745616688169.94,1,1,1
171745616688847.2,171745616689335.6,1,1,1
171745616690443.84,171745616690817.4,1,1,1
171745616692001.66,171745616692362.78,1,1,1
171745616693803.03,171745616694100.4,1,1,1
171745616695238.66,171745616695529.94,1,1,1
171745616697767.53,171745616698313.06,1,1,1
171745616699480.34,171745616699816.97,1,1,1
171745616700526.22,171745616700843.5,1,1,1
171745616701930.75,171745616702195.5,1,1,1
171745616703055.75,171745616703365.56,1,1,1
171745616704555.8,171745616704817.53,1,1,1
171745616705384.78,171745616705850.44,1,1,1
171745616706712.7,171745616707009.66,1,1,1
171745616707675.9,171745616708071.28,1,1,1
171745616709024.53,171745616709294.22,1,1,1
171745616709991.47,171745616710360.1,1,1,1
171745616711724.34,171745616711953.34,1,1,1
171745616712501.6,171745616713028.4,1,1,1
171745616714435.66,171745616714668.94,1,1,1
171745616715609.2,171745616715906.66,1,1,1
171745616716788.94,171745616717104.0,1,1,1
171745616718528.25,171745616718778.5,1,1,1
171745616719623.75,171745616719965.06,1,1,1
171745616720599.34,171745616721032.5,1,1,1
171745616722174.75,171745616722474.25,1,1,1
171745616723855.5,171745616724073.8,1,1,1
171745616725064.06,171745616725373.66,1,1,1
171745616726652.9,171745616727122.1,1,1,1
171745616728078.34,171745616728319.9,1,1,1
171745616729739.16,171745616729869.4,1,1,1
171745616731367.66,171745616731712.22,1,1,1
171745616733811.47,171745616734167.78,1,1,1
171745616735143.03,171745616735428.03,1,1,1
171745616736660.28,171745616736928.28,1,1,1
171745616737642.53,171745616737993.47,1,1,1
171745616738584.75,171745616739191.7,1,1,1
171745616740653.94,171745616741062.8,1,1,1
171745616742117.06,171745616742399.25,1,1,1
171745616743796.5,171745616744071.5,1,1,1
171745616744703.75,171745616745226.06,1,1,1
171745616746301.3,171745616746651.25,1,1,1
171745616747865.5,171745616748047.6,1,1,1
171745616748729.84,171745616749224.25,1,1,1
171745616750193.5,171745616750493.03,1,1,1
171745616751388.28,171745616751807.9,1,1,1
171745616752538.16,171745616753029.5,1,1,1
171745616754280.75,171745616754504.78,1,1,1
171745616755476.03,171745616755740.53,1,1,1
171745616756526.78,171745616756825.16,1,1,1
171745616757375.44,171745616757780.78,1,1,1
171745616758656.03,171745616758910.84,1,1,1
171745616759559.1,171745616759858.2,1,1,1
171745616761058.47,171745616761308.6,1,1,1
171745616762229.84,171745616762448.34,1,1,1
171745616763601.6,171745616763723.3,1,1,1
171745616764949.56,171745616765220.16,1,1,1
171745616765960.44,171745616766309.1,1,1,1
171745616767471.34,171745616767713.44,1,1,1
171745616768376.7,171745616768768.06,1,1,1
171745616769714.34,171745616770067.12,1,1,1
171745616770709.38,171745616771097.16,1,1,1
171745616771784.4,171745616772174.62,1,1,1
171745616773473.9,171745616773706.72,1,1,1
171745616774255.0,171745616774738.8,1,1,1
171745616775419.1,171745616775973.78,1,1,1
171745616776690.03,171745616777122.2,1,1,1
171745616778471.44,171745616778772.12,1,1,1
