ObjShowTime,ReactionTime,StimType,Guess,Correct
1745615574273.856,1745615574583.812,1,1,1
1745615575118.98,1745615575599.46,1,1,1
1745615576252.624,1745615576863.74,1,1,1
1745615577529.9,1745615577883.728,1,1,1
1745615578556.896,1745615578817.4758,1,1,1
1745615579445.636,1745615579748.44,1,1,1
1745615585640.816,1745615586156.712,1,1,1
1745615587004.876,1745615587318.9558,1,1,1
1745615588690.12,1745615588941.1438,1,1,1
1745615590277.312,1745615590625.876,1,1,1
1745615592056.036,1745615592363.732,1,1,1
1745615593222.896,1745615593535.6118,1,1,1
1745615594511.776,1745615594817.7478,1,1,1
1745615596104.912,1745615596385.448,1,1,1
1745615597204.62,1745615597728.1958,1,1,1
1745615598587.356,1745615598977.108,1,1,1
1745615603283.692,1745615603858.2,1,1,1
1745615605162.368,1745615605459.348,1,1,1
1745615606296.512,1745615606977.084,1,1,1
1745615607482.2478,1745615607915.94,1,1,1
1745615608563.1,1745615608913.6958,1,1,1
1745615610081.86,1745615610342.7358,1,1,1
1745615611364.9,1745615611651.232,1,1,1
1745615612395.396,1745615613013.02,1,1,1
1745615614007.188,1745615614253.492,1,1,1
1745615615186.656,1745615615705.16,1,1,1
1745615617160.336,1745615617480.828,1,1,1
1745615618187.992,1745615618548.512,1,1,1
1745615619381.676,1745615619798.828,1,1,1
1745615620836.9958,1745615621113.044,1,1,1
1745615621917.208,1745615622434.2478,1,1,1
1745615623275.4038,1745615623620.992,1,1,1
1745615624993.2,1745615625266.576,1,1,1
1745615626568.836,1745615627088.704,1,1,1
1745615628007.9558,1745615628416.172,1,1,1
1745615629839.4238,1745615630150.72,1,1,1
1745615631513.98,1745615631828.148,1,1,1
1745615632634.4,1745615633028.552,1,1,1
1745615634094.804,1745615634465.6958,1,1,1
1745615635350.948,1745615635639.24,1,1,1
1745615636563.492,1745615637217.588,1,1,1
1745615638287.844,1745615638512.2478,1,1,1
1745615639443.5,1745615639726.22,1,1,1
1745615640546.48,1745615641022.812,1,1,1
1745615641843.068,1745615642233.3518,1,1,1
1745615643015.604,1745615643491.576,1,1,1
1745615644547.832,1745615644892.14,1,1,1
1745615645626.396,1745615646042.896,1,1,1
1745615646608.152,1745615647176.376,1,1,1
1745615648628.628,1745615648858.432,1,1,1
1745615649675.6838,1745615650274.488,1,1,1
1745615651586.744,1745615651959.076,1,1,1
1745615653293.324,1745615653539.024,1,1,1
1745615654662.2878,1745615654953.792,1,1,1
1745615655865.04,1745615656205.792,1,1,1
1745615657628.044,1745615657870.8918,1,1,1
1745615658868.136,1745615659375.396,1,1,1
1745615660610.648,1745615660959.724,1,1,1
1745615661671.98,1745615662136.14,1,1,1
1745615663376.3918,1745615663635.252,1,1,1
1745615664167.5,1745615664682.252,1,1,1
1745615665346.504,1745615665697.376,1,1,1
1745615666215.6318,1745615666584.308,1,1,1
1745615667217.568,1745615667455.22,1,1,1
1745615668627.4758,1745615668860.316,1,1,1
1745615670025.564,1745615670272.064,1,1,1
1745615671271.324,1745615671675.9238,1,1,1
1745615672326.18,1745615672714.76,1,1,1
1745615673552.016,1745615673939.136,1,1,1
1745615675239.3918,1745615675468.232,1,1,1
1745615676670.488,1745615676938.992,1,1,1
1745615677879.2478,1745615678252.5078,1,1,1
1745615679072.76,1745615679383.676,1,1,1
1745615680348.928,1745615680540.032,1,1,1
1745615681738.2878,1745615681976.756,1,1,1
1745615682759.012,1745615683098.488,1,1,1
1745615684511.744,1745615684745.4758,1,1,1
1745615686209.728,1745615686552.948,1,1,1
1745615687932.2,1745615688209.48,1,1,1
1745615688907.7358,1745615689456.2998,1,1,1
1745615691937.2998,1745615692255.828,1,1,1
1745615693593.076,1745615693880.988,1,1,1
1745615694485.2358,1745615695219.0278,1,1,1
1745615696592.28,1745615697007.004,1,1,1
1745615698457.256,1745615698835.036,1,1,1
1745615699731.2878,1745615700265.808,1,1,1
1745615701564.0598,1745615701782.124,1,1,1
1745615702721.376,1745615703006.724,1,1,1
1745615704324.9758,1745615704526.9038,1,1,1
1745615705072.16,1745615705741.0078,1,1,1
1745615706284.26,1745615707072.9758,1,1,1
1745615708183.224,1745615708542.512,1,1,1
1745615709043.764,1745615709647.276,1,1,1
1745615710758.532,1745615710977.54,1,1,1
1745615711974.796,1745615712485.396,1,1,1
