ObjShowTime,ReactionTime,StimType,Guess,Correct
1740688544600.648,1740688544840.568,1,1,1
1740688545943.732,1740688546170.648,1,1,1
1740688547415.812,1740688547597.9,1,1,1
1740688550554.808,1740688550779.16,1,1,1
1740688551775.32,1740688551982.172,1,1,1
1740688553357.336,1740688553539.928,1,1,1
1740688554744.092,1740688554966.868,1,1,1
1740688556284.028,1740688556493.096,1,1,1
1740688559449.688,1740688559778.4958,1,1,1
1740688560375.664,1740688560607.4438,1,1,1
1740688562002.612,1740688562212.284,1,1,1
1740688563210.448,1740688563416.956,1,1,1
1740688564798.12,1740688565011.296,1,1,1
1740688565684.46,1740688565935.324,1,1,1
1740688567342.488,1740688567562.064,1,1,1
1740688568427.228,1740688568629.104,1,1,1
1740688570128.264,1740688570336.296,1,1,1
1740688571302.464,1740688571544.456,1,1,1
1740688576757.744,1740688576947.08,1,1,1
1740688578911.38,1740688579098.592,1,1,1
1740688579979.764,1740688580168.988,1,1,1
1740688580693.152,1740688580936.62,1,1,1
1740688581516.792,1740688581736.616,1,1,1
1740688583153.776,1740688583372.516,1,1,1
1740688584177.68,1740688584367.272,1,1,1
1740688585835.436,1740688586018.38,1,1,1
1740688587986.656,1740688588252.416,1,1,1
1740688590606.956,1740688590807.78,1,1,1
1740688592197.9438,1740688592411.756,1,1,1
1740688593477.924,1740688593682.0,1,1,1
1740688594394.168,1740688594627.984,1,1,1
1740688595231.164,1740688595461.052,1,1,1
1740688596558.22,1740688596749.704,1,1,1
1740688597611.876,1740688597836.216,1,1,1
1740688599214.468,1740688599406.552,1,1,1
1740688600181.804,1740688600385.424,1,1,1
1740688600968.6838,1740688601216.584,1,1,1
1740688602089.836,1740688602327.304,1,1,1
1740688605056.992,1740688605267.572,1,1,1
1740688606269.824,1740688606481.896,1,1,1
1740688607625.148,1740688607855.748,1,1,1
1740688609051.0,1740688609240.176,1,1,1
1740688610070.428,1740688610274.464,1,1,1
1740688610872.716,1740688611108.116,1,1,1
1740688612859.5,1740688613069.204,1,1,1
1740688614447.46,1740688614637.004,1,1,1
1740688615221.26,1740688615467.6,1,1,1
1740688616339.852,1740688616551.872,1,1,1
1740688621481.0,1740688621734.948,1,1,1
1740688622291.204,1740688622516.156,1,1,1
1740688623306.412,1740688623518.372,1,1,1
1740688624673.624,1740688624878.804,1,1,1
1740688625928.056,1740688626095.92,1,1,1
1740688627239.168,1740688627459.692,1,1,1
1740688628339.948,1740688628537.92,1,1,1
1740688629559.168,1740688629761.7358,1,1,1
1740688630902.988,1740688631046.924,1,1,1
1740688632543.172,1740688632745.228,1,1,1
1740688634130.484,1740688634361.632,1,1,1
1740688635176.884,1740688635388.732,1,1,1
1740688636083.988,1740688636311.66,1,1,1
1740688637192.916,1740688637394.06,1,1,1
1740688637931.316,1740688638151.36,1,1,1
1740688642078.136,1740688642291.436,1,1,1
1740688643742.692,1740688643926.196,1,1,1
1740688646233.968,1740688646503.22,1,1,1
1740688647897.476,1740688648067.776,1,1,1
1740688648927.032,1740688649151.928,1,1,1
1740688649777.18,1740688649989.52,1,1,1
1740688651358.784,1740688651564.2,1,1,1
1740688652896.452,1740688653062.008,1,1,1
1740688653786.264,1740688654037.196,1,1,1
1740688654637.452,1740688654896.752,1,1,1
1740688655903.004,1740688656114.276,1,1,1
1740688656882.532,1740688657110.08,1,1,1
1740688658502.332,1740688658743.948,1,1,1
1740688659438.2,1740688659669.38,1,1,1
1740688660394.64,1740688660600.728,1,1,1
1740688661338.984,1740688661610.144,1,1,1
1740688663362.592,1740688663651.52,1,1,1
1740688664273.772,1740688664511.768,1,1,1
