ObjShowTime,ReactionTime,StimType,Guess,Correct
1745364193393.544,1745364193609.176,1,1,1
1745364194949.3318,1745364195140.616,1,1,1
1745364196610.7798,1745364196789.072,1,1,1
1745364197497.2358,1745364197762.652,1,1,1
1745364199963.688,1745364200162.5798,1,1,1
1745364201496.744,1745364201697.16,1,1,1
1745364203062.3318,1745364203274.088,1,1,1
1745364204390.252,1745364204619.1318,1,1,1
1745364205713.296,1745364205904.324,1,1,1
1745364206776.4878,1745364206998.4358,1,1,1
1745364208466.604,1745364208656.704,1,1,1
1745364209371.868,1745364209633.032,1,1,1
1745364210874.1958,1745364211049.36,1,1,1
1745364211607.5398,1745364211859.7998,1,1,1
1745364212615.964,1745364212883.2878,1,1,1
1745364213903.452,1745364214117.224,1,1,1
1745364214903.3918,1745364215118.916,1,1,1
1745364216363.0798,1745364216553.012,1,1,1
1745364217198.18,1745364217415.084,1,1,1
1745364218773.252,1745364218968.208,1,1,1
1745364221164.484,1745364221425.516,1,1,1
1745364221967.68,1745364222227.296,1,1,1
1745364223685.46,1745364223914.3918,1,1,1
1745364225099.5598,1745364225319.12,1,1,1
1745364226515.2798,1745364226720.7,1,1,1
1745364227947.86,1745364228161.22,1,1,1
1745364229212.3838,1745364229432.396,1,1,1
1745364231394.984,1745364231608.5598,1,1,1
1745364232842.7278,1745364233072.292,1,1,1
1745364234189.46,1745364234385.596,1,1,1
1745364235258.76,1745364235481.4958,1,1,1
1745364236282.6638,1745364236522.648,1,1,1
1745364237518.816,1745364237717.1438,1,1,1
1745364239086.308,1745364239293.9438,1,1,1
1745364240349.1118,1745364240529.8318,1,1,1
1745364241928.9958,1745364242116.012,1,1,1
1745364243299.272,1745364243479.9238,1,1,1
1745364244605.172,1745364244806.9358,1,1,1
1745364246099.188,1745364246282.256,1,1,1
1745364247681.5078,1745364247896.776,1,1,1
1745364248431.024,1745364248708.94,1,1,1
1745364249713.2,1745364249924.036,1,1,1
1745364251197.284,1745364251518.504,1,1,1
1745364252462.756,1745364252681.64,1,1,1
1745364253588.8918,1745364253790.276,1,1,1
1745364254879.5278,1745364255074.172,1,1,1
1745364256536.432,1745364256734.368,1,1,1
1745364257735.624,1745364257985.76,1,1,1
1745364259382.012,1745364259605.4,1,1,1
1745364260901.656,1745364261115.856,1,1,1
1745364262607.108,1745364262835.7478,1,1,1
1745364264303.004,1745364264518.2678,1,1,1
1745364265894.52,1745364266107.568,1,1,1
1745364267278.824,1745364267489.296,1,1,1
1745364268814.552,1745364269010.2278,1,1,1
1745364269556.48,1745364269859.328,1,1,1
1745364270952.5798,1745364271153.7278,1,1,1
1745364272583.98,1745364272775.0398,1,1,1
1745364274111.296,1745364274310.3398,1,1,1
1745364275963.688,1745364276228.616,1,1,1
1745364277646.8718,1745364277865.9358,1,1,1
1745364279237.188,1745364279428.0918,1,1,1
1745364280014.3398,1745364280326.744,1,1,1
1745364281809.0,1745364281990.068,1,1,1
1745364283310.324,1745364283575.304,1,1,1
1745364284292.5598,1745364284588.16,1,1,1
1745364285239.412,1745364285531.9558,1,1,1
1745364286810.208,1745364287013.172,1,1,1
1745364287733.428,1745364287983.836,1,1,1
1745364288764.0918,1745364289031.868,1,1,1
1745364290290.12,1745364290574.012,1,1,1
1745364291710.2678,1745364291927.992,1,1,1
1745364293066.2478,1745364293311.22,1,1,1
1745364293839.4758,1745364294103.208,1,1,1
1745364294856.464,1745364295072.672,1,1,1
1745364296567.932,1745364296759.5598,1,1,1
1745364298217.816,1745364298436.6438,1,1,1
1745364299108.896,1745364299367.188,1,1,1
1745364300774.4438,1745364300996.9558,1,1,1
1745364302405.208,1745364302625.38,1,1,1
1745364303907.636,1745364304135.876,1,1,1
1745364304787.1318,1745364305073.004,1,1,1
1745364305903.26,1745364306150.688,1,1,1
1745364306968.94,1745364307176.012,1,1,1
1745364308049.264,1745364308238.0,1,1,1
1745364309234.256,1745364309469.7478,1,1,1
1745364310333.0,1745364310562.844,1,1,1
1745364311776.0918,1745364311971.536,1,1,1
1745364313308.784,1745364313502.848,1,1,1
1745364314570.1,1745364314786.708,1,1,1
1745364316197.968,1745364316443.428,1,1,1
1745364317780.688,1745364317983.712,1,1,1
1745364318926.964,1745364319180.896,1,1,1
1745364320176.152,1745364320393.272,1,1,1
1745364321688.532,1745364322005.1118,1,1,1
