1745338947.000,6284048
ObjShowTime,ReactionTime,StimType,Guess,Correct
50922740,51271428,1,1,1
52677592,52893224,1,1,1
54233380,54424664,1,1,1
55894828,56073120,1,1,1
56781284,57046700,1,1,1
58304860,58341572,1,1,1
59247736,59446628,1,1,1
60780792,60981208,1,1,1
62346380,62558136,1,1,1
63674300,63903180,1,1,1
64997344,65188372,1,1,1
66060536,66282484,1,1,1
67750652,67940752,1,1,1
68655916,68917080,1,1,1
70158244,70333408,1,1,1
70891588,71143848,1,1,1
71900012,72167336,1,1,1
73187500,73401272,1,1,1
74187440,74402964,1,1,1
75647128,75837060,1,1,1
76482228,76699132,1,1,1
78057300,78252256,1,1,1
78057300,79513364,1,1,1
80448532,80709564,1,1,1
81251728,81511344,1,1,1
82969508,83198440,1,1,1
84383608,84603168,1,1,1
85799328,86004748,1,1,1
87231908,87445268,1,1,1
88496432,88716444,1,1,1
89323608,89657868,1,1,1
90679032,90892608,1,1,1
92126776,92356340,1,1,1
93473508,93669644,1,1,1
94542808,94765544,1,1,1
95566712,95806696,1,1,1
96802864,97001192,1,1,1
98370356,98577992,1,1,1
99633160,99813880,1,1,1
101213044,101400060,1,1,1
102583320,102763972,1,1,1
103889220,104090984,1,1,1
105383236,105566304,1,1,1
106965556,107180824,1,1,1
107715072,107992988,1,1,1
108997248,109208084,1,1,1
110481332,110802552,1,1,1
111746804,111965688,1,1,1
112872940,113074324,1,1,1
114163576,114358220,1,1,1
115820480,116018416,1,1,1
117019672,117269808,1,1,1
118666060,118889448,1,1,1
120185704,120399904,1,1,1
121891156,122119796,1,1,1
123587052,123802316,1,1,1
125178568,125391616,1,1,1
126562872,126773344,1,1,1
128098600,128294276,1,1,1
128840528,129143376,1,1,1
130236628,130437776,1,1,1
131868028,132059088,1,1,1
133395344,133594388,1,1,1
134281640,134619484,1,1,1
135247736,135512664,1,1,1
136930920,137149984,1,1,1
138521236,138712140,1,1,1
139298388,139610792,1,1,1
141093048,141274116,1,1,1
142594372,142859352,1,1,1
143576608,143872208,1,1,1
144523460,144816004,1,1,1
146094256,146297220,1,1,1
147017476,147267884,1,1,1
148048140,148315916,1,1,1
149574168,149858060,1,1,1
150994316,151212040,1,1,1
152350296,152595268,1,1,1
153123524,153387256,1,1,1
154140512,154356720,1,1,1
155851980,156043608,1,1,1
157501864,157720692,1,1,1
158392944,158651236,1,1,1
160058492,160281004,1,1,1
161689256,161909428,1,1,1
163191684,163419924,1,1,1
164071180,164357052,1,1,1
165187308,165434736,1,1,1
166252988,166460060,1,1,1
167333312,167522048,1,1,1
168518304,168753796,1,1,1
169617048,169846892,1,1,1
171060140,171255584,1,1,1
172592832,172786896,1,1,1
173854148,174070756,1,1,1
175482016,175727476,1,1,1
177064736,177267760,1,1,1
178211012,178464944,1,1,1
179460200,179677320,1,1,1
180972580,181289160,1,1,1
