1740563902.000,5014384
ObjShowTime,ReactionTime,StimType,Guess,Correct
86478672,86829492,1,1,1
87364664,87743624,1,1,1
88396788,88652720,1,1,1
89318884,89474480,1,1,1
90147644,90223112,1,1,1
90851276,91103792,1,1,1
92458960,92939096,1,1,1
94391256,94651224,1,1,1
95648388,95895604,1,1,1
96743768,97003460,1,1,1
98374628,98614628,1,1,1
99950792,100194112,1,1,1
101624320,101859244,1,1,1
102718504,102957464,1,1,1
103933716,104179004,1,1,1
105466256,105714972,1,1,1
106534224,106773056,1,1,1
107632304,107865112,1,1,1
109326364,109513696,1,1,1
110361956,110621284,1,1,1
112111532,112329456,1,1,1
112921708,113286480,1,1,1
114223728,114508764,1,1,1
115377024,115603904,1,1,1
116778156,117366840,1,1,1
118604088,118877880,1,1,1
119382132,119706768,1,1,1
120249016,120531280,1,1,1
121433532,121733472,1,1,1
122688728,122836600,1,1,1
123496856,124004752,1,1,1
125225016,125493988,1,1,1
126929244,127137748,1,1,1
128527008,128574452,1,1,1
129713708,130241284,1,1,1
130787536,131319432,1,1,1
132701684,134478512,1,1,1
135576764,136341660,1,1,1
137523916,137885488,1,1,1
139173740,139456640,1,1,1
140835900,141189676,1,1,1
141846928,142158916,1,1,1
142716168,143110664,1,1,1
143820920,144206708,1,1,1
145535968,145786088,1,1,1
146475344,146822052,1,1,1
148100312,148496516,1,1,1
149373768,149706836,1,1,1
150677092,151024544,1,1,1
152161808,152595152,1,1,1
153339408,154936392,1,1,1
155447644,155775564,1,1,1
157150816,157435820,1,1,1
158380088,158691364,1,1,1
159888620,160142624,1,1,1
160661880,161001248,1,1,1
162462500,162687472,1,1,1
163465728,163832008,1,1,1
164840264,165121364,1,1,1
165919612,166236960,1,1,1
167291212,167557500,1,1,1
168360752,168687564,1,1,1
169457820,169853008,1,1,1
170607260,170953516,1,1,1
172422768,172663056,1,1,1
173469312,173855872,1,1,1
175138124,175365472,1,1,1
176849724,177171108,1,1,1
178585360,178804972,1,1,1
179598228,179870604,1,1,1
180845864,181040960,1,1,1
182392212,182601336,1,1,1
183518588,183767612,1,1,1
184731868,184946880,1,1,1
186296132,186517068,1,1,1
187372324,187626024,1,1,1
188517276,188744568,1,1,1
190087828,190592024,1,1,1
191681276,191929052,1,1,1
193194308,193396668,1,1,1
194429928,194650272,1,1,1
196099524,196340208,1,1,1
197765464,197998116,1,1,1
199213372,199425728,1,1,1
200125984,200571032,1,1,1
201670288,201930272,1,1,1
202540524,202916944,1,1,1
203605200,203936280,1,1,1
204706532,204978496,1,1,1
206403748,206765320,1,1,1
207727572,208118312,1,1,1
209353568,209585372,1,1,1
210795628,211030640,1,1,1
212483888,212728464,1,1,1
214162716,214900320,1,1,1
215974572,216425248,1,1,1
217188500,217473808,1,1,1
218551056,218831716,1,1,1
219612972,220034452,1,1,1
220567708,220810844,1,1,1
