,3348616
1746815732.000,3783252
ObjShowTime,ReactionTime,StimType,Guess,Correct
50097676,50559912,1,1,1
51465076,51728056,1,1,1
52674220,52907564,1,1,1
53514728,53924000,1,1,1
55015160,55220416,1,1,1
55903580,56123516,1,1,1
57328688,57516552,1,1,1
58145716,58385024,1,1,1
59183188,59406264,1,1,1
60205428,60429960,1,1,1
61746124,61962848,1,1,1
63142012,63520680,1,1,1
64893844,65115348,1,1,1
66190512,66421636,1,1,1
67823800,68036372,1,1,1
68887536,69111400,1,1,1
70348560,70570912,1,1,1
72012080,72243392,1,1,1
73540552,73773288,1,1,1
75174444,75405100,1,1,1
76339272,76579172,1,1,1
77522340,77746072,1,1,1
78844236,79056756,1,1,1
79711920,79960280,1,1,1
81057444,81288484,1,1,1
82613648,82811704,1,1,1
83636868,83868236,1,1,1
84617400,84831288,1,1,1
86115448,86335728,1,1,1
87773896,88160764,1,1,1
89618928,89893140,1,1,1
90928296,91224456,1,1,1
92212620,92585420,1,1,1
93721584,94044948,1,1,1
95009112,95388692,1,1,1
95982860,96269116,1,1,1
97405280,97669984,1,1,1
98988148,99258976,1,1,1
99974152,100246560,1,1,1
101012772,101703952,1,1,1
102685204,102902200,1,1,1
104083448,104317488,1,1,1
105506740,105734728,1,1,1
107069976,107305972,1,1,1
108159232,108396560,1,1,1
109836812,110094212,1,1,1
111067468,111292088,1,1,1
111968344,112225000,1,1,1
113328248,113536788,1,1,1
114769040,114966896,1,1,1
116417148,116638356,1,1,1
117416608,117689036,1,1,1
118814292,119064408,1,1,1
119980660,120260356,1,1,1
120978608,121294644,1,1,1
121908892,122165844,1,1,1
122953096,123222760,1,1,1
124330016,124557836,1,1,1
125983088,126207188,1,1,1
126915444,127174124,1,1,1
127710376,127954188,1,1,1
128538444,128782876,1,1,1
129799124,130021260,1,1,1
131082520,131350240,1,1,1
132560488,132791072,1,1,1
133605324,133835544,1,1,1
134469796,134710204,1,1,1
135857464,136097728,1,1,1
137586984,137861956,1,1,1
138940212,139194604,1,1,1
140036856,140294500,1,1,1
140900752,141167860,1,1,1
142348108,142570684,1,1,1
144012940,144241876,1,1,1
145268120,145476064,1,1,1
146866320,147103900,1,1,1
148489156,148728048,1,1,1
149667296,149901604,1,1,1
150600860,150865528,1,1,1
152218784,152467024,1,1,1
153900280,154110148,1,1,1
155231404,155498396,1,1,1
156954664,157210012,1,1,1
158452268,158679148,1,1,1
160129404,160378924,1,1,1
161745176,161988628,1,1,1
163254884,163475892,1,1,1
164857148,165085148,1,1,1
166253408,166461592,1,1,1
167810844,168003600,1,1,1
169443848,169671432,1,1,1
171163688,171548080,1,1,1
172610328,172827124,1,1,1
173429376,173687088,1,1,1
174794340,174991584,1,1,1
175854832,176044712,1,1,1
176608968,176862192,1,1,1
178304452,178513916,1,1,1
179296176,179518348,1,1,1
180449604,180674608,1,1,1
